Sample,X(ms) [01.05.2017 19:43:33 933 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
8,800.012940,1513,2412
9,899.964120,1488,2423
10,999.960540,1501,2423
11,1099.973740,1467,2423
12,1199.977180,1497,2423
13,1299.974620,1501,2430
14,1399.981480,1467,2423
15,1500.012440,1483,2424
16,1599.981100,1467,2423
17,1700.035200,1484,2436
18,1799.974380,1497,2423
19,1899.997620,1471,2423
20,1999.973840,1501,2439
21,2099.989580,1480,2423
22,2199.970740,1484,2421
23,2299.965640,1485,2423
24,2400.054960,1467,2422
25,2499.969960,1496,2448
26,2599.983940,1497,2423
27,2699.972180,1484,2425
28,2799.986440,1504,2423
29,2900.031660,1467,2441
30,2999.970580,1500,2423
31,3099.968000,1467,2440
32,3199.973840,1470,2423
33,3299.989020,1484,2436
34,3399.979520,1484,2423
35,3499.962100,1484,2427
36,3600.017220,1468,2423
37,3699.972160,1484,2431
38,3800.001900,1484,2425
39,3899.976720,1502,2423
40,4000.001200,1485,2414
41,4099.966240,1500,2452
42,4199.960860,1501,2424
43,4299.987960,1467,2423
44,4399.992420,1480,2423
45,4500.025860,1484,2423
46,4599.982040,1492,2423
47,4700.002420,1470,2440
48,4799.958380,1471,2423
49,4899.975000,1471,2424
50,4999.996400,1501,2426
51,5100.024240,1500,2423
52,5199.998600,1481,2424
53,5299.968620,1468,2424
54,5400.037240,1468,2426
55,5499.993860,1483,2423
56,5599.984800,1484,2423
57,5699.990640,1480,2423
58,5799.976960,1484,2423
59,5899.969640,1488,2423
60,5999.977200,1488,2423
61,6099.970760,1484,2423
62,6199.987860,1500,2437
63,6299.972480,1489,2424
64,6399.987640,1512,2423
65,6499.964580,1487,2453
66,6599.977020,1471,2431
67,6700.030300,1510,2427
68,6799.965540,1471,2426
69,6899.984200,1497,2436
70,6999.967300,1487,2423
71,7099.982960,1501,2426
72,7200.039220,1468,2423
73,7299.970660,1501,2423
74,7399.983500,1500,2429
75,7499.974860,1501,2423
76,7599.979980,1500,2424
77,7699.963560,1483,2423
78,7799.972340,1468,2423
79,7900.060020,1471,2423
80,7999.964060,1484,2423
81,8099.960200,1471,2426
82,8200.011040,1488,2423
83,8299.986720,1498,2426
84,8399.987300,1484,2423
85,8499.976840,1492,2423
86,8599.969880,1488,2423
87,8699.973020,1497,2423
88,8799.974680,1501,2423
89,8899.963580,1470,2424
90,8999.984480,1501,2423
91,9099.987320,1501,2423
92,9199.961200,1471,2423
93,9299.969780,1510,2436
94,9400.065760,1501,2411
95,9500.011860,1484,2439
96,9599.967760,1497,2420
97,9699.968360,1501,2423
98,9799.972040,1470,2424
99,9899.973040,1484,2423
100,9999.976000,1497,2423
101,10099.968080,1470,2430
102,10199.969140,1501,2423
103,10299.965000,1500,2424
104,10400.011620,1484,2423
105,10499.984240,1488,2436
106,10599.976340,1501,2432
107,10699.971820,1512,2423
108,10799.997340,1498,2411
109,10899.977280,1497,2423
110,10999.988180,1484,2423
111,11099.973040,1488,2440
112,11200.000560,1501,2423
113,11299.964080,1484,2453
114,11399.996720,1501,2440
115,11499.969280,1501,2425
116,11599.972820,1498,2424
117,11700.009600,1484,2424
118,11799.975440,1501,2423
119,11899.965500,1501,2423
120,11999.961780,1513,2423
121,12099.974060,1501,2412
122,12199.973220,1498,2423
123,12299.982780,1483,2420
124,12399.980640,1484,2423
125,12499.969180,1488,2424
126,12599.978960,1501,2436
127,12699.994320,1501,2423
128,12799.973380,1502,2423
129,12899.964220,1501,2423
130,12999.970840,1501,2424
131,13099.996740,1501,2423
132,13199.965400,1501,2423
133,13300.016520,1497,2438
134,13400.017300,1501,2423
135,13499.986100,1501,2426
136,13599.962120,1501,2423
137,13699.973060,1484,2423
138,13799.982420,1501,2440
139,13899.982540,1500,2423
140,13999.989900,1503,2436
141,14099.965560,1501,2423
142,14200.019420,1500,2424
143,14299.975600,1501,2424
144,14399.982300,1501,2453
145,14499.987460,1501,2426
146,14599.963840,1509,2449
147,14699.994920,1501,2423
148,14800.018360,1501,2411
149,14899.965080,1484,2443
150,14999.967600,1501,2424
151,15099.973500,1501,2440
152,15199.972020,1502,2440
153,15299.969260,1501,2436
154,15400.012460,1488,2427
155,15499.982880,1502,2423
156,15599.976700,1501,2423
157,15699.995240,1501,2423
158,15799.988200,1501,2423
159,15899.974920,1509,2423
160,16000.001480,1514,2440
161,16099.960540,1501,2423
162,16199.967920,1501,2417
163,16299.995500,1501,2424
164,16399.984600,1501,2426
165,16499.973620,1501,2440
166,16599.963900,1501,2423
167,16699.980360,1501,2436
168,16799.988260,1501,2423
169,16899.962220,1501,2424
170,16999.983720,1501,2423
171,17099.984060,1501,2423
172,17199.968920,1501,2423
173,17299.967600,1501,2432
174,17399.980880,1501,2423
175,17499.984480,1501,2423
176,17599.963100,1501,2425
177,17699.969800,1501,2423
178,17800.002580,1501,2440
179,17899.965960,1501,2442
180,17999.962860,1501,2430
181,18099.972360,1502,2429
182,18199.995860,1501,2436
183,18299.968080,1501,2424
184,18399.974580,1501,2423
185,18499.971840,1501,2427
186,18600.020920,1501,2423
187,18699.988640,1501,2439
188,18799.969820,1501,2423
189,18899.969100,1501,2424
190,19000.009300,1501,2423
191,19099.975020,1501,2423
192,19199.983360,1501,2440
193,19299.979420,1501,2423
194,19399.985080,1501,2429
195,19499.982840,1501,2423
196,19599.963740,1501,2425
197,19699.968280,1501,2423
198,19799.975040,1501,2423
199,19899.977120,1501,2429
200,19999.971680,1501,2423
201,20099.963780,1501,2430
202,20199.996840,1501,2425
203,20299.974660,1501,2457
204,20399.998920,1502,2423
205,20499.981580,1501,2423
206,20599.985400,1518,2449
207,20699.966020,1501,2429
208,20799.977980,1495,2429
209,20899.985580,1475,2423
210,21000.032380,1501,2423
211,21099.977840,1501,2423
212,21199.967500,1469,2423
213,21299.965780,1495,2449
214,21399.963480,1493,2427
215,21499.989740,1469,2423
216,21599.997300,1468,2425
217,21699.970640,1501,2423
218,21799.979140,1494,2449
219,21899.996980,1501,2449
220,21999.978860,1501,2423
221,22100.017660,1474,2429
222,22199.960960,1475,2449
223,22299.996280,1495,2449
224,22399.968260,1475,2436
225,22499.963280,1495,2423
226,22599.978780,1501,2423
227,22699.970700,1467,2425
228,22799.992240,1494,2429
229,22899.968880,1494,2423
230,22999.964800,1474,2425
231,23099.968240,1475,2423
232,23199.976040,1468,2437
233,23299.992660,1495,2449
234,23399.969280,1501,2423
235,23499.996420,1469,2423
236,23599.964500,1468,2423
237,23699.973620,1475,2423
238,23799.978820,1475,2423
239,23899.984500,1494,2425
240,23999.987680,1473,2449
241,24099.970980,1475,2427
242,24199.983660,1469,2423
243,24299.961100,1501,2425
244,24399.966840,1501,2423
245,24499.985640,1495,2421
246,24600.006620,1469,2431
247,24699.966320,1498,2423
248,24799.971580,1468,2423
249,24899.970680,1501,2423
250,24999.964700,1501,2423
251,25099.969680,1469,2423
252,25199.969940,1467,2423
253,25299.976940,1493,2455
254,25399.987940,1500,2423
255,25500.006860,1477,2423
256,25599.968420,1493,2423
257,25699.984220,1474,2423
258,25799.965780,1501,2423
259,25899.963800,1501,2449
260,25999.961420,1501,2435
261,26100.003600,1501,2455
262,26199.990580,1493,2426
263,26299.972240,1494,2423
264,26399.963880,1467,2423
265,26499.976020,1501,2423
266,26600.009960,1469,2423
267,26699.980640,1475,2423
268,26799.975820,1493,2429
269,26899.975000,1499,2423
270,26999.969400,1501,2423
271,27099.972500,1475,2424
272,27199.963700,1493,2423
273,27299.981420,1505,2435
274,27400.025860,1501,2423
275,27499.977940,1494,2426
276,27599.967120,1493,2424
277,27699.970760,1469,2423
278,27799.981980,1501,2415
279,27899.972260,1499,2423
280,27999.967500,1467,2423
281,28099.982980,1467,2423
282,28199.982360,1497,2423
283,28299.971480,1469,2423
284,28400.010960,1475,2424
285,28499.985280,1493,2423
286,28600.001920,1493,2423
287,28699.974380,1473,2449
288,28799.971800,1493,2425
289,28900.013460,1495,2419
290,28999.966620,1467,2423
291,29099.993100,1467,2423
292,29199.976560,1500,2423
293,29299.970380,1473,2419
294,29399.965200,1469,2439
295,29499.989720,1467,2423
296,29599.992340,1467,2425
297,29699.976620,1467,2423
298,29799.990220,1501,2423
299,29899.974840,1499,2423
300,29999.964800,1469,2449
301,30100.019980,1469,2423
302,30199.969320,1524,2401
303,30299.985340,1475,2424
304,30399.966100,1500,2423
305,30499.969180,1467,2423
306,30599.975580,1484,2453
307,30699.976780,1475,2423
308,30799.990700,1467,2424
309,30899.978980,1473,2423
310,30999.976260,1467,2423
311,31099.972040,1467,2423
312,31199.967680,1467,2423
313,31299.969520,1467,2423
314,31399.971420,1493,2423
315,31499.961840,1467,2423
316,31599.978480,1499,2420
317,31699.984680,1503,2423
318,31799.968300,1474,2415
319,31899.969920,1494,2423
320,31999.978800,1501,2423
321,32100.021940,1493,2430
322,32199.961500,1501,2423
323,32299.971060,1474,2426
324,32400.004960,1469,2449
325,32499.996600,1467,2423
326,32599.995460,1493,2423
327,32699.966700,1469,2449
328,32799.974320,1474,2423
329,32899.965100,1473,2420
330,32999.964900,1469,2425
331,33100.038320,1493,2396
332,33199.968520,1469,2423
333,33299.973880,1501,2423
334,33399.962560,1493,2429
335,33499.965080,1493,2423
336,33599.970620,1501,2423
337,33699.975420,1469,2449
338,33799.992280,1494,2424
339,33899.964880,1469,2423
340,33999.980220,1469,2423
341,34099.970200,1494,2423
342,34199.969760,1501,2423
343,34299.989740,1469,2425
344,34399.973160,1499,2423
345,34499.971140,1499,2421
346,34599.975440,1501,2423
347,34699.972380,1484,2426
348,34799.991300,1493,2429
349,34899.965500,1475,2423
350,34999.992600,1499,2423
351,35099.967440,1499,2425
352,35199.982040,1469,2423
353,35299.963780,1469,2423
354,35399.964240,1494,2453
355,35500.032740,1501,2423
356,35600.022000,1501,2420
357,35699.992220,1469,2425
358,35799.974260,1501,2422
359,35899.981380,1469,2440
360,35999.971500,1501,2449
361,36099.963240,1499,2423
362,36199.962280,1475,2429
363,36299.967280,1500,2423
364,36400.059620,1495,2423
365,36500.032380,1499,2423
366,36599.970380,1501,2426
367,36699.995540,1475,2429
368,36799.975520,1499,2423
369,36899.973700,1475,2423
370,36999.972480,1501,2425
371,37099.962640,1501,2423
372,37199.970080,1499,2421
373,37299.971860,1469,2448
374,37399.961620,1493,2423
375,37499.971020,1474,2430
376,37599.992840,1475,2423
377,37699.962740,1495,2423
378,37799.966340,1501,2455
379,37900.001220,1495,2423
380,37999.972180,1501,2423
381,38099.985340,1495,2423
382,38199.963060,1501,2427
383,38299.995960,1495,2425
384,38399.966040,1518,2425
385,38500.012060,1501,2449
386,38599.965720,1499,2433
387,38699.966180,1501,2448
388,38799.990860,1494,2423
389,38899.966120,1501,2429
390,38999.967300,1501,2423
391,39099.989980,1499,2423
392,39200.018640,1493,2423
393,39299.960860,1501,2423
394,39399.980220,1475,2429
395,39499.973100,1501,2427
396,39600.031260,1501,2449
397,39699.963980,1501,2425
398,39799.971240,1476,2423
399,39899.972860,1509,2423
