Sample,X(ms) [01.05.2017 19:56:07 333 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
7,699.989940,1228,3890
8,800.013880,1226,3890
9,900.006800,1228,3890
10,999.991520,1221,3890
11,1100.044420,1171,3890
12,1199.990240,1196,3890
13,1300.023440,1224,3890
14,1399.996460,1227,3884
15,1500.020860,1198,3890
16,1599.997700,1211,3890
17,1699.993680,1221,3890
18,1800.007260,1211,3890
19,1899.993380,1194,3890
20,2000.020060,1194,3890
21,2099.995480,1202,3890
22,2199.998680,1194,3890
23,2300.047680,1224,3890
24,2400.004820,1195,3890
25,2499.996120,1225,3890
26,2599.990200,1195,3890
27,2700.059080,1228,3890
28,2800.003140,1198,3890
29,2899.999860,1227,3890
30,3000.022000,1221,3886
31,3099.998860,1228,3887
32,3200.021200,1210,3890
33,3299.986660,1202,3890
34,3399.992460,1227,3873
35,3500.021560,1193,3873
36,3600.022820,1202,3890
37,3700.046060,1181,3890
38,3799.994620,1197,3890
39,3900.039380,1207,3890
40,4000.032160,1211,3889
41,4099.996820,1224,3860
42,4199.998660,1180,3890
43,4300.000560,1232,3860
44,4400.019800,1195,3872
45,4500.040380,1194,3887
46,4600.033720,1227,3890
47,4700.045660,1193,3889
48,4800.031620,1215,3872
49,4900.029820,1182,3890
50,5000.020420,1207,3869
51,5100.016140,1227,3889
52,5200.030820,1224,3872
53,5299.993500,1195,3860
54,5400.039540,1212,3857
55,5500.074940,1198,3869
56,5599.988240,1224,3869
57,5699.992500,1212,3873
58,5800.069560,1228,3859
59,5899.992580,1211,3860
60,5999.986060,1207,3869
61,6099.997880,1212,3873
62,6200.001140,1194,3889
63,6300.000340,1186,3856
64,6399.990380,1164,3856
65,6500.010300,1193,3860
66,6600.056640,1228,3856
67,6699.999080,1178,3872
68,6799.993740,1181,3888
69,6900.026340,1197,3876
70,7000.080420,1195,3856
71,7100.007520,1197,3874
72,7199.994900,1224,3856
73,7299.999340,1194,3860
74,7399.990840,1198,3856
75,7499.998200,1210,3856
76,7599.990960,1197,3859
77,7700.005980,1228,3874
78,7800.014740,1228,3859
79,7900.003060,1227,3856
80,7999.992600,1179,3856
81,8099.994540,1195,3873
82,8200.001080,1195,3856
83,8299.992980,1211,3856
84,8400.029680,1195,3857
85,8500.021340,1202,3859
86,8600.007860,1227,3856
87,8700.016200,1207,3856
88,8799.989760,1211,3859
89,8900.039580,1190,3874
90,8999.997980,1194,3856
91,9100.008840,1224,3856
92,9199.997480,1181,3856
93,9300.032240,1189,3882
94,9400.020320,1219,3860
95,9499.990420,1198,3856
96,9599.998380,1224,3869
97,9700.059280,1193,3856
98,9800.040780,1198,3856
99,9900.015000,1210,3870
100,10000.020580,1187,3856
101,10100.045600,1214,3886
102,10199.994680,1183,3873
103,10299.990460,1211,3859
104,10400.012880,1197,3856
105,10499.995540,1210,3870
106,10600.004040,1220,3856
107,10700.004940,1228,3857
108,10799.998960,1215,3856
109,10900.020900,1211,3873
110,10999.994620,1228,3856
111,11100.004480,1182,3856
112,11199.989500,1211,3856
113,11300.017300,1193,3860
114,11400.026240,1210,3856
115,11499.985440,1224,3869
116,11600.000120,1198,3873
117,11700.004440,1193,3859
118,11800.018380,1213,3856
119,11900.003420,1227,3873
120,11999.995200,1228,3874
121,12100.020420,1224,3859
122,12199.993780,1197,3869
123,12299.985880,1198,3856
124,12399.993180,1211,3870
125,12500.033960,1228,3886
126,12600.001520,1193,3859
127,12699.990280,1210,3856
128,12799.994420,1211,3859
129,12900.006420,1191,3856
130,13000.014580,1211,3859
131,13100.002500,1211,3859
132,13200.004180,1228,3859
133,13299.993240,1228,3857
134,13399.990180,1210,3901
135,13500.022840,1228,3889
136,13600.008620,1210,3859
137,13700.001060,1207,3869
138,13800.042840,1211,3873
139,13899.998700,1223,3886
140,14000.074700,1210,3857
141,14099.998140,1211,3889
142,14200.029880,1190,3876
