Sample,X(ms) [01.05.2017 19:58:30 233 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
7,700.006560,1096,5017
8,799.992100,1109,5017
9,900.004380,1093,5017
10,1000.020200,1113,5017
11,1100.002060,1109,5017
12,1200.038460,1135,5017
13,1300.029340,1090,5017
14,1400.015780,1113,5017
15,1500.067460,1092,5017
16,1600.011340,1119,5017
17,1700.023980,1093,5017
18,1800.007260,1092,5017
19,1900.028620,1137,5017
20,2000.006540,1093,5017
21,2100.031960,1113,5017
22,2200.021660,1118,5017
23,2300.009260,1126,5017
24,2400.015760,1092,5017
25,2500.027540,1123,5017
26,2599.992460,1105,5017
27,2700.003680,1092,5017
28,2800.051260,1092,5017
29,2900.025740,1092,5017
30,3000.001380,1112,5017
31,3099.998840,1126,5017
32,3200.008100,1135,5034
33,3300.015620,1109,5030
34,3400.014880,1126,5033
35,3500.026120,1093,5017
36,3600.027000,1109,5017
37,3700.042060,1100,5017
38,3800.013140,1106,5008
39,3900.018220,1105,5017
40,4000.042260,1109,5017
41,4099.998560,1095,5017
42,4200.001320,1109,5017
43,4299.996060,1126,5017
44,4400.033100,1125,5017
45,4499.998600,1118,5034
46,4599.995120,1122,5017
47,4700.018940,1093,5016
48,4800.007260,1096,5017
49,4900.026120,1139,5017
50,5000.000020,1129,5020
51,5099.992780,1093,5017
52,5200.025140,1109,5017
53,5299.998660,1126,5017
54,5400.015120,1099,5017
55,5500.006600,1122,5017
56,5600.043080,1138,5031
57,5700.004260,1113,5017
58,5799.988140,1123,5017
59,5900.017840,1109,5017
60,6000.007600,1093,5017
61,6100.012300,1123,5017
62,6200.008320,1092,5017
63,6300.001800,1129,5017
64,6400.013780,1109,5017
65,6499.999800,1110,5017
66,6600.020600,1096,5017
67,6700.004320,1108,5034
68,6800.003200,1136,5017
69,6899.997820,1105,5017
70,6999.984400,1155,5030
71,7100.017500,1122,5017
72,7199.997800,1084,5016
73,7300.009040,1093,5030
74,7400.009700,1109,5017
75,7499.995380,1094,5017
76,7600.004480,1125,5030
77,7700.019920,1093,5017
78,7799.997220,1139,5017
79,7900.024480,1125,5017
80,7999.995240,1127,5017
81,8100.000020,1109,5017
82,8199.997360,1138,5018
83,8299.994600,1122,5017
84,8400.020040,1136,5020
85,8500.045180,1092,5017
86,8600.018240,1096,5030
87,8700.002720,1122,5017
88,8799.998460,1135,5017
89,8900.003500,1097,5017
90,8999.989560,1109,5017
91,9100.008320,1092,5034
92,9200.000640,1122,5030
93,9300.009460,1126,5017
94,9400.001360,1122,5017
95,9500.003620,1125,5017
96,9600.016600,1093,5017
97,9700.002260,1125,5020
98,9800.025160,1125,5050
99,9900.028920,1129,5030
100,9999.998780,1110,5017
101,10100.025220,1094,5020
102,10200.000940,1095,5017
103,10300.000060,1126,5020
104,10400.005900,1123,5034
105,10500.036000,1095,5017
106,10599.989280,1110,5017
107,10700.006500,1113,5030
108,10799.993180,1123,5030
109,10900.065820,1095,5026
110,11000.014600,1110,5017
111,11100.006560,1126,5017
112,11200.002540,1113,5026
113,11300.002040,1123,5018
114,11400.015140,1122,5020
115,11499.993980,1127,5017
116,11599.995740,1126,5017
117,11699.996220,1143,5034
118,11800.066100,1109,5030
119,11900.015500,1126,5031
120,11999.990800,1126,5017
121,12100.020600,1126,5018
122,12200.051840,1126,5047
123,12300.047880,1126,5030
124,12399.996400,1100,5017
125,12500.011460,1100,5017
126,12599.993320,1123,5019
127,12699.995460,1126,5020
128,12800.014540,1128,5018
129,12900.001920,1107,5017
130,13000.018540,1126,5047
131,13100.026180,1133,5030
132,13199.994080,1129,5030
133,13300.017600,1126,5017
134,13400.002120,1110,5018
135,13500.012940,1109,5017
136,13600.036840,1125,5020
137,13700.051860,1126,5030
138,13799.998760,1126,5020
139,13900.001900,1126,5035
140,14000.031700,1126,5047
141,14099.998060,1125,5027
142,14200.047340,1126,5021
143,14299.998680,1126,5034
144,14399.993980,1100,5030
145,14499.995080,1127,5049
146,14599.997600,1135,5017
147,14699.997060,1126,5036
148,14799.993920,1125,5030
149,14899.995980,1111,5026
150,15000.000100,1126,5036
151,15099.988200,1126,5043
152,15200.022920,1126,5025
153,15299.993620,1126,5019
154,15400.086860,1128,5018
155,15500.001620,1126,5043
156,15599.998960,1124,5017
157,15700.014160,1100,5027
158,15800.001040,1126,5025
159,15900.016860,1120,5043
160,15999.996440,1126,5018
161,16100.000560,1125,5021
162,16200.074660,1126,5018
163,16300.007360,1126,5050
164,16400.029420,1126,5017
165,16500.011900,1126,5050
166,16600.058180,1127,5017
167,16700.027900,1126,5043
168,16800.020360,1126,5043
169,16900.042140,1128,5051
170,16999.999140,1101,5049
171,17100.048080,1126,5017
172,17199.995820,1116,5017
173,17299.998500,1099,5020
174,17400.026300,1118,5017
175,17499.996200,1120,5019
176,17599.991780,1124,5043
177,17700.005120,1094,5023
178,17800.019900,1124,5018
179,17899.996540,1124,5034
180,17999.996860,1126,5017
181,18100.019400,1126,5018
182,18200.060660,1118,5017
183,18300.021520,1100,5018
184,18400.024240,1120,5044
185,18500.040680,1133,5017
186,18600.017760,1126,5021
187,18699.995280,1093,5043
188,18799.994720,1126,5017
189,18900.001480,1126,5051
190,19000.008600,1125,5017
191,19099.996440,1118,5023
192,19199.991300,1126,5019
193,19299.998580,1094,5017
194,19400.005460,1094,5051
195,19500.037920,1092,5017
196,19600.013280,1092,5017
197,19699.995560,1092,5017
198,19800.006040,1092,5051
199,19900.009180,1125,5047
200,20000.001060,1125,5017
201,20099.993520,1092,5034
202,20199.998800,1124,5017
203,20300.018180,1111,5017
204,20399.991500,1093,5024
205,20499.990300,1098,5017
206,20600.027760,1100,5032
207,20700.018360,1120,5049
208,20800.021120,1126,5034
209,20899.991880,1100,5051
210,21000.052380,1100,5051
211,21100.001180,1118,5046
212,21200.005920,1151,5020
213,21300.028580,1120,5017
214,21399.988320,1093,5024
215,21500.017800,1096,5019
216,21599.990440,1092,5025
217,21699.996180,1094,5017
218,21800.028040,1118,5043
219,21900.029800,1098,5034
220,22000.017500,1125,5018
221,22099.993620,1124,5042
222,22200.005200,1099,5034
223,22299.993320,1094,5049
224,22399.999440,1125,5023
225,22499.996620,1092,5043
226,22599.997920,1092,5017
227,22700.042740,1092,5017
228,22799.998160,1119,5025
229,22899.991040,1094,5024
230,23000.009620,1092,5032
231,23100.004980,1148,5019
232,23199.997820,1094,5032
233,23299.987360,1098,5020
234,23400.049840,1118,5018
235,23500.022900,1126,5049
236,23599.994920,1126,5043
237,23700.000700,1118,5017
238,23799.987480,1118,5043
239,23900.014080,1132,5049
240,23999.993340,1120,5050
241,24099.988680,1100,5047
242,24200.000020,1100,5025
243,24299.994040,1126,5031
244,24400.012620,1099,5046
245,24500.018300,1126,5019
246,24599.990920,1115,5017
247,24699.998080,1118,5024
248,24799.991280,1099,5049
249,24900.002920,1098,5021
250,25000.006200,1118,5050
251,25099.992420,1099,5051
252,25200.032280,1100,5021
253,25300.001360,1120,5023
254,25400.003500,1117,5020
255,25499.991260,1116,5051
256,25599.990240,1100,5044
257,25700.001180,1094,5017
258,25799.999820,1094,5023
259,25900.026200,1092,5032
260,25999.993040,1124,5051
261,26100.016700,1118,5017
262,26200.022820,1132,5023
263,26300.039900,1100,5045
264,26399.998720,1124,5045
265,26499.995780,1131,5018
266,26600.020120,1126,5042
267,26700.061620,1126,5034
268,26800.015940,1115,5043
269,26899.994760,1125,5050
270,26999.998380,1125,5017
271,27100.014380,1100,5044
272,27200.012340,1123,5017
273,27300.016880,1118,5043
274,27400.044100,1124,5045
275,27500.031800,1094,5025
276,27600.063700,1124,5050
277,27699.992140,1120,5049
278,27800.029240,1092,5051
279,27900.000580,1100,5045
280,28000.008220,1125,5043
281,28099.994480,1099,5051
282,28199.996560,1094,5044
283,28300.043380,1121,5025
284,28399.992240,1126,5051
285,28499.996380,1147,5018
286,28599.994540,1094,5025
287,28700.019960,1124,5051
288,28799.996700,1126,5028
289,28900.010020,1126,5046
290,29000.019900,1126,5049
291,29100.006440,1126,5051
292,29200.006660,1100,5049
293,29300.007260,1117,5018
294,29399.996740,1126,5051
295,29499.998320,1152,5017
296,29600.000160,1094,5049
297,29700.030620,1126,5051
298,29799.997960,1124,5049
299,29899.999260,1093,5024
300,29999.999680,1117,5017
301,30099.994320,1100,5044
302,30200.037920,1120,5025
303,30300.013760,1124,5019
304,30399.991660,1100,5019
305,30499.995840,1132,5050
306,30600.007400,1094,5049
307,30699.992440,1109,5051
308,30800.015900,1132,5049
309,30899.994340,1126,5025
310,30999.996680,1101,5034
311,31100.004660,1124,5017
312,31200.003160,1129,5043
313,31300.020180,1129,5050
314,31400.002120,1101,5051
315,31500.045940,1125,5019
316,31599.988700,1126,5051
317,31699.994380,1109,5027
318,31800.007300,1126,5047
319,31900.008680,1126,5049
320,31999.995220,1109,5049
321,32100.008620,1126,5018
322,32200.013800,1094,5051
323,32300.061260,1126,5018
324,32399.996820,1122,5028
325,32500.021620,1126,5050
326,32599.997220,1126,5063
327,32700.007420,1127,5047
328,32799.998120,1126,5019
329,32899.998920,1094,5051
330,33000.022080,1126,5019
331,33100.055040,1126,5051
332,33200.012680,1094,5021
333,33300.005740,1126,5036
334,33400.067380,1126,5051
335,33500.027940,1092,5042
336,33599.993320,1126,5036
337,33700.005500,1093,5048
338,33800.010420,1125,5047
339,33900.010560,1108,5048
340,33999.990220,1095,5051
341,34100.002980,1126,5034
342,34200.020040,1087,5021
343,34299.999920,1126,5047
344,34399.999040,1106,5038
345,34500.003900,1125,5050
346,34600.011040,1109,5034
347,34699.996200,1106,5037
348,34799.998360,1107,5047
349,34900.043260,1092,5036
350,35000.000840,1109,5018
351,35099.999540,1126,5050
352,35200.001940,1105,5033
353,35300.001460,1096,5051
354,35399.996760,1122,5025
355,35499.994380,1093,5038
356,35600.012700,1125,5047
357,35699.990980,1106,5021
358,35800.025900,1125,5051
359,35900.006720,1096,5050
360,35999.996440,1109,5051
361,36099.996980,1122,5018
362,36200.025940,1096,5017
363,36299.999620,1091,5049
364,36399.996480,1122,5047
365,36500.010120,1105,5034
366,36600.001520,1092,5047
367,36699.994720,1122,5041
368,36800.003480,1092,5025
369,36900.026080,1125,5047
370,37000.028060,1122,5034
371,37099.995700,1109,5043
372,37200.002280,1109,5043
373,37299.997700,1096,5034
374,37400.092520,1079,5047
375,37500.012380,1092,5017
376,37600.049820,1118,5017
377,37700.004640,1133,5034
378,37799.998180,1092,5049
379,37899.991720,1096,5049
380,38000.019780,1109,5051
381,38100.044760,1099,5021
382,38200.063420,1124,5047
383,38299.997860,1096,5048
384,38400.001520,1129,5032
385,38500.016540,1092,5047
386,38600.021960,1092,5033
387,38699.990860,1109,5030
388,38800.002600,1105,5051
389,38899.997760,1125,5036
390,39000.003000,1126,5051
391,39100.051740,1105,5032
392,39200.018780,1126,5046
393,39300.032480,1093,5046
394,39400.008020,1079,5042
395,39499.995080,1124,5036
396,39600.011620,1092,5048
397,39699.999620,1113,5020
398,39800.009520,1109,5048
399,39900.005720,1096,5034
400,39999.984200,1122,5021
401,40099.999400,1092,5050
402,40200.000020,1109,5034
