Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
184,18199.940340,2064,1706
185,18299.943620,2065,1706
186,18399.954440,2048,1706
187,18499.953000,2049,1706
188,18599.947320,2049,1706
189,18699.954840,2047,1699
190,18799.935460,2061,1706
191,18899.936560,2068,1705
192,18999.942860,2080,1689
193,19099.940660,2064,1689
194,19199.955780,2048,1706
195,19299.982320,2063,1693
196,19399.937700,2064,1706
197,19500.029720,2047,1709
198,19599.941520,2064,1705
199,19699.934500,2064,1706
200,19799.970580,2081,1706
201,19899.954040,2068,1706
202,19999.929540,2065,1706
203,20099.932980,2055,1705
204,20199.967700,2051,1691
205,20299.942000,2047,1706
206,20399.967880,2048,1706
207,20499.945920,2061,1706
208,20599.937780,2076,1706
209,20699.941820,2047,1706
210,20799.944100,2055,1676
211,20899.939220,2050,1706
212,20999.941440,2048,1702
213,21099.946320,2072,1702
214,21199.936160,2047,1706
215,21299.940920,2050,1706
216,21399.949920,2064,1693
217,21499.941680,2077,1706
218,21600.029720,2064,1690
219,21699.959760,2072,1693
220,21799.942920,2061,1706
221,21899.938400,2078,1702
222,21999.949840,2047,1705
223,22099.948820,2062,1707
224,22199.946740,2047,1706
225,22299.989160,2051,1680
226,22399.986040,2077,1676
227,22499.963480,2060,1706
228,22599.942900,2030,1706
229,22699.974860,2068,1706
230,22799.941180,2048,1706
231,22899.952180,2048,1704
232,22999.957120,2050,1689
233,23099.945440,2061,1706
234,23199.961100,2061,1693
235,23299.951100,2077,1706
236,23399.939940,2079,1705
237,23499.933240,2081,1704
238,23599.962980,2080,1703
239,23699.943180,2081,1706
240,23799.956140,2068,1706
241,23899.943040,2081,1661
242,24000.007060,2081,1706
243,24099.943120,2079,1693
244,24199.940520,2081,1706
245,24299.943920,2081,1706
246,24399.957380,2081,1706
247,24499.941700,2081,1706
248,24599.972040,2081,1706
249,24699.940980,2081,1697
250,24799.947640,2081,1693
251,24899.936120,2073,1721
252,24999.946920,2081,1702
253,25099.952280,2081,1685
254,25200.040580,2080,1705
255,25299.955560,2081,1706
256,25399.939000,2062,1706
257,25499.937700,2051,1704
258,25599.930220,2077,1706
259,25699.963420,2081,1705
260,25799.966180,2081,1703
261,25899.950640,2077,1702
262,25999.966220,2081,1703
263,26099.940960,2079,1706
264,26199.941700,2077,1706
265,26299.937540,2068,1681
266,26399.952080,2072,1706
267,26499.938880,2050,1705
268,26599.959100,2072,1703
269,26699.945600,2080,1706
270,26799.972460,2079,1706
