Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
2,0.000000,2083,1703
3,99.934180,2081,1706
4,199.960340,2081,1706
5,299.927860,2080,1680
6,399.953820,2063,1680
7,499.946220,2068,1699
8,599.945740,2081,1669
9,699.975360,2081,1706
10,799.929100,2056,1709
11,899.969460,2084,1706
12,999.932160,2051,1689
13,1099.959920,2056,1706
14,1199.961560,2061,1691
15,1299.991180,2081,1706
16,1399.974600,2072,1706
17,1499.942180,2098,1702
18,1599.954880,2081,1706
19,1699.936020,2064,1706
20,1799.984520,2077,1689
21,1899.957920,2050,1673
22,1999.953140,2048,1691
23,2099.956640,2080,1703
24,2199.942460,2077,1706
25,2299.941260,2078,1705
26,2399.962700,2081,1677
27,2499.937700,2078,1676
28,2599.941920,2078,1706
29,2699.939580,2055,1706
30,2799.943060,2047,1706
31,2899.933220,2081,1706
32,2999.959980,2061,1690
33,3100.017360,2068,1706
34,3199.973680,2068,1705
35,3299.959880,2078,1676
36,3399.932280,2072,1689
37,3499.937960,2048,1705
38,3599.949940,2080,1700
39,3699.987480,2080,1703
40,3799.944280,2077,1674
41,3899.959200,2078,1705
42,3999.955660,2080,1706
43,4099.954400,2049,1702
44,4199.963140,2050,1706
45,4299.982520,2077,1689
46,4399.980840,2067,1689
47,4499.945180,2080,1681
48,4599.955200,2047,1706
49,4699.967300,2081,1705
50,4799.939380,2081,1705
51,4899.944280,2081,1689
52,4999.933980,2068,1689
53,5099.962300,2050,1706
54,5199.956540,2080,1691
55,5300.000980,2047,1706
56,5399.970820,2064,1705
57,5499.937660,2080,1705
58,5599.952020,2047,1706
59,5699.979020,2080,1706
60,5799.937140,2081,1706
61,5899.944360,2063,1706
62,5999.987100,2077,1691
63,6099.967880,2081,1706
64,6199.951880,2078,1690
65,6299.938100,2064,1705
66,6399.946760,2050,1706
67,6499.991120,2081,1706
68,6599.938120,2048,1706
69,6699.944020,2048,1693
70,6799.938120,2048,1706
71,6899.950160,2047,1693
72,6999.941020,2064,1706
73,7099.934360,2064,1706
74,7199.943700,2078,1705
75,7299.964120,2073,1687
76,7399.944220,2047,1706
77,7499.966680,2047,1693
78,7599.934540,2063,1690
79,7699.953080,2079,1706
80,7799.940800,2048,1705
81,7899.949540,2064,1672
82,7999.954100,2055,1676
83,8099.936620,2064,1706
84,8199.966300,2077,1693
85,8299.943160,2061,1690
86,8399.948200,2078,1705
87,8499.932600,2063,1706
88,8599.986000,2048,1705
89,8699.934100,2078,1706
90,8799.932360,2047,1676
91,8899.950420,2078,1689
92,8999.942920,2048,1723
93,9099.945480,2060,1676
94,9199.939280,2047,1706
95,9299.956740,2049,1704
96,9399.939260,2068,1690
97,9499.941460,2050,1706
98,9599.966400,2047,1693
99,9699.940440,2051,1706
100,9799.943320,2068,1706
101,9899.940300,2060,1706
102,9999.927280,2060,1689
103,10099.963000,2077,1706
104,10199.969900,2048,1702
105,10299.964060,2047,1706
106,10399.937360,2078,1706
107,10499.978800,2077,1723
108,10599.933820,2063,1668
109,10699.935260,2068,1705
110,10799.935740,2050,1705
111,10899.941540,2080,1673
112,10999.945640,2050,1706
113,11099.936160,2060,1706
114,11199.942860,2080,1706
115,11299.933100,2064,1706
116,11399.963700,2064,1706
117,11499.952820,2072,1706
118,11599.978760,2047,1706
119,11699.941600,2051,1702
120,11800.001480,2080,1706
121,11899.980760,2062,1706
122,11999.936480,2063,1706
123,12099.938500,2077,1697
124,12200.002760,2079,1676
125,12299.943320,2047,1705
126,12399.965680,2064,1703
127,12499.946780,2077,1693
128,12599.943220,2068,1706
129,12699.949880,2063,1702
130,12799.950000,2080,1706
131,12899.943940,2047,1704
132,12999.955300,2078,1676
133,13099.938020,2076,1685
134,13199.944560,2077,1703
135,13299.948120,2081,1702
136,13399.940040,2063,1706
137,13499.938420,2054,1706
138,13599.939720,2064,1673
139,13699.955840,2077,1672
140,13799.965260,2067,1706
141,13899.973420,2081,1699
142,13999.942380,2060,1706
143,14099.936500,2048,1705
144,14199.955260,2047,1675
145,14299.970920,2064,1706
146,14399.939240,2051,1688
147,14499.943020,2064,1680
148,14599.946580,2048,1706
149,14699.949200,2047,1698
150,14799.944320,2080,1703
151,14899.947000,2065,1708
152,14999.967840,2051,1705
153,15099.945740,2072,1689
154,15199.936240,2060,1689
155,15299.947320,2066,1706
156,15399.948960,2074,1691
157,15499.933540,2072,1706
158,15599.937360,2060,1706
159,15699.939740,2064,1706
160,15799.942700,2077,1705
161,15899.948580,2081,1706
162,15999.944960,2073,1689
163,16099.971080,2074,1706
164,16199.957820,2068,1704
165,16299.996840,2080,1703
166,16399.954960,2078,1706
167,16499.932320,2065,1705
168,16599.952240,2066,1688
169,16699.940320,2078,1689
170,16799.944720,2054,1706
171,16899.959720,2077,1706
172,16999.931300,2051,1706
173,17099.969780,2047,1706
174,17199.933080,2064,1706
175,17299.940660,2067,1688
176,17399.935800,2047,1705
177,17499.963980,2072,1689
178,17599.935980,2047,1689
179,17699.936160,2065,1731
180,17799.940420,2062,1690
181,17899.994580,2060,1706
182,17999.957260,2078,1702
183,18099.950020,2080,1688
