Sample,X(ms) [01.05.2017 20:01:48 633 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
7,700.016280,1050,6962
8,799.996980,1056,6962
9,900.016460,1000,6962
10,1000.000340,1025,6962
11,1100.006980,1023,6988
12,1199.999580,1023,6962
13,1300.005080,1047,6988
14,1400.026040,1056,6962
15,1500.005580,989,6962
16,1600.007140,991,6979
17,1699.992600,1053,6994
18,1800.002660,997,6970
19,1900.025660,1021,6962
20,2000.005880,1053,6977
21,2100.018980,1029,6963
22,2200.000560,998,6992
23,2300.002000,997,6962
24,2399.992480,1032,6962
25,2500.000180,1057,6962
26,2600.016560,1024,6988
27,2700.000840,1031,6964
28,2800.022280,990,6962
29,2900.004400,1040,6968
30,2999.997240,1016,6975
31,3100.063360,998,6962
32,3200.000160,1005,6962
33,3300.029480,1027,6962
34,3400.008460,1056,6964
35,3500.009280,995,6962
36,3599.994500,1057,6994
37,3699.997140,1008,6962
38,3800.013860,1031,6964
39,3899.991520,1053,6962
40,3999.994840,1026,6968
41,4099.992680,1057,6962
42,4200.013480,1040,6962
43,4299.999500,1061,6992
44,4399.997420,1019,6994
45,4500.004160,1050,6993
46,4600.000440,1024,6962
47,4699.987900,1031,6962
48,4799.990880,999,6993
49,4899.993240,1040,6962
50,4999.997900,1040,6966
51,5100.031860,1058,6994
52,5200.000780,1022,6979
53,5299.998660,1030,6962
54,5400.013800,1049,6969
55,5499.999540,1055,6977
56,5600.000280,996,6966
57,5700.011960,1023,6962
58,5799.994200,1031,6962
59,5900.040860,1023,6993
60,5999.993220,1051,6970
61,6099.996720,999,6964
62,6200.022520,1023,6970
63,6300.031720,1049,6970
64,6400.023300,1025,6990
65,6500.021600,1040,6996
66,6600.017720,1025,6990
67,6699.999940,1050,6964
68,6800.027120,1025,6970
69,6900.012360,1017,6994
70,6999.999720,1047,6964
71,7100.027580,1024,6988
72,7199.991140,1015,6996
73,7300.003740,1023,6996
74,7399.992720,1025,6990
75,7499.992440,1030,6990
76,7599.999020,1017,6990
77,7699.997480,1059,6998
78,7799.994940,1030,7013
79,7900.064860,1025,6996
80,7999.991160,1023,6998
81,8100.043660,1023,6962
82,8200.030600,1028,6979
83,8300.026880,1054,6980
84,8399.989820,1054,6962
85,8500.002260,1044,6983
86,8600.014220,1041,6979
87,8700.010560,1049,6999
88,8800.014940,1037,7011
89,8899.990940,1034,6963
90,8999.999420,1040,7025
91,9100.016620,1048,7013
92,9199.998900,1050,6980
93,9300.007120,1023,6982
94,9400.006940,1041,7000
95,9500.020360,1056,7000
96,9600.007440,1026,6975
97,9699.991020,1023,6992
98,9799.992940,1039,7009
99,9899.990160,1058,6983
100,9999.999060,1041,6996
101,10099.987400,1038,6996
102,10199.996580,1028,6966
103,10300.051620,1059,6979
104,10399.994140,1021,6996
105,10500.020040,1027,6995
106,10599.991520,1024,6995
107,10700.009960,1026,6979
108,10800.028700,1029,6979
109,10899.990860,1031,6996
110,11000.024800,1007,6963
111,11100.021940,1025,6992
112,11200.028440,1054,6992
113,11299.997940,1054,6995
114,11399.988120,1036,6980
115,11500.001300,1041,6996
116,11599.995480,995,6966
117,11700.058620,1039,6978
118,11799.992160,1035,6995
119,11899.987380,1026,6996
120,11999.993480,1032,6979
121,12099.992500,1040,6979
122,12200.016640,1053,6983
123,12299.994940,1023,6996
124,12400.022560,1006,6996
125,12499.995920,1023,6992
126,12600.000020,1048,6970
127,12699.990100,1003,6979
128,12800.031100,1082,6963
129,12900.062260,1027,6992
130,12999.991560,1024,6996
131,13100.021200,1019,6966
132,13200.005040,1027,6995
133,13300.001100,1023,6996
134,13400.007300,1009,6999
135,13500.000860,1027,6996
136,13600.017860,1053,6996
137,13700.005460,1021,6996
138,13799.989620,1039,6980
139,13900.024920,1024,6994
140,14000.036260,989,6996
141,14100.050380,1035,6992
142,14199.994820,1017,6996
143,14300.026920,1039,6996
144,14399.997880,1019,6979
145,14500.011320,1040,6995
146,14600.012920,1021,6980
147,14700.050620,977,6996
148,14800.028120,1035,6982
149,14900.001640,992,6996
150,15000.007760,1053,6995
151,15100.035960,1007,6966
152,15199.992220,1053,6979
153,15299.998320,994,6996
154,15400.016100,1037,6996
155,15500.046100,994,6995
156,15600.008740,1020,7013
157,15699.993640,1053,6966
158,15800.002280,1047,6996
159,15900.025920,1053,6995
160,16000.029160,982,6983
161,16100.022680,1053,6989
162,16200.001760,1009,7013
163,16300.002500,1020,6996
164,16400.076560,1029,6995
165,16499.992900,1023,7013
166,16600.039440,1023,7008
167,16699.998800,1045,6966
168,16800.028680,1024,7026
169,16899.998200,1051,7016
170,16999.989700,1025,7012
171,17099.994160,1045,7029
172,17200.064320,1074,6980
173,17299.994880,999,7030
174,17399.992480,1030,6996
175,17499.990540,1023,7013
176,17599.988420,1043,6997
177,17700.003740,1041,7030
178,17799.998700,1027,7030
179,17899.996600,1023,7028
180,18000.016740,1023,7030
181,18099.999740,1058,6973
182,18200.025200,1024,7027
183,18299.996860,1029,7030
184,18400.060220,1030,6997
185,18500.002360,1025,6996
186,18599.995660,1000,7000
187,18700.067700,1023,7020
188,18800.011160,1032,6998
189,18900.085480,1025,6996
190,19000.002080,1021,7028
191,19099.998560,1025,6998
192,19200.019280,1021,7029
193,19300.011180,1025,7004
194,19400.019160,1053,6996
195,19499.994100,1023,6996
196,19600.000100,1049,7002
197,19699.995980,1023,7023
198,19800.037780,1030,7002
199,19899.994000,1023,7000
200,19999.995860,1040,6996
201,20100.012800,1066,6996
202,20199.993040,1049,6996
203,20299.998560,998,7022
204,20400.002800,1023,6996
205,20500.005980,1051,7022
206,20599.999580,1031,6996
207,20700.006460,1030,6998
208,20800.006840,1023,6996
209,20900.083140,991,6996
210,20999.994860,1040,6996
211,21099.996480,1031,6996
212,21199.996500,997,7002
213,21300.017660,1008,6996
214,21400.000740,1049,7023
215,21499.992560,1021,7023
216,21599.990860,1031,7028
217,21700.019940,1023,6996
218,21800.001760,998,6996
219,21899.997860,989,6996
220,21999.994080,1038,7023
221,22099.992300,1023,6996
222,22199.998240,1030,6996
223,22299.993460,1023,6996
224,22399.992800,1024,6996
225,22500.009360,1066,6979
226,22600.004480,1013,6981
227,22700.002300,1055,6996
228,22799.997020,1015,6996
229,22899.994900,1031,6996
230,23000.005900,1022,6996
231,23099.992700,990,6996
232,23199.995920,991,6995
233,23300.020180,1036,6996
234,23399.993020,1021,6998
235,23500.019260,1017,6995
236,23599.998320,1023,6996
237,23700.028660,1050,6996
238,23799.992020,1030,7002
239,23899.991980,1006,6971
240,24000.016220,1056,6996
241,24100.000360,1018,6998
242,24199.995160,999,6996
243,24300.011240,1022,6996
244,24399.992700,1011,6996
245,24500.054140,1047,6996
246,24599.994800,1021,6996
247,24700.054620,1030,6996
248,24800.016120,1032,6996
249,24900.007740,1021,6996
250,25000.041600,1056,6971
251,25100.054520,1057,7028
252,25200.022260,1000,6996
253,25300.126840,1040,6996
254,25400.023600,1057,6996
255,25499.996620,999,7022
256,25599.996540,1023,6998
257,25700.009700,1015,6998
258,25799.992720,997,7022
259,25899.994080,1038,7004
260,25999.989500,1028,7029
261,26099.990320,1031,6997
262,26200.004220,1024,7028
263,26299.992440,1056,7030
264,26399.997960,1027,7030
265,26500.017980,1023,7030
266,26600.047140,1030,7030
267,26700.003260,1057,7023
268,26799.998000,1023,7026
269,26899.995740,1031,7029
270,26999.998760,1048,7013
271,27099.988560,1034,7030
272,27199.999640,1023,7027
273,27300.015080,1031,7026
274,27400.002700,1010,7026
275,27500.017100,1023,6984
276,27600.066760,1028,7027
277,27700.010680,1010,7030
278,27800.020820,1024,7013
279,27899.991360,1014,7027
280,28000.008960,1036,6997
281,28099.999860,1017,7000
282,28199.999500,1036,7026
283,28299.994100,1002,7029
284,28400.048900,1023,6996
285,28500.020080,1006,7009
286,28600.002660,1040,6996
287,28700.008200,1026,7013
288,28800.099220,1033,7017
289,28899.997140,1040,7009
290,29000.023020,1007,6996
291,29100.000500,1007,6999
292,29200.014540,1037,6996
293,29300.000840,1031,6997
294,29400.042120,991,6996
295,29500.022840,1039,6996
296,29600.014400,1040,6996
297,29700.012220,1041,7013
298,29799.992500,1008,6979
299,29899.991460,1023,6999
300,30000.030700,1057,6983
301,30099.994140,1009,6996
302,30200.021520,1036,6996
303,30300.000340,1024,6996
304,30400.028200,1025,7026
305,30500.001940,1010,7014
306,30600.017380,1057,6999
307,30700.049380,1037,7014
308,30800.017220,1054,7013
309,30900.015640,1052,6997
310,31000.006620,994,6997
311,31099.994640,1015,6996
312,31200.026720,1011,6996
313,31300.004020,1052,6996
314,31400.000080,1021,6996
315,31500.003180,1025,6996
316,31599.998760,1004,6997
317,31700.001820,1011,6996
318,31800.019600,1038,6996
319,31900.021980,1037,6996
320,31999.993600,1031,6996
321,32099.996580,1010,7009
322,32199.998660,1037,7009
323,32299.995560,1023,6996
324,32400.017620,1038,6996
325,32500.000740,1023,6996
326,32599.997000,1021,6996
327,32700.012780,1025,6996
328,32800.001620,1010,6996
329,32900.006260,1031,6996
330,32999.992940,1023,6996
331,33100.102220,1053,6996
332,33200.004020,990,6996
333,33299.995040,1056,6996
334,33399.992920,999,6996
335,33500.015620,1026,6996
336,33599.996600,1053,6997
337,33699.987120,1041,6996
338,33800.006820,1026,6996
339,33900.080240,1023,6996
340,34000.004280,989,6996
341,34100.001840,1038,6996
342,34200.004540,1038,6996
343,34299.999380,1019,7009
344,34400.028700,1057,6996
345,34499.989380,1040,6979
346,34600.007680,1037,6996
347,34699.996700,1017,6997
348,34800.016840,1036,7010
349,34899.998220,989,6996
350,35000.022260,1009,6996
