Sample,X(ms) [01.05.2017 19:25:16 133 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
8,799.949980,4368,1051
9,899.958300,4368,1092
10,999.962780,4368,1083
11,1099.964180,4368,1059
12,1199.959000,4368,1092
13,1299.953520,4368,1073
14,1399.954660,4366,1085
15,1499.950400,4368,1092
16,1600.010760,4368,1060
17,1699.957040,4368,1060
18,1799.951220,4368,1092
19,1899.952120,4368,1066
20,1999.987560,4368,1090
21,2099.960600,4366,1065
22,2199.952500,4368,1083
23,2299.983440,4368,1061
24,2399.963380,4368,1089
25,2499.966600,4368,1033
26,2599.954040,4368,1091
27,2699.955940,4368,1059
28,2800.013820,4368,1074
29,2899.979560,4342,1059
30,2999.971680,4342,1092
31,3099.950340,4368,1088
32,3199.972940,4368,1084
33,3300.002680,4368,1091
34,3399.950660,4368,1066
35,3499.954500,4368,1065
36,3599.950960,4368,1088
37,3699.956420,4368,1068
38,3799.948100,4368,1085
39,3899.966860,4366,1066
40,3999.980900,4368,1085
41,4099.955200,4368,1058
42,4199.998780,4368,1065
43,4299.957040,4368,1086
44,4399.969480,4366,1075
45,4499.963520,4368,1090
46,4599.949060,4368,1085
47,4699.961340,4368,1058
48,4799.952400,4368,1100
49,4899.959280,4368,1090
50,4999.953200,4368,1062
51,5099.968320,4368,1081
52,5200.053320,4368,1075
53,5299.962700,4368,1065
54,5399.951800,4342,1077
55,5499.951740,4368,1060
56,5599.998240,4368,1084
57,5700.000140,4366,1092
58,5799.970080,4368,1066
59,5899.977600,4368,1090
60,5999.958880,4368,1084
61,6099.958860,4368,1056
62,6199.991960,4368,1092
63,6299.966980,4368,1090
64,6399.986480,4366,1091
65,6500.000460,4368,1109
66,6599.956560,4368,1065
67,6700.015800,4368,1091
68,6799.977200,4368,1075
69,6899.982500,4368,1087
70,6999.957340,4368,1075
71,7099.984200,4368,1066
72,7199.959380,4363,1090
73,7299.954520,4368,1084
74,7399.991720,4368,1059
