Sample,X(ms) [01.05.2017 19:30:55 333 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
8,799.999580,8327,941
9,899.979980,8294,911
10,1000.000160,8320,923
11,1099.978500,8293,953
12,1199.996060,8327,927
13,1299.988440,8320,922
14,1399.983340,8321,946
15,1500.014860,8325,928
16,1599.980400,8294,920
17,1699.976700,8326,905
18,1799.985360,8300,952
19,1899.977860,8301,904
20,2000.003420,8325,951
21,2099.987460,8320,919
22,2199.979500,8327,937
23,2299.983680,8327,949
24,2399.991220,8301,915
25,2499.984820,8293,928
26,2600.036020,8327,921
27,2700.015260,8327,920
28,2799.987080,8295,954
29,2899.986800,8325,919
30,2999.976520,8325,900
31,3099.985240,8301,921
32,3200.010220,8297,904
33,3299.990320,8294,894
34,3399.976760,8293,953
35,3499.980960,8293,966
36,3600.043960,8327,921
37,3699.983160,8300,921
38,3799.982340,8301,913
39,3899.982740,8301,920
40,3999.988100,8319,921
41,4099.971580,8319,915
42,4199.974980,8301,956
43,4299.988080,8327,914
44,4400.009620,8327,916
45,4499.980800,8327,919
46,4599.983900,8301,896
47,4699.976000,8301,969
48,4799.997840,8320,922
49,4899.979500,8295,899
50,4999.981740,8320,950
51,5099.998540,8325,936
52,5199.984720,8312,951
53,5300.005620,8321,954
54,5400.005280,8325,895
55,5500.017440,8327,927
56,5599.971020,8327,898
57,5700.011140,8293,946
58,5800.012780,8327,936
59,5899.987660,8327,953
60,5999.999860,8301,890
61,6099.989000,8325,971
62,6199.980900,8327,951
63,6299.981280,8295,961
64,6400.007280,8320,946
65,6500.040860,8301,930
66,6599.988380,8327,954
67,6699.980140,8327,947
68,6799.991860,8327,956
69,6899.986400,8327,922
70,6999.995000,8327,948
71,7099.988340,8327,951
72,7199.976160,8310,936
73,7299.978960,8327,954
74,7399.983820,8327,916
75,7500.035940,8320,955
76,7599.992280,8323,917
77,7699.984960,8301,923
78,7799.980860,8327,950
79,7900.010000,8294,955
80,7999.987220,8323,938
81,8099.977600,8312,953
82,8199.989780,8327,955
83,8300.005940,8327,953
84,8399.978720,8310,924
85,8499.985520,8301,936
86,8599.984900,8320,942
87,8699.982820,8310,936
88,8799.991800,8327,910
89,8899.978060,8298,924
90,8999.977960,8325,933
91,9100.031300,8327,956
92,9199.974820,8298,952
93,9299.975320,8326,957
94,9399.976600,8321,951
95,9500.000040,8298,939
96,9600.037620,8303,955
97,9699.987120,8301,938
98,9799.985320,8310,923
99,9899.975780,8326,920
100,9999.989760,8301,905
101,10100.003440,8319,971
102,10199.981540,8327,913
103,10300.001260,8326,953
104,10399.989780,8310,918
105,10500.022460,8327,925
106,10600.033620,8327,971
107,10699.984060,8310,926
108,10799.985280,8314,954
109,10899.985460,8326,955
110,10999.980400,8297,938
111,11099.997000,8325,951
112,11199.975580,8324,955
113,11299.981940,8314,938
114,11400.019860,8307,917
115,11499.982360,8313,951
116,11599.987240,8302,905
117,11699.983980,8310,934
118,11799.993320,8327,929
119,11899.996600,8314,925
120,11999.985980,8302,955
121,12099.994800,8324,906
122,12200.046680,8326,952
123,12299.985400,8310,939
124,12399.998020,8314,955
125,12500.018120,8327,955
126,12599.982920,8327,954
127,12699.979840,8325,913
128,12799.991800,8307,950
129,12899.997400,8310,922
130,12999.996160,8296,957
131,13099.979560,8296,952
132,13199.976420,8296,952
133,13299.974800,8327,955
134,13399.976740,8297,918
135,13499.987980,8294,925
136,13599.992280,8326,908
137,13699.987420,8310,938
138,13799.980060,8327,929
139,13899.982000,8324,923
140,13999.981140,8327,938
141,14099.993500,8326,892
142,14199.988740,8326,937
143,14300.005280,8310,912
144,14399.976540,8314,925
145,14500.029200,8313,936
146,14599.994880,8306,939
147,14699.987360,8326,982
148,14800.009740,8311,922
149,14899.983460,8327,920
150,14999.982060,8307,921
151,15099.996140,8297,964
152,15199.975640,8294,939
153,15299.999400,8327,938
154,15399.984140,8307,938
155,15499.986340,8326,865
156,15599.979980,8318,963
157,15700.061720,8324,907
158,15799.981360,8327,922
159,15899.985660,8293,938
160,15999.974200,8327,923
161,16099.988860,8327,954
162,16199.988140,8311,885
163,16300.022240,8327,921
164,16399.976180,8327,938
165,16500.014780,8326,973
166,16599.989200,8327,935
167,16700.003620,8327,925
168,16799.977880,8327,957
169,16900.004080,8311,925
170,17000.007920,8326,967
171,17099.981140,8324,903
172,17199.986320,8327,954
173,17299.976780,8309,929
174,17399.984460,8314,935
175,17499.985020,8310,968
176,17599.980160,8313,909
177,17699.976520,8309,937
178,17800.012020,8311,921
179,17899.975140,8310,921
180,17999.982660,8327,938
181,18100.013380,8297,934
182,18199.979280,8307,920
183,18299.986040,8323,954
184,18399.984780,8323,951
185,18499.982560,8326,897
186,18599.980440,8310,938
187,18699.979260,8323,922
188,18799.990460,8297,959
189,18900.004100,8314,937
190,18999.984100,8324,921
191,19099.982600,8327,921
192,19199.969880,8297,925
193,19300.042500,8327,922
194,19400.000900,8326,921
195,19499.975020,8307,933
196,19600.067600,8327,908
197,19699.974660,8296,940
198,19799.981540,8311,918
199,19899.994320,8314,911
200,19999.981780,8311,937
201,20099.977560,8326,909
202,20199.990220,8310,951
203,20299.992520,8326,956
204,20400.001160,8297,968
205,20500.007680,8324,953
206,20600.002160,8326,942
207,20699.981100,8327,955
208,20799.990320,8327,954
209,20900.007720,8312,954
210,20999.973120,8327,922
211,21099.982160,8327,962
212,21199.994680,8324,918
213,21299.988700,8310,954
214,21399.979280,8327,921
215,21500.009160,8310,913
216,21600.000340,8327,937
217,21699.975200,8314,921
218,21800.032660,8297,942
219,21900.003720,8314,938
220,21999.996340,8326,921
221,22100.004260,8324,956
222,22199.982940,8324,935
223,22299.989920,8327,968
224,22399.980780,8327,948
225,22500.015520,8313,938
226,22599.998780,8326,920
227,22699.982280,8327,910
228,22800.010220,8324,921
229,22899.977140,8307,899
230,22999.980500,8296,939
231,23099.987320,8297,914
232,23199.979580,8294,950
233,23300.003760,8294,937
234,23399.981100,8310,904
235,23500.022620,8327,920
236,23599.989260,8307,904
237,23699.984900,8326,936
238,23800.004780,8326,922
239,23899.990320,8327,953
240,23999.984140,8326,918
241,24099.974880,8310,942
242,24199.985420,8310,896
243,24299.979860,8310,930
244,24399.992840,8327,947
245,24500.001540,8311,940
246,24599.983480,8327,951
247,24699.991020,8324,938
248,24799.978060,8327,934
249,24899.996420,8327,919
250,25000.006580,8314,925
251,25099.985580,8327,921
252,25199.988340,8310,921
253,25299.979620,8326,921
254,25399.979540,8326,921
255,25500.007280,8327,984
256,25599.984100,8307,921
257,25699.994940,8327,972
258,25799.980140,8327,944
259,25900.007840,8307,922
260,25999.987660,8327,954
261,26099.984020,8318,922
262,26199.980400,8310,904
263,26299.991220,8327,921
264,26399.999060,8313,954
265,26499.985320,8327,965
266,26599.981560,8306,940
267,26699.977520,8327,920
268,26799.979040,8324,972
269,26899.986020,8327,984
270,26999.974560,8318,947
271,27099.987340,8327,921
272,27200.007520,8327,921
273,27299.991700,8294,963
274,27400.016160,8326,909
275,27499.984780,8310,921
276,27599.984920,8313,924
277,27699.997480,8310,904
278,27799.979120,8314,921
279,27900.013440,8310,921
280,28000.004760,8318,953
281,28099.983220,8326,920
282,28199.980000,8327,947
283,28300.001300,8297,938
284,28400.011240,8327,911
285,28499.980260,8324,921
286,28600.009620,8323,949
287,28700.000820,8294,925
288,28800.002720,8327,938
289,28899.974120,8323,938
290,29000.005620,8327,940
291,29100.010260,8327,914
292,29199.983080,8327,924
293,29300.026260,8311,905
294,29399.983680,8327,920
295,29500.001500,8309,907
296,29599.977900,8309,923
297,29699.999240,8327,938
298,29800.013540,8314,916
299,29899.988940,8324,940
300,29999.985560,8324,964
301,30099.979240,8323,922
302,30199.976700,8297,954
303,30299.981580,8294,938
304,30399.979840,8314,924
305,30500.004260,8327,921
306,30599.983840,8294,918
307,30699.978540,8324,920
308,30799.981240,8324,923
309,30899.984420,8323,937
310,30999.981800,8306,905
311,31099.982360,8310,960
312,31199.989280,8314,889
313,31299.983780,8297,937
314,31399.983680,8326,919
315,31499.975160,8327,922
316,31599.989600,8301,943
317,31699.974260,8318,896
318,31799.983260,8323,928
319,31899.989900,8327,921
320,31999.983520,8324,921
321,32099.972640,8310,921
322,32199.981520,8324,919
323,32299.981380,8310,921
324,32399.979980,8308,908
325,32500.008100,8327,951
326,32599.992800,8314,909
327,32700.004780,8326,928
328,32799.975940,8325,912
329,32899.970780,8313,922
330,33000.045360,8310,917
331,33100.007680,8308,932
332,33199.999560,8293,904
333,33299.980280,8327,921
334,33400.047760,8327,951
335,33499.978320,8326,904
336,33599.988240,8314,949
337,33700.010480,8327,904
338,33800.084920,8310,895
339,33900.006700,8314,922
340,33999.996400,8325,907
341,34099.987380,8309,958
342,34199.971600,8326,920
343,34299.976880,8327,922
344,34400.008280,8323,921
345,34499.989640,8313,921
346,34600.033320,8327,923
347,34700.012520,8307,921
348,34800.026320,8326,925
349,34900.002260,8326,925
350,35000.013360,8327,925
351,35100.006240,8296,912
352,35199.986960,8301,929
353,35299.988260,8319,976
354,35399.986680,8308,920
355,35499.978680,8311,959
356,35600.000180,8301,920
357,35699.981600,8323,925
358,35800.027160,8297,920
359,35899.979380,8326,912
360,35999.975440,8327,950
361,36100.006820,8310,921
362,36199.988480,8314,918
363,36299.980760,8318,920
364,36399.979600,8325,951
365,36499.983140,8327,921
366,36600.050120,8310,913
367,36699.977800,8327,967
368,36799.985340,8320,918
369,36900.047520,8327,915
370,36999.991460,8327,904
371,37099.984000,8327,921
372,37199.982360,8318,948
373,37300.001120,8324,954
374,37400.012060,8327,921
375,37499.978080,8294,921
376,37599.996260,8314,920
377,37700.041980,8326,917
378,37799.984460,8324,953
379,37899.977100,8323,909
380,37999.981240,8310,937
381,38099.974120,8324,923
382,38200.006520,8324,922
383,38299.999360,8326,929
384,38399.979080,8326,904
385,38500.000480,8293,921
386,38599.985760,8327,951
387,38699.980920,8327,915
388,38800.004640,8327,921
389,38899.985020,8327,921
390,38999.992580,8327,929
391,39099.989580,8327,904
392,39199.978560,8295,938
393,39299.984780,8327,927
394,39399.981100,8294,941
395,39500.006440,8301,911
396,39599.979020,8325,935
397,39699.980860,8326,972
398,39799.986480,8324,904
399,39899.982600,8307,936
400,40000.075980,8327,938
401,40099.987600,8324,921
402,40200.007100,8326,921
403,40299.979180,8327,914
404,40400.001600,8325,921
405,40499.982660,8324,950
