Sample,X(ms) [01.05.2017 19:59:31 733 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
8,799.988860,1059,5750
9,900.034300,1058,5767
10,1000.023920,1062,5767
11,1099.997040,1078,5766
12,1199.996860,1066,5766
13,1299.993560,1104,5767
14,1400.002360,1041,5767
15,1499.987240,1090,5766
16,1599.998980,1073,5767
17,1699.986320,1092,5767
18,1799.989480,1061,5767
19,1900.013220,1058,5767
20,2000.041960,1075,5767
21,2099.993600,1075,5765
22,2199.989360,1092,5767
23,2299.989200,1088,5767
24,2400.054220,1088,5767
25,2499.987840,1059,5767
26,2599.983360,1076,5766
27,2700.004440,1088,5765
28,2800.024040,1075,5767
29,2900.000980,1082,5765
30,2999.988680,1088,5767
31,3099.994960,1091,5767
32,3200.027240,1062,5767
33,3299.993240,1071,5767
34,3399.994700,1090,5767
35,3499.981040,1058,5767
36,3599.991220,1061,5767
37,3699.990220,1074,5767
38,3799.991920,1075,5767
39,3899.993720,1076,5767
40,3999.990180,1072,5767
41,4099.995820,1091,5767
42,4200.017720,1082,5767
43,4299.984380,1075,5763
44,4400.020360,1091,5766
45,4499.987840,1071,5767
46,4599.987480,1091,5767
47,4700.011980,1077,5767
48,4800.044000,1092,5767
49,4899.981080,1072,5767
50,4999.989540,1105,5767
51,5100.020620,1059,5767
52,5199.999640,1089,5766
53,5299.992980,1041,5767
54,5400.026320,1090,5766
55,5500.001660,1043,5767
56,5599.982660,1078,5767
57,5699.990020,1075,5766
58,5800.008900,1062,5767
59,5899.991180,1058,5767
60,5999.985900,1075,5767
61,6099.994480,1075,5767
62,6199.993800,1075,5749
63,6300.006940,1047,5767
64,6399.994200,1059,5767
65,6499.992280,1076,5766
66,6600.033680,1045,5763
67,6700.006880,1073,5767
68,6799.992720,1059,5767
69,6899.988600,1109,5767
70,7000.012500,1060,5766
71,7099.998340,1110,5767
72,7200.018860,1075,5767
73,7299.997900,1059,5767
74,7399.987040,1090,5767
75,7499.986360,1081,5767
76,7599.996800,1087,5767
77,7700.010380,1084,5767
78,7799.990900,1108,5767
79,7900.048160,1058,5767
80,7999.999720,1059,5750
81,8099.984940,1058,5767
82,8199.983360,1075,5767
83,8299.992600,1071,5754
84,8399.985080,1076,5767
85,8499.985980,1088,5767
86,8600.012020,1041,5767
87,8699.988460,1075,5767
88,8800.002640,1051,5767
89,8899.992120,1075,5767
90,9000.043660,1088,5767
91,9099.993360,1076,5767
92,9199.984080,1075,5767
93,9300.005220,1075,5767
94,9399.989360,1075,5767
95,9500.005040,1091,5750
96,9599.992920,1059,5750
97,9699.993480,1059,5767
98,9799.984440,1088,5767
99,9900.024980,1043,5767
100,9999.992100,1062,5751
101,10100.012360,1056,5767
102,10199.993140,1074,5767
103,10300.018580,1088,5767
104,10400.007920,1079,5765
105,10499.994240,1058,5767
106,10599.997180,1084,5767
107,10699.988900,1089,5767
108,10799.989140,1058,5767
109,10899.988680,1076,5767
110,11000.015940,1108,5767
111,11100.003420,1108,5767
112,11199.987420,1058,5767
113,11299.987180,1083,5767
114,11400.005060,1060,5767
115,11500.020180,1086,5767
116,11599.981580,1084,5767
117,11699.991580,1075,5767
118,11800.065520,1079,5767
119,11899.995360,1058,5766
120,11999.998400,1058,5767
121,12099.998040,1088,5767
122,12200.014700,1074,5767
123,12299.983720,1079,5767
124,12399.989880,1059,5767
125,12500.003260,1063,5750
126,12600.012560,1092,5754
127,12700.029620,1059,5767
128,12799.993660,1063,5767
129,12899.990680,1059,5780
130,12999.996080,1092,5767
131,13099.983280,1058,5767
132,13199.995520,1071,5767
133,13300.020180,1093,5767
134,13399.983780,1059,5767
135,13500.000980,1090,5785
136,13600.030660,1075,5767
137,13699.985220,1088,5770
138,13800.017920,1079,5767
139,13899.994400,1088,5767
140,13999.988540,1080,5750
141,14099.993800,1109,5767
142,14200.055460,1109,5767
143,14299.996360,1058,5767
144,14400.011020,1071,5768
145,14500.003280,1058,5767
146,14600.008720,1058,5777
147,14699.979060,1059,5764
148,14799.990780,1092,5767
149,14899.981740,1108,5783
150,14999.993300,1059,5767
151,15100.003700,1088,5767
152,15199.996420,1084,5737
153,15300.013560,1062,5767
154,15399.998020,1107,5767
155,15499.992020,1095,5767
156,15600.015480,1075,5767
157,15699.992540,1075,5767
158,15800.012940,1092,5767
159,15899.999040,1088,5798
160,15999.988020,1075,5767
161,16100.057300,1105,5782
162,16199.987300,1091,5767
163,16300.009780,1088,5776
164,16399.998120,1092,5768
165,16500.004200,1084,5782
166,16599.991620,1075,5767
167,16699.988280,1075,5767
168,16799.985760,1060,5785
169,16899.985260,1092,5767
170,16999.990240,1090,5777
171,17099.986900,1096,5800
172,17199.992260,1065,5798
173,17299.990640,1090,5774
174,17399.995060,1067,5774
175,17499.999880,1091,5767
176,17600.017300,1081,5767
177,17700.055680,1060,5775
178,17800.039940,1085,5774
179,17899.992180,1092,5767
180,17999.998220,1086,5743
181,18100.000660,1058,5761
182,18200.000200,1076,5767
183,18299.980380,1059,5775
184,18399.998560,1088,5767
185,18500.070840,1091,5767
186,18599.992260,1058,5767
187,18699.990720,1060,5767
188,18800.020880,1090,5767
189,18900.008620,1090,5767
190,18999.998400,1060,5767
191,19099.994420,1060,5767
192,19199.993340,1066,5767
193,19299.993260,1090,5767
194,19399.994020,1094,5767
195,19500.017800,1066,5767
196,19599.986300,1073,5767
197,19700.016120,1084,5767
198,19799.992460,1064,5767
199,19899.986440,1058,5767
200,19999.994800,1116,5767
201,20100.016800,1058,5767
202,20200.018080,1058,5767
203,20299.994100,1084,5767
204,20399.993820,1085,5767
205,20499.986260,1092,5761
206,20599.993480,1074,5767
207,20700.021000,1088,5767
208,20800.003000,1083,5767
209,20899.995460,1058,5767
210,20999.989380,1083,5767
211,21100.009800,1058,5767
212,21199.989520,1066,5767
213,21300.022640,1051,5767
214,21399.988300,1092,5767
215,21499.989200,1058,5767
216,21599.986740,1066,5767
217,21699.988820,1060,5767
218,21799.991380,1066,5767
219,21899.993180,1058,5767
220,22000.001240,1065,5767
221,22099.985460,1060,5767
222,22199.986160,1086,5767
223,22300.014780,1085,5767
224,22399.983360,1060,5767
