Sample,X(ms) [18.06.2017 19:25:59 271 UTC],"M_ball_position"[%MD40],"M_ball_velocity"[%MD56],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_ball_present"[%M4.4]
93,700.988180,0.0353376008570194,1.69550919532776,-0.0173510611057281,0,0
94,709.526580,0.0398262590169907,1.69550919532776,-0.0173510611057281,0,0
95,717.451840,0.0146719738841057,1.69550919532776,-0.0173510611057281,0,0
96,725.621620,0.0146719738841057,1.69550919532776,-0.0173510611057281,0,0
97,733.531700,-0.0144388964399695,1.69550919532776,-0.0173510611057281,0,0
98,741.565500,-0.0415520295500755,1.69550919532776,-0.0173510611057281,0,0
99,749.787900,-0.0653108209371567,-2.01296830177307,-0.0173510611057281,0,0
100,757.807320,-0.0862747207283974,-2.01296830177307,-0.0173510611057281,0,0
101,765.841820,-0.0862747207283974,-2.01296830177307,-0.0173510611057281,0,0
102,773.879240,-0.0741536170244217,-2.01296830177307,-0.0173510611057281,0,0
103,782.378340,-0.0240281671285629,-2.01296830177307,-0.0173510611057281,0,0
104,790.078820,0.00103454594500363,-2.01296830177307,-0.0173510611057281,0,0
105,798.100000,-0.005588264670223,-2.01296830177307,-0.0173510611057281,0,0
106,806.443920,-0.005588264670223,1.19445109367371,-0.0173510611057281,0,0
107,813.918540,-0.030530147254467,1.19445109367371,-0.0173510611057281,0,0
108,820.044980,-0.0676223784685135,1.19445109367371,-0.0173510611057281,0,0
109,826.413360,-0.107509516179562,1.19445109367371,-0.0173510611057281,0,0
110,832.535380,-0.107509516179562,1.19445109367371,-0.0173510611057281,0,0
111,838.758800,-0.126744344830513,1.19445109367371,-0.0173510611057281,0,0
112,845.435400,-0.126744344830513,1.19445109367371,-0.0173510611057281,0,0
113,852.116540,-0.174222111701965,-3.37267684936523,-0.0173510611057281,0,0
114,858.851060,-0.209361344575882,-3.37267684936523,-0.0173510611057281,0,0
115,865.026340,-0.209361344575882,-3.37267684936523,-0.0173510611057281,0,0
116,871.451560,-0.218263447284698,-3.37267684936523,-0.0173510611057281,0,0
117,877.665140,-0.220095559954643,-3.37267684936523,-0.0173510611057281,0,0
