Sample,X(ms) [18.06.2017 16:30:30 024 UTC],"M_ball_position"[%MD40],"M_ball_velocity"[%MD56],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_ball_present"[%M4.4]
106,784.619220,-0.0534392558038235,2.89697790145874,0.0593339800834656,0,0
107,792.790960,-0.0868633463978767,2.89697790145874,0.0593339800834656,0,0
108,800.848200,-0.0958250463008881,-2.66102600097656,0.0593339800834656,0,0
109,808.824620,-0.0609040632843971,-2.66102600097656,0.0593339800834656,0,0
110,816.628680,-0.0128972241654992,-2.66102600097656,0.0593339800834656,0,0
111,824.538600,-0.0128972241654992,-2.66102600097656,0.0593339800834656,0,0
112,832.547660,0.0157088655978441,-2.66102600097656,0.0593339800834656,0,0
113,840.459220,0.0198096856474876,-2.66102600097656,0.0593339800834656,0,0
114,848.545160,-0.00299022672697902,1.85669648647308,0.0593339800834656,0,0
115,854.663020,-0.0334362424910069,1.85669648647308,0.0593339800834656,0,0
116,860.756920,-0.0334362424910069,1.85669648647308,0.0593339800834656,0,0
117,866.829960,-0.0687743574380875,1.85669648647308,0.0593339800834656,0,0
118,873.470860,-0.0687743574380875,1.85669648647308,0.0593339800834656,0,0
119,879.552640,-0.0863469317555428,1.85669648647308,0.0593339800834656,0,0
120,885.653840,-0.0570898614823818,1.85669648647308,0.0593339800834656,0,0
121,891.749140,-0.0570898614823818,1.85669648647308,0.0593339800834656,0,0
122,898.426600,-0.000787887547630817,0.0440467856824398,0.0593339800834656,0,0
123,904.550380,-0.000787887547630817,0.0440467856824398,0.0593339800834656,0,0
124,910.685160,0.0443304814398289,0.0440467856824398,0.0593339800834656,0,0
125,916.742260,0.0475425533950329,0.0440467856824398,0.0593339800834656,0,0
126,922.861180,0.0475425533950329,0.0440467856824398,0.0593339800834656,0,0
127,928.996620,0.0206809043884277,0.0440467856824398,0.0593339800834656,0,0
128,935.245640,-0.00510295853018761,0.0440467856824398,0.0593339800834656,0,0
129,941.749300,-0.00510295853018761,0.0440467856824398,0.0593339800834656,0,0
130,948.478760,-0.0334712788462639,-0.653667807579041,0.0593339800834656,0,0
131,954.584100,-0.0334712788462639,-0.653667807579041,0.0593339800834656,0,0
132,961.859960,-0.0599840916693211,-0.653667807579041,0.0593339800834656,0,0
133,969.648520,-0.0946419537067413,-0.653667807579041,0.0593339800834656,0,0
134,978.067360,-0.0813884735107422,-0.653667807579041,0.0593339800834656,0,0
135,986.038760,-0.0264196768403053,-0.653667807579041,0.0593339800834656,0,0
136,993.685060,-0.0264196768403053,-0.653667807579041,0.0593339800834656,0,0
137,1001.817940,0.0266468804329634,1.20236325263977,0.0593339800834656,0,0
138,1008.446080,0.0445293225347996,1.20236325263977,0.0593339800834656,0,0
139,1014.516540,0.0445293225347996,1.20236325263977,0.0593339800834656,0,0
140,1020.895260,0.0274908263236284,1.20236325263977,0.0593339800834656,0,0
