Sample,X(ms) [18.06.2017 16:29:21 886 UTC],"M_ball_position"[%MD40],"M_ball_velocity"[%MD56],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_ball_present"[%M4.4]
96,711.226100,-0.0433314703404903,-0.511233150959015,-0.0158510506153107,0,0
97,719.292460,-0.0501336678862572,-0.511233150959015,-0.0158510506153107,0,0
98,727.918080,-0.0322297662496567,-0.511233150959015,-0.0158510506153107,0,0
99,735.982780,0.00717203132808208,0.123567961156368,-0.0158510506153107,0,0
100,743.624260,0.0360178388655186,0.123567961156368,-0.0158510506153107,0,0
101,751.442180,0.0360178388655186,0.123567961156368,-0.0158510506153107,0,0
102,759.385640,0.0265513807535172,0.123567961156368,-0.0158510506153107,0,0
103,767.209160,-0.00094179151346907,0.123567961156368,-0.0158510506153107,0,0
104,774.454700,-0.0203600693494082,0.123567961156368,-0.0158510506153107,0,0
105,780.935660,-0.0203600693494082,0.123567961156368,-0.0158510506153107,0,0
106,787.392640,-0.0331808477640152,-0.807057619094849,-0.0158510506153107,0,0
107,793.697320,-0.0296180155128241,-0.807057619094849,-0.0158510506153107,0,0
108,800.143600,-0.0296180155128241,-0.807057619094849,-0.0158510506153107,0,0
109,806.238020,0.00191740039736032,-0.807057619094849,-0.0158510506153107,0,0
110,812.297820,0.0403485670685768,-0.807057619094849,-0.0158510506153107,0,0
111,818.450640,0.0403485670685768,-0.807057619094849,-0.0158510506153107,0,0
112,824.538400,0.0719893276691437,-0.807057619094849,-0.0158510506153107,0,0
113,830.656020,0.0719893276691437,-0.807057619094849,-0.0158510506153107,0,0
114,837.206560,0.0999697670340538,2.66301202774048,-0.0158510506153107,0,0
115,843.274360,0.0958027243614197,2.66301202774048,-0.0158510506153107,0,0
116,849.384900,0.0958027243614197,2.66301202774048,-0.0158510506153107,0,0
117,855.482700,0.0655887052416801,2.66301202774048,-0.0158510506153107,0,0
118,861.600240,0.0655887052416801,2.66301202774048,-0.0158510506153107,0,0
119,867.720740,0.0244054608047009,2.66301202774048,-0.0158510506153107,0,0
120,873.954860,-0.013117466121912,2.66301202774048,-0.0158510506153107,0,0
121,880.362620,-0.013117466121912,2.66301202774048,-0.0158510506153107,0,0
122,886.735080,-0.045264970511198,-2.90469455718994,-0.0158510506153107,0,0
123,894.613580,-0.0808544382452965,-2.90469455718994,-0.0158510506153107,0,0
124,902.494900,-0.0940104499459267,-2.90469455718994,-0.0158510506153107,0,0
125,911.093960,-0.0940104499459267,-2.90469455718994,-0.0158510506153107,0,0
126,918.962260,-0.0474751479923725,-2.90469455718994,-0.0158510506153107,0,0
127,925.974440,-0.0120474053546786,-2.90469455718994,-0.0158510506153107,0,0
128,933.664080,-0.0157349966466427,-2.90469455718994,-0.0158510506153107,0,0
129,940.659080,-0.0157349966466427,0.590599477291107,-0.0158510506153107,0,0
130,946.956180,-0.0229854006320238,0.590599477291107,-0.0158510506153107,0,0
131,953.207980,-0.0302163511514664,0.590599477291107,-0.0158510506153107,0,0
132,959.286720,-0.0302163511514664,0.590599477291107,-0.0158510506153107,0,0
133,965.476220,-0.0514590255916119,0.590599477291107,-0.0158510506153107,0,0
134,971.593240,-0.0514590255916119,0.590599477291107,-0.0158510506153107,0,0
135,977.722280,-0.0776892676949501,0.590599477291107,-0.0158510506153107,0,0
136,984.233100,-0.0774788111448288,0.590599477291107,-0.0158510506153107,0,0
137,990.608360,-0.0774788111448288,-1.23487627506256,-0.0158510506153107,0,0
138,997.237000,-0.0341730490326881,-1.23487627506256,-0.0158510506153107,0,0
139,1003.350260,0.0208484083414078,-1.23487627506256,-0.0158510506153107,0,0
140,1009.441900,0.0208484083414078,-1.23487627506256,-0.0158510506153107,0,0
141,1015.556600,0.0552450940012932,-1.23487627506256,-0.0158510506153107,0,0
142,1021.692540,0.0552450940012932,-1.23487627506256,-0.0158510506153107,0,0
143,1027.953680,0.0450808703899384,-1.23487627506256,-0.0158510506153107,0,0
144,1034.034200,0.0175643544644117,-1.23487627506256,-0.0158510506153107,0,0
145,1040.444460,0.0175643544644117,1.90086328983307,-0.0158510506153107,0,0
146,1046.562060,-0.0132577894255519,1.90086328983307,-0.0158510506153107,0,0
147,1052.663840,-0.0408289320766926,1.90086328983307,-0.0158510506153107,0,0
148,1058.920800,-0.0408289320766926,1.90086328983307,-0.0158510506153107,0,0
149,1065.139800,-0.0714133083820343,1.90086328983307,-0.0158510506153107,0,0
150,1071.244980,-0.0714133083820343,1.90086328983307,-0.0158510506153107,0,0
151,1078.924740,-0.0991306304931641,1.90086328983307,-0.0158510506153107,0,0
152,1087.014300,-0.073756068944931,-1.82640850543976,-0.0158510506153107,0,0
153,1094.636100,-0.013458576053381,-1.82640850543976,-0.0158510506153107,0,0
154,1102.506180,-0.013458576053381,-1.82640850543976,-0.0158510506153107,0,0
155,1110.284960,0.0393175520002842,-1.82640850543976,-0.0158510506153107,0,0
156,1118.276580,0.0595154948532581,-1.82640850543976,-0.0158510506153107,0,0
157,1126.100940,0.0384327135980129,-1.82640850543976,-0.0158510506153107,0,0
158,1133.725120,-0.000275249476544559,-1.82640850543976,-0.0158510506153107,0,0
159,1142.077040,-0.000275249476544559,1.46961641311646,-0.0158510506153107,0,0
160,1150.021640,-0.0474225990474224,1.46961641311646,-0.0158510506153107,0,0
161,1158.021640,-0.0880601480603218,1.46961641311646,-0.0158510506153107,0,0
162,1165.597440,-0.0715010836720467,1.46961641311646,-0.0158510506153107,0,0
163,1173.416300,-0.0157078169286251,1.46961641311646,-0.0158510506153107,0,0
164,1181.418180,-0.0157078169286251,1.46961641311646,-0.0158510506153107,0,0
165,1188.470460,0.0380604155361652,0.766713321208954,-0.0158510506153107,0,0
166,1194.542080,0.0457299053668976,0.766713321208954,-0.0158510506153107,0,0
167,1201.243540,0.0457299053668976,0.766713321208954,-0.0158510506153107,0,0
168,1207.374180,0.0164339058101177,0.766713321208954,-0.0158510506153107,0,0
169,1213.454680,-0.0116361426189542,0.766713321208954,-0.0158510506153107,0,0
170,1219.674800,-0.0116361426189542,0.766713321208954,-0.0158510506153107,0,0
171,1225.998320,-0.035644456744194,0.766713321208954,-0.0158510506153107,0,0
172,1232.175820,-0.035644456744194,0.766713321208954,-0.0158510506153107,0,0
173,1238.579400,-0.0697819888591766,-2.15684795379639,-0.0158510506153107,0,0
174,1244.657400,-0.116038627922535,-2.15684795379639,-0.0158510506153107,0,0
175,1252.533260,-0.116038627922535,-2.15684795379639,-0.0158510506153107,0,0
176,1260.298640,-0.122332118451595,-2.15684795379639,-0.0158510506153107,0,0
177,1268.384120,-0.057861689478159,-2.15684795379639,-0.0158510506153107,0,0
178,1276.195640,0.00764560699462891,-2.15684795379639,-0.0158510506153107,0,0
179,1284.045840,0.0408572778105736,-2.15684795379639,-0.0158510506153107,0,0
180,1292.276040,0.0408572778105736,2.21278524398804,-0.0158510506153107,0,0
181,1299.401820,0.0389803871512413,2.21278524398804,-0.0158510506153107,0,0
182,1305.501880,0.0123272510245442,2.21278524398804,-0.0158510506153107,0,0
183,1311.594740,0.0123272510245442,2.21278524398804,-0.0158510506153107,0,0
184,1317.694900,-0.0256810374557972,2.21278524398804,-0.0158510506153107,0,0
185,1323.957140,-0.0582397654652596,2.21278524398804,-0.0158510506153107,0,0
186,1330.050260,-0.0582397654652596,2.21278524398804,-0.0158510506153107,0,0
187,1336.414660,-0.0892275646328926,-2.60169672966003,-0.0158510506153107,0,0
188,1342.485960,-0.0938233584165573,-2.60169672966003,-0.0158510506153107,0,0
189,1348.582040,-0.0938233584165573,-2.60169672966003,-0.0158510506153107,0,0
190,1354.706660,-0.0563939660787582,-2.60169672966003,-0.0158510506153107,0,0
191,1360.971420,-0.0563939660787582,-2.60169672966003,-0.0158510506153107,0,0
192,1367.115880,-0.0435439124703407,-2.60169672966003,-0.0158510506153107,0,0
193,1373.232900,-0.109542608261108,-2.60169672966003,-0.0158510506153107,0,0
194,1379.607280,-0.109542608261108,-2.60169672966003,-0.0158510506153107,0,0
195,1386.335680,-0.154421478509903,-1.30387830734253,-0.0158510506153107,0,0
196,1392.479280,-0.184311658143997,-1.30387830734253,-0.0158510506153107,0,0
197,1398.721020,-0.184311658143997,-1.30387830734253,-0.0158510506153107,0,0
198,1405.026540,-0.211993500590324,-1.30387830734253,-0.0158510506153107,0,0
199,1411.102540,-0.211993500590324,-1.30387830734253,-0.0158510506153107,0,0
200,1417.271060,-0.225697219371796,-1.30387830734253,-0.0158510506153107,0,0
201,1423.365900,-0.228805005550385,-1.30387830734253,-0.0158510506153107,0,0
202,1429.479080,-0.228805005550385,-1.30387830734253,-0.0158510506153107,0,0
203,1436.033860,-0.220541194081306,-1.32239425182343,-0.0158510506153107,0,0
204,1442.144680,-0.220541194081306,-1.32239425182343,-0.0158510506153107,0,0
205,1448.235980,-0.210239320993423,-1.32239425182343,-0.0158510506153107,0,0
206,1454.297980,-0.19943530857563,-1.32239425182343,-0.0158510506153107,0,0
207,1460.406360,-0.19943530857563,-1.32239425182343,-0.0158510506153107,0,0
208,1466.528580,-0.191285625100136,-1.32239425182343,-0.0158510506153107,0,0
209,1472.578340,-0.184639513492584,-1.32239425182343,-0.0158510506153107,0,0
210,1479.124660,-0.184639513492584,-1.32239425182343,-0.0158510506153107,0,0
211,1487.467040,-0.181922525167465,0.772373378276825,-0.0158510506153107,0,0
212,1495.193760,-0.177478134632111,0.772373378276825,-0.0158510506153107,0,0
213,1503.232480,-0.168935045599937,0.772373378276825,-0.0158510506153107,0,0
214,1511.112080,-0.168935045599937,0.772373378276825,-0.0158510506153107,0,0
215,1518.702440,-0.161386534571648,0.772373378276825,-0.0158510506153107,0,0
216,1526.549900,-0.154791116714478,0.772373378276825,-0.0158510506153107,0,0
217,1534.480260,-0.145100638270378,0.772373378276825,-0.0158510506153107,0,0
218,1542.561560,-0.137010782957077,0.736437737941742,-0.0158510506153107,0,1
219,1550.346400,-0.137010782957077,0.736437737941742,-0.0158510506153107,0,1
220,1558.402900,-0.133275076746941,0.736437737941742,-0.0158510506153107,0,1
221,1567.132560,-0.131319165229797,0.736437737941742,-0.0158510506153107,0,1
222,1573.584680,-0.127595975995064,0.736437737941742,-0.0158510506153107,0,1
223,1580.213860,-0.127595975995064,0.736437737941742,-0.0158510506153107,0,1
224,1586.599520,-0.126151546835899,0.378981828689575,-0.0158510506153107,0,1
225,1592.723640,-0.125495687127113,0.378981828689575,-0.0158510506153107,0,1
226,1599.406980,-0.125495687127113,0.378981828689575,-0.0158510506153107,0,1
227,1605.560320,-0.125101402401924,0.378981828689575,-0.0158510506153107,0,1
228,1611.634220,-0.125101402401924,0.378981828689575,-0.0158510506153107,0,1
229,1617.955340,-0.124835945665836,0.378981828689575,-0.0158510506153107,0,1
230,1623.993320,-0.124839827418327,0.378981828689575,-0.0158510506153107,0,1
231,1630.093400,-0.124839827418327,0.378981828689575,-0.0158510506153107,0,1
232,1636.516480,-0.124707110226154,0.0288887321949005,-0.0158510506153107,0,1
233,1642.593380,-0.124707110226154,0.0288887321949005,-0.0158510506153107,0,1
234,1648.676700,-0.124707110226154,0.0288887321949005,-0.0158510506153107,0,1
235,1654.942220,-0.124773159623146,0.0288887321949005,-0.0158510506153107,0,1
236,1661.003220,-0.124773159623146,0.0288887321949005,-0.0158510506153107,0,1
237,1667.142620,-0.124804250895977,0.0288887321949005,-0.0158510506153107,0,1
238,1673.322500,-0.122303798794746,0.0288887321949005,-0.0158510506153107,0,1
239,1679.711720,-0.122303798794746,0.0288887321949005,-0.0158510506153107,0,1
240,1686.279540,-0.121101468801498,0.0721128284931183,-0.0207926444709301,-0.0988318771123886,1
241,1692.354540,-0.120349042117596,0.0721128284931183,-0.0207926444709301,-0.0988318771123886,1
242,1698.601980,-0.120349042117596,0.0721128284931183,-0.0207926444709301,-0.0988318771123886,1
243,1704.696720,-0.12011256814003,0.0721128284931183,-0.0158510506153107,-0.0988318771123886,1
244,1710.952240,-0.12011256814003,0.0721128284931183,-0.0158510506153107,-0.0988318771123886,1
245,1717.094740,-0.120062328875065,0.0721128284931183,-0.0158510506153107,-0.0988318771123886,1
246,1723.157340,-0.120116733014584,0.0721128284931183,-0.0109273865818977,-0.0988318771123886,1
247,1729.252900,-0.120116733014584,0.0721128284931183,-0.0109273865818977,-0.0988318771123886,1
248,1738.214480,-0.11998488754034,0.0223316252231598,-0.00602381676435471,0.295376539230347,1
249,1745.736360,-0.12013253569603,0.0223316252231598,-0.00114241242408752,0.295376539230347,1
250,1753.649140,-0.120308965444565,0.0223316252231598,0.00371459499001503,0.295376539230347,1
251,1761.332420,-0.120308965444565,0.0223316252231598,0.0133469998836517,0.295376539230347,1
252,1769.228940,-0.120487906038761,0.0223316252231598,0.0181181281805038,0.295376539230347,1
253,1776.600080,-0.123391300439835,0.0223316252231598,0.0275598466396332,0.295376539230347,1
254,1783.138420,-0.12500236928463,0.0223316252231598,0.0322262197732925,0.295376539230347,1
255,1789.578280,-0.12500236928463,-0.100349634885788,0.0414398014545441,0.765000700950623,1
256,1795.737540,-0.128167301416397,-0.100349634885788,0.0459829717874527,0.765000700950623,1
257,1802.368260,-0.129804402589798,-0.100349634885788,0.0549320131540298,0.765000700950623,1
258,1808.461020,-0.129804402589798,-0.100349634885788,0.0593339800834656,0.765000700950623,1
259,1814.570180,-0.130849033594131,-0.100349634885788,0.0679831057786942,0.765000700950623,1
260,1820.676180,-0.130849033594131,-0.100349634885788,0.0722264125943184,0.765000700950623,1
261,1826.983060,-0.131321653723717,-0.100349634885788,0.0805413499474525,0.765000700950623,1
262,1833.071080,-0.131784051656723,-0.100349634885788,0.0846092328429222,0.765000700950623,1
263,1839.537180,-0.131784051656723,-0.135633647441864,0.0925570800900459,1.12777721881866,1
264,1845.651760,-0.131876081228256,-0.135633647441864,0.0964334979653358,1.12777721881866,1
265,1851.709740,-0.131876081228256,-0.135633647441864,0.103982754051685,1.12777721881866,1
266,1858.034840,-0.132070109248161,-0.135633647441864,0.107652314007282,1.12777721881866,1
267,1864.095960,-0.132090553641319,-0.135633647441864,0.11124961823225,1.12777721881866,1
268,1870.253300,-0.132090553641319,-0.135633647441864,0.114773206412792,1.12777721881866,1
269,1876.414760,-0.132192805409431,-0.135633647441864,0.11822135001421,1.12777721881866,1
270,1884.320400,-0.132238820195198,-0.135633647441864,0.11822135001421,1.12777721881866,1
271,1892.392660,-0.132238820195198,-0.00909537076950073,0.121592633426189,0.592125356197357,1
272,1900.310980,-0.132264390587807,-0.00909537076950073,0.124885596334934,0.592125356197357,1
273,1908.169660,-0.132279723882675,-0.00909537076950073,0.124885596334934,0.592125356197357,1
274,1915.947500,-0.135667890310287,-0.00909537076950073,0.128098756074905,0.592125356197357,1
275,1923.694140,-0.13725957274437,-0.00909537076950073,0.128098756074905,0.592125356197357,1
276,1931.503620,-0.13725957274437,-0.00909537076950073,0.131230711936951,0.592125356197357,1
277,1939.605160,-0.138142541050911,-0.118074417114258,0.131230711936951,0.260187238454819,1
278,1947.499520,-0.138482436537743,-0.118074417114258,0.131230711936951,0.260187238454819,1
279,1955.494420,-0.138654932379723,-0.118074417114258,0.131230711936951,0.260187238454819,1
280,1963.273300,-0.138644710183144,-0.118074417114258,0.134280055761337,0.260187238454819,1
281,1970.940460,-0.138644710183144,-0.118074417114258,0.134280055761337,0.260187238454819,1
282,1977.422600,-0.135591194033623,-0.118074417114258,0.134280055761337,0.260187238454819,1
283,1983.532160,-0.133841082453728,-0.118074417114258,0.134280055761337,0.260187238454819,1
284,1991.169280,-0.133841082453728,0.0860291719436646,0.137245446443558,0.0609868764877319,1
285,1999.055280,-0.132978603243828,0.0860291719436646,0.137245446443558,0.0609868764877319,1
286,2007.012900,-0.132462993264198,0.0860291719436646,0.140125632286072,0.0609868764877319,1
287,2013.264680,-0.132115706801414,0.0860291719436646,0.140125632286072,0.0609868764877319,1
288,2019.391200,-0.132115706801414,0.0860291719436646,0.142919301986694,0.0609868764877319,1
289,2025.541360,-0.13203901052475,0.0860291719436646,0.14562526345253,0.0609868764877319,1
290,2031.613640,-0.13203901052475,0.0860291719436646,0.14562526345253,0.0609868764877319,1
291,2038.208380,-0.131630390882492,0.0442138314247131,0.148242264986038,0.279244184494019,1
292,2044.271740,-0.131349176168442,0.0442138314247131,0.150769174098969,0.279244184494019,1
293,2050.388380,-0.131349176168442,0.0442138314247131,0.15320497751236,0.279244184494019,1
294,2056.533800,-0.131032183766365,0.0442138314247131,0.15320497751236,0.279244184494019,1
295,2062.581120,-0.130704954266548,0.0442138314247131,0.155548453330994,0.279244184494019,1
296,2068.686220,-0.130704954266548,0.0442138314247131,0.157798707485199,0.279244184494019,1
297,2075.990520,-0.130449309945107,0.0442138314247131,0.159954637289047,0.279244184494019,1
298,2083.733420,-0.130147650837898,0.0442138314247131,0.162015348672867,0.279244184494019,1
299,2091.987060,-0.130147650837898,0.0296548008918762,0.163979947566986,0.275461673736572,1
