Sample,X(ms) [26.05.2017 18:31:40 829 UTC],time [s],"I_encoder"[%ID1000],angle [rad],"Q_motor_direction"[%Q4.0],"Q_motor_PWM"[%QW1000],control [V]
0,0,0,0,0,0,0,0
113,'144,52496','0,14452496',0,0,0,0,0
114,'145,43682','0,14543682',0,0,0,0,0
115,'146,93722','0,14693722',0,0,0,0,0
116,'147,86384','0,14786384',0,0,0,0,0
117,'149,48462','0,14948462',0,0,0,0,0
118,'150,44996','0,15044996',0,0,0,0,0
119,'151,99398','0,15199398',0,0,0,0,0
120,'152,92938','0,15292938',0,0,0,0,0
121,'154,54798','0,15454798',0,0,0,0,0
122,'155,48794','0,15548794',0,0,0,0,0
123,'156,94726','0,15694726',0,0,0,0,0
124,'157,89334','0,15789334',0,0,0,0,0
125,'159,58648','0,15958648',0,0,0,0,0
126,'160,57692','0,16057692',0,0,0,0,0
127,'162,08414','0,16208414',0,0,0,0,0
128,'163,04758','0,16304758',0,0,0,0,0
129,'164,7433','0,1647433',0,0,0,0,0
130,'165,71724','0,16571724',0,0,0,0,0
131,'167,22892','0,16722892',0,0,0,0,0
132,'168,16692','0,16816692',0,0,0,0,0
133,'169,7952','0,1697952',0,0,0,0,0
134,'170,79388','0,17079388',0,0,0,0,0
135,'172,463','0,172463',0,0,0,0,0
136,'173,25592','0,17325592',0,0,0,0,0
137,'174,79314','0,17479314',0,0,0,0,0
138,'175,74464','0,17574464',0,0,0,0,0
139,'176,68974','0,17668974',0,0,0,0,0
140,'178,21192','0,17821192',0,0,0,0,0
141,'179,14492','0,17914492',0,0,0,0,0
142,'180,91702','0,18091702',0,0,0,0,0
143,'181,85674','0,18185674',0,0,0,0,0
144,'183,4553','0,1834553',0,0,0,0,0
145,'184,23568','0,18423568',0,0,0,0,0
146,'185,88726','0,18588726',0,0,0,0,0
147,'186,81958','0,18681958',0,0,0,0,0
148,'188,27198','0,18827198',0,0,0,0,0
149,'189,20704','0,18920704',0,0,0,0,0
150,'190,89504','0,19089504',0,0,0,0,0
151,'191,84494','0,19184494',0,0,0,0,0
152,'193,46602','0,19346602',0,0,0,0,0
153,'194,2431','0,1942431',0,0,0,0,0
154,'195,86634','0,19586634',0,0,0,0,0
155,'196,82818','0,19682818',0,0,0,0,0
156,'198,76564','0,19876564',0,0,0,0,0
157,'199,7353','0,1997353',0,0,0,0,0
158,'201,20206','0,20120206',0,0,0,0,0
159,'202,12508','0,20212508',0,0,0,0,0
160,'203,73718','0,20373718',0,0,0,0,0
161,'204,69','0,20469',0,0,0,0,0
162,'206,19878','0,20619878',0,0,0,0,0
163,'207,1594','0,2071594',0,0,0,0,0
164,'208,81988','0,20881988',0,0,0,0,0
165,'209,79218','0,20979218',0,0,0,0,0
166,'211,54948','0,21154948',0,0,0,0,0
167,'212,54008','0,21254008',0,0,0,0,0
168,'214,0206','0,2140206',0,0,0,0,0
169,'214,9648','0,2149648',0,0,0,0,0
170,'216,67472','0,21667472',0,0,0,0,0
171,'217,66096','0,21766096',0,0,0,0,0
172,'219,1734','0,2191734',0,0,0,0,0
173,'220,1213','0,2201213',0,0,0,0,0
174,'221,79238','0,22179238',0,0,0,0,0
175,'222,75892','0,22275892',0,0,0,0,0
176,'224,45556','0,22445556',0,0,0,0,0
177,'225,2722','0,2252722',0,0,0,0,0
178,'226,9274','0,2269274',0,0,0,0,0
179,'227,8829','0,2278829',0,0,0,0,0
180,'229,596','0,229596',0,0,0,0,0
181,'230,6089','0,2306089',0,0,0,0,0
182,'232,133','0,232133',0,0,0,0,0
183,'233,09576','0,23309576',0,0,0,0,0
184,'234,76592','0,23476592',0,0,0,0,0
185,'235,74332','0,23574332',0,0,0,0,0
186,'237,2456','0,2372456',0,0,0,0,0
187,'238,15786','0,23815786',0,0,0,0,0
188,'239,74172','0,23974172',0,0,0,0,0
189,'240,76244','0,24076244',0,0,0,0,0
190,'242,42452','0,24242452',0,0,0,0,0
191,'243,23692','0,24323692',0,0,0,0,0
192,'244,81588','0,24481588',0,0,0,0,0
193,'245,77238','0,24577238',0,0,0,0,0
194,'246,7013','0,2467013',0,0,0,0,0
195,'248,18856','0,24818856',0,0,0,0,0
196,'249,09806','0,24909806',0,0,0,0,0
197,'250,75448','0,25075448',0,0,0,0,0
198,'251,69436','0,25169436',0,0,0,0,0
199,'253,11068','0,25311068',0,0,0,0,0
200,'254,02258','0,25402258',0,0,0,0,0
201,'255,65782','0,25565782',0,0,0,0,0
202,'256,5978','0,2565978',0,0,0,0,0
203,'258,10786','0,25810786',0,0,0,0,0
204,'259,0687','0,2590687',0,0,0,0,0
205,'260,75524','0,26075524',0,0,0,0,0
206,'261,71204','0,26171204',0,0,0,0,0
207,'263,24604','0,26324604',0,0,0,0,0
208,'264,1964','0,2641964',0,0,0,0,0
209,'265,82376','0,26582376',0,0,0,0,0
210,'266,7798','0,2667798',0,0,0,0,0
211,'268,45024','0,26845024',0,0,0,0,0
212,'269,2526','0,2692526',0,0,0,0,0
213,'270,84902','0,27084902',0,0,0,0,0
214,'271,81074','0,27181074',0,0,0,0,0
215,'273,4424','0,2734424',0,0,0,0,0
216,'274,24048','0,27424048',0,0,0,0,0
217,'275,15756','0,27515756',0,0,0,0,0
218,'276,78906','0,27678906',0,0,0,0,0
