exp4_time,exp4_angle,exp4_voltage
0.34728876,0,0
0.34805638,0,0
0.34966854,0,0
0.35064266,0,0
0.35225734,0,0
0.3530549,0,0
0.35462098,0,0
0.3555611,0,0
0.35720674,0,0
0.35800468,0,0
0.35960362,0,0
0.36061832,0,0
0.36227532,0,0
0.36322054,0,0
0.3646503,0,0
0.36561528,0,0
0.36720496,0,0
0.36799972,0,0
0.3689158,0,0
0.37062896,0,0
0.37157348,0,0
0.37300892,0,0
0.3739141,0,0
0.37553066,0,0
0.37646762,0,0
0.3783688,0,0
0.37931268,0,0
0.38082402,0,0
0.38174044,0,0
0.3833591,0,0
0.38428332,0,0
0.38571492,0,0
0.38665256,0,0
0.38826446,0,0
0.38904416,0,0
0.39069088,0,0
0.39165956,0,0
0.39335502,0,0
0.39432252,0,0
0.39576714,0,0
0.39674736,0,0
0.398324,0,0
0.39929458,0,0
0.40005298,0,0
0.40177864,0,0
0.40269554,0,0
0.40433536,0,0
0.40526066,0,0
0.40681226,0,0
0.4077436,0,0
0.40936556,0,0
0.4103331,0,0
0.41180494,0,0
0.41273788,0,0
0.41436968,0,0
0.41533006,0,0
0.41676624,0,0
0.41768932,0,0
0.41931558,0,0
0.42028336,0,0
0.42171734,0,0
0.42265148,0,0
0.42423376,0,0
0.4250595,0,0
0.4259647,0,0
0.42761952,0,0
0.4285436,0,0
0.4299796,0,0
0.43095244,0,0
0.43259506,0,0
0.4335426,0,0
0.43498992,0,0
0.43592604,0,0
0.43755392,0,0
0.43850204,0,0
0.44002812,0,0
0.44103522,0,0
0.4426724,0,0
0.4436279,0,0
0.44525846,0,0
0.4460322,0,0
0.44759686,0,0
0.4485386,0,0
0.45002934,0,0
0.4509921,0,0
0.45190768,0,0
0.45354924,0,0
0.45449202,0,0
0.45593006,0,0
0.45685838,0,0
0.45850318,0,0
0.45945928,0,0
0.46093392,0,0
0.46187892,0,0
0.46351226,0,0
0.46447828,0,0
0.4659262,0,0
0.46686742,0,0
0.46848464,0,0
0.46945232,0,0
0.47097722,0,0
0.4718819,0,0
0.47346912,0,0
0.47446728,0,0
0.47596242,0,0
0.47688522,0,0
0.47884898,0,0
0.47980092,0,0
0.48148422,0,0
0.48244602,0,0
0.48395692,0,0
0.48491828,0,0
0.48652198,0,0
0.48750588,0,0
0.48923782,0,0
0.49005356,0,0
0.49174886,0,0
0.49274458,0,0
0.49448328,0,0
0.4954737,0,0
0.4969968,0,0
0.49795274,0,0
0.4995792,0,0
0.500587,0,0
0.5022236,0,0
0.5030021,0,0
0.5039134,0,0
0.50550542,0,0
0.50644446,0,0
0.50792654,0,0
0.5088316,0,0
0.5105452,0,0
0.51147942,0,0
0.51291816,0,0
0.51383152,0,0
0.51551838,0,0
0.51650758,0,0
0.51795958,0,0
0.51888098,0,0
0.52059492,0,0
0.521544,0,0
0.52305934,0,0
0.52397592,0,0
0.52557452,0,0
0.5265265,0,0
0.52804154,0,0
0.52896554,0,0
0.53054972,0,0
0.53151828,0,0
0.5330113,0,0
0.53395698,0,0
0.5348726,0,0
0.53648608,0,0
0.53743244,0,0
0.53886794,0,0
0.53979058,0,0
0.5415056,0,0
0.54247498,0,0
0.54392222,0,0
0.54486906,0,0
0.54653654,0,0
