time relative [s],angle [rad],control [V]
0,0,12
0.00159209999999987,0,12
0.00255432000000066,0,12
0.00454690000000024,0,12
0.00628668000000054,0,12
0.00739194000000065,0,12
0.00911112000000092,0.020943951023932,12
0.0100820200000005,0.020943951023932,12
0.0115691400000006,0.020943951023932,12
0.0125429600000002,0.0418879020478639,12
0.0142720600000006,0.0418879020478639,12
0.0153957399999998,0.0418879020478639,12
0.0171675000000011,0.0628318530717959,12
0.0181390000000006,0.0837758040957278,12
0.01962932,0.0837758040957278,12
0.0206444600000006,0.10471975511966,12
0.0223859600000011,0.125663706143592,12
0.0234177799999999,0.125663706143592,12
0.0251438200000003,0.167551608191456,12
0.0260898000000003,0.167551608191456,12
0.0276871400000003,0.188495559215388,12
0.0286417800000001,0.20943951023932,12
0.0303310200000002,0.230383461263251,12
0.0312856600000009,0.251327412287183,12
0.0328158000000007,0.293215314335047,12
0.0346076400000008,0.314159265358979,12
0.0355924000000005,0.335103216382911,12
0.0365331400000004,0.356047167406843,12
0.0382242000000002,0.397935069454707,12
0.0397637800000004,0.418879020478639,12
0.0407508999999999,0.460766922526503,12
0.0416836199999997,0.481710873550435,12
0.0433190800000007,0.502654824574367,12
0.0442721800000001,0.523598775598299,12
0.0459813999999996,0.586430628670095,12
0.0467801000000003,0.607374579694027,12
0.048559280000001,0.649262481741891,12
0.0502347600000004,0.670206432765822,12
0.0512484000000004,0.712094334813686,12
0.0528127600000001,0.75398223686155,12
0.0538051000000008,0.795870138909414,12
0.0555613599999996,0.837758040957278,12
0.0565662199999997,0.879645943005142,12
0.0583162800000006,0.921533845053006,12
0.0593081800000004,0.96342174710087,12
0.0610191400000009,1.00530964914873,12
0.0619925000000006,1.06814150222053,12
0.0634947199999996,1.08908545324446,12
0.06449222,1.15191730631626,12
0.0662263200000002,1.17286125734019,12
0.0672603799999996,1.23569311041199,12
0.0687505600000007,1.27758101245985,12
0.0697076399999999,1.34041286553165,12
0.0713936800000008,1.38230076757951,12
0.0724057400000007,1.4451326206513,12
0.0740815599999998,1.46607657167524,12
0.0750488599999999,1.54985237577096,12
0.0765363200000007,1.5707963267949,12
0.0775436600000008,1.65457213089062,12
0.0792583200000001,1.67551608191456,12
0.0802568200000007,1.73834793498635,12
0.0817633200000003,1.78023583703422,12
0.0827428200000009,1.86401164112994,12
0.0844379799999997,1.90589954317781,12
0.0853991000000001,1.9687313962496,12
0.08711672,2.01061929829747,12
0.08809164,2.07345115136926,12
0.0896044400000005,2.11533905341713,12
0.0906567599999999,2.19911485751286,12
0.0923627600000003,2.26194671058465,12
0.093345320000001,2.30383461263251,12
0.0948219200000002,2.34572251468038,12
0.0957658400000003,2.42949831877611,12
0.0974669200000005,2.47138622082397,12
0.0984392600000001,2.53421807389577,12
0.10013554,2.57610597594363,12
0.10111194,2.65988178003936,12
0.102602500000001,2.70176968208722,12
0.104049740000001,2.78554548618295,12
0.10568222,2.86932129027868,12
0.1066943,2.91120919232654,12
0.108360340000001,2.99498499642227,12
0.11041664,3.05781684949407,12
0.11140812,3.14159265358979,12
0.11314362,3.18348055563766,12
0.11416406,3.26725635973338,12
0.1156464,3.30914426178125,12
0.116626360000001,3.39292006587698,12
0.118349540000001,3.43480796792484,12
0.119346800000001,3.51858377202057,12
0.12082046,3.56047167406843,12
0.121780080000001,3.64424747816416,12
0.12345348,3.68613538021202,12
0.12442724,3.76991118430775,12
0.126165540000001,3.81179908635562,12
0.1271995,3.91651884147528,12
0.12865522,3.95840674352314,12
0.12961982,4.04218254761887,12
0.131319220000001,4.08407044966673,12
0.132293580000001,4.16784625376246,12
0.13378284,4.20973415581032,12
0.13474162,4.29350995990605,12
0.136428380000001,4.35634181297785,12
0.13743516,4.41917366604964,12
0.1391412,4.48200551912144,12
0.14011552,4.56578132321717,12
0.14164214,4.60766922526503,12
0.14268114,4.71238898038469,12
0.144398960000001,4.75427688243255,12
0.145425820000001,4.83805268652828,12
0.14710786,4.92182849062401,12
0.148071040000001,4.98466034369581,12
0.149583300000001,5.06843614779153,12
0.15053268,5.1103240498394,12
0.15226914,5.15221195188726,12
0.153266760000001,5.25693170700692,12
0.15475368,5.34070751110265,12
0.15571522,5.40353936417444,12
0.157452900000001,5.46637121724624,12
0.158400760000001,5.52920307031804,12
0.160105740000001,5.5710909723659,12
0.16114452,5.67581072748556,12
0.16266078,5.75958653158129,12
0.16361298,5.82241838465308,12
0.1653298,5.90619418874881,12
0.16630484,5.94808209079668,12
0.1678259,6.0318578948924,12
0.168786280000001,6.0946897479642,12
0.17048842,6.17846555205993,12
0.171460020000001,6.24129740513172,12
0.173099540000001,6.32507320922745,12
0.174054600000001,6.36696111127531,12
0.17564966,6.47168086639497,12
0.176638880000001,6.51356876844284,12
0.178353200000001,6.59734457253857,12
0.179324620000001,6.66017642561036,12
0.180810940000001,6.74395222970609,12
0.18175908,6.80678408277788,12
0.1835082,6.89055988687361,12
0.18454672,6.95339173994541,12
0.18622796,7.03716754404114,12
0.18723664,7.09999939711293,12
0.18873262,7.18377520120866,12
0.18967274,7.24660705428046,12
0.191382480000001,7.33038285837618,12
0.192326200000001,7.37227076042405,12
0.19380642,7.47699051554371,12
0.194748440000001,7.51887841759157,12
0.19646152,7.6026542216873,12
0.19745824,7.6654860747591,12
0.19923884,7.74926187885482,12
0.20021992,7.81209373192662,12
0.2017378,7.91681348704628,12
0.20267458,7.95870138909414,12
0.20469794,8.08436509523773,12
0.20633122,8.1262529972856,12
0.20737118,8.21002880138133,12
0.209185580000001,8.27286065445312,12
0.2101918,8.37758040957278,12
