Sample,X(ms) [17.06.2017 18:16:59 277 UTC],"M_beam_angle"[%MD24],"M_ball_position"[%MD40],"M_ball_velocity"[%MD56],"M_ball_present"[%M4.4]
365,638.563900,0.16094782948494,0.0329617708921433,-1.59045898914337,0
366,640.832360,0.16094782948494,0.0329617708921433,-1.59045898914337,0
367,642.950860,0.16094782948494,0.0329617708921433,-1.59045898914337,0
368,644.972820,0.16094782948494,0.0329617708921433,-1.59045898914337,0
369,646.335800,0.16094782948494,0.0329617708921433,-1.59045898914337,0
370,648.381840,0.16094782948494,0.00809200294315815,-1.59045898914337,0
371,650.586000,0.16094782948494,0.00809200294315815,1.61641955375671,0
372,652.788220,0.16094782948494,0.00809200294315815,1.61641955375671,0
373,654.135860,0.16094782948494,0.00809200294315815,1.61641955375671,0
374,656.176100,0.16094782948494,0.00809200294315815,1.61641955375671,0
375,658.164280,0.16094782948494,-0.0178614240139723,1.61641955375671,0
376,659.469340,0.16094782948494,-0.0178614240139723,1.61641955375671,0
377,661.513640,0.16094782948494,-0.0178614240139723,1.61641955375671,0
378,663.585180,0.16094782948494,-0.0178614240139723,1.61641955375671,0
379,665.830280,0.16094782948494,-0.0178614240139723,1.61641955375671,0
380,667.151220,0.16094782948494,-0.0387571156024933,1.61641955375671,0
381,669.202300,0.16094782948494,-0.0387571156024933,1.61641955375671,0
382,671.229460,0.16094782948494,-0.0387571156024933,1.61641955375671,0
383,673.403020,0.16094782948494,-0.0387571156024933,1.61641955375671,0
384,674.882060,0.16094782948494,-0.0387571156024933,1.61641955375671,0
385,676.878360,0.16094782948494,-0.0387571156024933,1.61641955375671,0
386,678.947180,0.16094782948494,-0.0311441607773304,1.61641955375671,0
387,680.301340,0.16094782948494,-0.0311441607773304,1.61641955375671,0
388,682.312860,0.16094782948494,-0.0311441607773304,1.61641955375671,0
389,684.404860,0.16094782948494,-0.0311441607773304,1.61641955375671,0
390,686.540180,0.16094782948494,-0.0311441607773304,1.61641955375671,0
391,688.032380,0.16094782948494,0.00916978809982538,1.61641955375671,0
392,690.066640,0.16094782948494,0.00916978809982538,1.61641955375671,0
393,692.170100,0.16094782948494,0.00916978809982538,1.61641955375671,0
394,693.516280,0.16094782948494,0.00916978809982538,1.61641955375671,0
395,695.569040,0.16094782948494,0.00916978809982538,1.61641955375671,0
396,697.761160,0.16094782948494,0.0515321716666222,1.61641955375671,0
397,699.962680,0.16094782948494,0.0515321716666222,0.868803381919861,0
398,701.292020,0.16094782948494,0.0515321716666222,0.868803381919861,0
399,703.357480,0.16094782948494,0.0515321716666222,0.868803381919861,0
400,705.394620,0.16094782948494,0.0515321716666222,0.868803381919861,0
401,707.395060,0.16094782948494,0.0763551890850067,0.868803381919861,0
402,708.987380,0.16094782948494,0.0763551890850067,0.868803381919861,0
403,711.002840,0.16094782948494,0.0763551890850067,0.868803381919861,0
404,713.133780,0.16094782948494,0.0763551890850067,0.868803381919861,0
405,715.137020,0.16094782948494,0.0763551890850067,0.868803381919861,0
406,716.458940,0.16094782948494,0.0763551890850067,0.868803381919861,0
407,718.500480,0.16094782948494,0.0737571343779564,0.868803381919861,0
408,720.488780,0.16094782948494,0.0737571343779564,0.868803381919861,0
409,722.857160,0.16094782948494,0.0737571343779564,0.868803381919861,0
410,724.210580,0.16094782948494,0.0737571343779564,0.868803381919861,0
411,726.299800,0.16094782948494,0.0737571343779564,0.868803381919861,0
412,728.357060,0.16094782948494,0.05452985689044,0.868803381919861,0
413,729.804060,0.16094782948494,0.05452985689044,0.868803381919861,0
414,731.834560,0.16094782948494,0.05452985689044,0.868803381919861,0
415,733.348860,0.16094782948494,0.05452985689044,0.868803381919861,0
416,734.861840,0.16094782948494,0.05452985689044,0.868803381919861,0
417,736.279940,0.16094782948494,0.05452985689044,0.868803381919861,0
418,737.807240,0.16094782948494,0.0232497025281191,0.868803381919861,0
419,739.176120,0.16094782948494,0.0232497025281191,0.868803381919861,0
420,740.565880,0.16094782948494,0.0232497025281191,0.868803381919861,0
421,742.091520,0.16094782948494,0.0232497025281191,0.868803381919861,0
422,743.509840,0.16094782948494,0.0232497025281191,0.868803381919861,0
423,745.033740,0.16094782948494,0.0232497025281191,0.868803381919861,0
424,746.429980,0.16094782948494,0.0232497025281191,0.868803381919861,0
425,747.978780,0.16094782948494,-0.00451442738994956,0.868803381919861,0
426,749.358980,0.16094782948494,-0.00451442738994956,0.868803381919861,0
427,751.152860,0.16094782948494,-0.00451442738994956,-1.12093198299408,0
428,752.513440,0.16094782948494,-0.00451442738994956,-1.12093198299408,0
429,754.107360,0.16094782948494,-0.00451442738994956,-1.12093198299408,0
430,755.459620,0.16094782948494,-0.00451442738994956,-1.12093198299408,0
431,757.019540,0.16094782948494,-0.0308576580137014,-1.12093198299408,0
432,758.411860,0.16094782948494,-0.0308576580137014,-1.12093198299408,0
433,759.940740,0.16094782948494,-0.0308576580137014,-1.12093198299408,0
434,761.359920,0.16094782948494,-0.0308576580137014,-1.12093198299408,0
435,762.925940,0.16094782948494,-0.0308576580137014,-1.12093198299408,0
436,764.338780,0.16094782948494,-0.0308576580137014,-1.12093198299408,0
437,765.866120,0.16094782948494,-0.0308576580137014,-1.12093198299408,0
438,767.289700,0.16094782948494,-0.048402938991785,-1.12093198299408,0
439,768.825540,0.16094782948494,-0.048402938991785,-1.12093198299408,0
440,770.219060,0.16094782948494,-0.048402938991785,-1.12093198299408,0
441,771.763680,0.16094782948494,-0.048402938991785,-1.12093198299408,0
442,773.164140,0.16094782948494,-0.048402938991785,-1.12093198299408,0
