Sample,X(ms) [17.06.2017 18:09:43 229 UTC],"M_beam_angle"[%MD24],"M_ball_position"[%MD40],"M_ball_velocity"[%MD56],"M_ball_present"[%M4.4]
444,776.163740,0.16094782948494,-0.0219056513160467,1.25562834739685,0
445,777.539880,0.16094782948494,0.0338076576590538,1.25562834739685,0
446,779.628420,0.16094782948494,0.0338076576590538,1.25562834739685,0
447,781.879680,0.16094782948494,0.0338076576590538,1.25562834739685,0
448,784.009380,0.16094782948494,0.0338076576590538,1.25562834739685,0
449,785.334660,0.16094782948494,0.0338076576590538,1.25562834739685,0
450,787.349700,0.16094782948494,0.0660019293427467,1.25562834739685,0
451,789.431700,0.16094782948494,0.0660019293427467,1.25562834739685,0
452,791.456200,0.16094782948494,0.0660019293427467,1.25562834739685,0
453,792.982300,0.16094782948494,0.0660019293427467,1.25562834739685,0
454,794.946400,0.16094782948494,0.0660019293427467,1.25562834739685,0
455,797.031320,0.16094782948494,0.0685804784297943,1.25562834739685,0
456,798.359280,0.16094782948494,0.0685804784297943,1.25562834739685,0
457,800.830900,0.16094782948494,0.0685804784297943,3.24647784233093,0
458,802.920580,0.16094782948494,0.0685804784297943,3.24647784233093,0
459,804.998480,0.16094782948494,0.0685804784297943,3.24647784233093,0
460,807.000060,0.16094782948494,0.0475678816437721,3.24647784233093,0
461,808.341360,0.16094782948494,0.0475678816437721,3.24647784233093,0
462,810.423720,0.16094782948494,0.0475678816437721,3.24647784233093,0
463,812.452880,0.16094782948494,0.0475678816437721,3.24647784233093,0
464,813.889740,0.16094782948494,0.0475678816437721,3.24647784233093,0
465,815.975780,0.16094782948494,0.026461735367775,3.24647784233093,0
466,818.084000,0.16094782948494,0.026461735367775,3.24647784233093,0
467,820.210440,0.16094782948494,0.026461735367775,3.24647784233093,0
468,821.533540,0.16094782948494,0.026461735367775,3.24647784233093,0
469,823.623580,0.16094782948494,0.026461735367775,3.24647784233093,0
470,825.668140,0.16094782948494,0.026461735367775,3.24647784233093,0
471,827.995460,0.16094782948494,0.00474550249055028,3.24647784233093,0
472,829.434380,0.16094782948494,0.00474550249055028,3.24647784233093,0
473,831.441700,0.16094782948494,0.00474550249055028,3.24647784233093,0
474,833.499720,0.16094782948494,0.00474550249055028,3.24647784233093,0
475,835.557060,0.16094782948494,0.00474550249055028,3.24647784233093,0
476,837.043620,0.16094782948494,-0.029604434967041,3.24647784233093,0
477,839.040400,0.16094782948494,-0.029604434967041,3.24647784233093,0
478,841.212480,0.16094782948494,-0.029604434967041,3.24647784233093,0
479,843.287100,0.16094782948494,-0.029604434967041,3.24647784233093,0
480,844.605320,0.16094782948494,-0.029604434967041,3.24647784233093,0
481,846.590120,0.16094782948494,-0.0712320879101753,3.24647784233093,0
482,848.657640,0.16094782948494,-0.0712320879101753,3.24647784233093,0
483,850.264660,0.16094782948494,-0.0712320879101753,-2.79625105857849,0
484,852.424520,0.16094782948494,-0.0712320879101753,-2.79625105857849,0
485,854.482920,0.16094782948494,-0.0712320879101753,-2.79625105857849,0
486,856.508880,0.16094782948494,-0.0843920335173607,-2.79625105857849,0
487,857.995980,0.16094782948494,-0.0843920335173607,-2.79625105857849,0
488,860.040720,0.16094782948494,-0.0843920335173607,-2.79625105857849,0
489,862.202600,0.16094782948494,-0.0843920335173607,-2.79625105857849,0
490,864.302380,0.16094782948494,-0.0843920335173607,-2.79625105857849,0
491,865.620240,0.16094782948494,-0.0843920335173607,-2.79625105857849,0
492,867.837000,0.16094782948494,-0.0616876408457756,-2.79625105857849,0
493,869.669400,0.16094782948494,-0.0616876408457756,-2.79625105857849,0
494,871.898880,0.16094782948494,-0.0616876408457756,-2.79625105857849,0
495,873.231640,0.16094782948494,-0.0616876408457756,-2.79625105857849,0
496,875.260940,0.16094782948494,-0.0616876408457756,-2.79625105857849,0
497,877.262440,0.16094782948494,-0.0120630832388997,-2.79625105857849,0
498,878.579300,0.16094782948494,-0.0120630832388997,-2.79625105857849,0
499,880.668960,0.16094782948494,-0.0120630832388997,-2.79625105857849,0
500,882.926160,0.16094782948494,-0.0120630832388997,-2.79625105857849,0
501,884.876100,0.16094782948494,-0.0120630832388997,-2.79625105857849,0
502,886.253540,0.16094782948494,0.0172914322465658,-2.79625105857849,0
503,887.680780,0.16094782948494,0.0172914322465658,-2.79625105857849,0
504,889.207440,0.16094782948494,0.0172914322465658,-2.79625105857849,0
505,890.603420,0.16094782948494,0.0172914322465658,-2.79625105857849,0
506,892.170160,0.16094782948494,0.0172914322465658,-2.79625105857849,0
507,893.536220,0.16094782948494,0.0172914322465658,-2.79625105857849,0
508,895.091900,0.16094782948494,0.0172914322465658,-2.79625105857849,0
509,896.466420,0.16094782948494,0.00804327055811882,-2.79625105857849,0
510,897.998940,0.16094782948494,0.00804327055811882,-2.79625105857849,0
511,899.670400,0.16094782948494,0.00804327055811882,1.58550703525543,0
512,901.208780,0.16094782948494,0.00804327055811882,1.58550703525543,0
513,902.625300,0.16094782948494,0.00804327055811882,1.58550703525543,0
514,904.161720,0.16094782948494,0.00804327055811882,1.58550703525543,0
515,905.567660,0.16094782948494,0.00804327055811882,1.58550703525543,0
516,907.090980,0.16094782948494,-0.0100028803572059,1.58550703525543,0
517,908.476900,0.16094782948494,-0.0100028803572059,1.58550703525543,0
518,910.029540,0.16094782948494,-0.0100028803572059,1.58550703525543,0
519,911.427700,0.16094782948494,-0.0100028803572059,1.58550703525543,0
520,913.021420,0.16094782948494,-0.0100028803572059,1.58550703525543,0
521,914.406740,0.16094782948494,-0.0100028803572059,1.58550703525543,0
