time,motor,crank angle,crank angular velocity
0.66366726,7,2.2619469165802,0
0.6656096,7,2.2619469165802,0
0.66746682,7,2.2619469165802,0
0.66863394,7,2.2619469165802,0
0.67049862,7,2.2619469165802,0
0.67229598,7,2.2619469165802,0
0.67344212,7,2.2619469165802,0
0.67531394,7,2.2619469165802,0
0.67643468,7,2.2619469165802,0
0.67836166,7,2.2619469165802,0
0.68024274,7,2.2619469165802,0
0.68145722,7,2.2619469165802,0
0.68334608,7,2.2619469165802,0
0.68448322,7,2.2619469165802,0
0.68630152,7,2.2619469165802,0
0.68822832,7,2.2619469165802,0
0.68938552,7,2.2619469165802,0
0.69130446,7,2.2619469165802,0
0.69342716,7,2.2619469165802,0
0.69457018,7,2.2619469165802,0
0.6964325,7,2.2619469165802,0
0.69825774,7,2.2619469165802,0
0.6993987,7,2.2619469165802,0
0.7013567,7,2.2619469165802,0
0.70257386,7,2.2619469165802,0
0.70440752,7,2.2619469165802,0
0.70620238,7,2.2619469165802,0
0.70732766,7,2.2619469165802,0
0.7092897,7,2.2619469165802,0
0.71117414,7,2.2619469165802,0
0.71233568,7,2.2619469165802,0
0.71425602,7,2.2619469165802,0
0.71538698,7,2.2619469165802,0
0.7172554,7,2.2619469165802,0
0.719099,7,2.2619469165802,0
0.72026306,7,2.2619469165802,0
0.72219206,7,2.2619469165802,0
0.72340914,7,2.2619469165802,0
0.72530534,7,2.2619469165802,0
0.72725328,7,2.2619469165802,0
0.7284421,7,2.2619469165802,0
0.73019524,7,2.2619469165802,0
0.7314174,7,2.2619469165802,0
0.7326101,7,2.2619469165802,0
0.73422846,7,2.2619469165802,0
0.73543812,7,2.2619469165802,0
0.73666044,7,2.2619469165802,0
0.73805044,7,2.2619469165802,0
0.73928562,7,2.2619469165802,0
0.74047248,7,2.2619469165802,0
0.7416845,7,2.2619469165802,0
0.74314818,7,2.2619469165802,0
0.74437298,7,2.2619469165802,0
0.74555934,7,2.2619469165802,0
0.74692396,7,2.2619469165802,0
0.74815754,7,2.2619469165802,0
0.74936102,7,2.2619469165802,0
0.75055528,7,2.2619469165802,0
0.75190978,7,2.2619469165802,0
0.75313144,7,2.2619469165802,0
0.75434012,7,2.2619469165802,0
0.7556327,7,2.2619469165802,0
0.75699518,7,2.2619469165802,0
0.75825026,7,2.2619469165802,0
0.7594241,7,2.2619469165802,0
0.76065514,7,2.2619469165802,0
0.7620053,7,2.2619469165802,0
0.76324798,7,2.2619469165802,0
0.7644226,7,2.2619469165802,0
0.76562436,7,2.2619469165802,0
0.76697168,7,2.2619469165802,0
0.76824016,7,2.2619469165802,0
0.76942872,7,2.2619469165802,0
0.7706386,7,2.2619469165802,0
0.77197244,7,2.2619469165802,0
0.7732167,7,2.2619469165802,0
0.77439686,7,2.2619469165802,0
0.775602,7,2.2619469165802,0
0.7769337,7,2.2619469165802,0
0.77819092,7,2.2619469165802,0
0.77938474,7,2.2619469165802,0
0.78060648,7,2.2619469165802,0
0.78192828,7,2.2619469165802,0
0.78316392,7,2.2619469165802,0
0.78435522,7,2.2619469165802,0
0.7855799,7,2.2619469165802,0
0.7869249,7,2.2619469165802,0
0.78818334,7,2.2619469165802,0
0.78937406,7,2.2619469165802,0
0.79058128,7,2.2619469165802,0
0.79215366,7,2.2619469165802,0
0.79338912,7,2.2619469165802,0
0.79459508,7,2.2619469165802,0
0.79594582,7,2.2619469165802,0
0.79715044,7,2.2619469165802,0
0.7984054,7,2.2619469165802,0
0.79959602,7,2.2619469165802,0
0.8009685,7,2.2619469165802,0
0.80217066,7,2.2619469165802,0
0.80339914,7,2.2619469165802,0
0.80459438,7,2.2619469165802,0
0.80595778,7,2.2619469165802,0
0.80716008,7,2.2619469165802,0
0.80841752,7,2.2619469165802,0
0.80961282,7,2.2619469165802,0
0.8109897,7,2.2619469165802,0
0.8121987,7,2.2619469165802,0
0.81338932,7,2.2619469165802,0
0.81460658,7,2.2619469165802,0
0.81593908,7,2.2619469165802,0
0.8171667,7,2.2619469165802,0
0.81839798,7,2.2619469165802,0
0.81961492,7,2.2619469165802,0
0.8209563,7,2.2619469165802,0
0.82218602,7,2.2619469165802,0
0.82347558,7,2.2619469165802,0
0.82470162,7,2.2619469165802,0
0.8260572,7,2.2619469165802,0
0.82728666,7,2.2619469165802,0
0.82850736,7,2.2619469165802,0
0.82991876,7,2.2619469165802,0
0.83110642,7,2.2619469165802,0
0.83233784,7,2.2619469165802,0
0.83351214,7,2.2619469165802,0
0.8351687,7,2.2619469165802,0
0.83636752,7,2.2619469165802,0
0.8375889,7,2.2619469165802,0
0.83896074,7,2.2619469165802,0
0.84019262,7,2.2619469165802,0
0.84138776,7,2.2619469165802,0
0.84287794,7,2.2619469165802,0
0.8440836,7,2.2619469165802,0
0.84531564,7,2.2619469165802,0
0.84649924,7,2.2619469165802,0
0.84789692,7,2.2619469165802,0
0.84910106,7,2.2619469165802,0
0.85033848,7,2.2619469165802,0
0.85152092,7,2.2619469165802,0
0.85289438,7,2.2619469165802,0
0.8540962,7,2.2619469165802,0
0.85536116,7,2.2619469165802,0
0.85655548,7,2.2619469165802,0
0.85891694,7,2.2619469165802,0
0.86063526,7,2.2619469165802,0
0.86193232,7,2.2619469165802,0
0.86357648,7,2.2619469165802,0
0.8648774,7,2.2619469165802,0
0.86662174,7,2.2619469165802,0
0.86845448,7,2.2619469165802,0
0.86958876,7,2.2619469165802,0
0.87145732,7,2.2619469165802,0
0.8725944,7,2.2619469165802,0
0.87441306,7,2.2619469165802,0
0.87625676,7,2.2619469165802,0
