Sample,X(ms) [18.05.2017 16:20:12 311 UTC],"I_encoder"[%ID1000],"M_beam_angle"[%MD24]
502,604.467080,78,-0.0193271823227406
503,606.186740,78,-0.0193271823227406
504,607.017360,78,-0.0193271823227406
505,608.657900,78,-0.0193271823227406
506,609.622080,78,-0.0193271823227406
507,611.326340,78,-0.0193271823227406
508,612.319700,78,-0.0193271823227406
509,613.800780,78,-0.0193271823227406
510,614.772700,78,-0.0193271823227406
511,616.499160,78,-0.0193271823227406
512,617.814640,78,-0.0193271823227406
513,619.552600,78,-0.0193271823227406
514,621.240380,78,-0.0193271823227406
515,622.249580,78,-0.0193271823227406
516,623.034660,78,-0.0193271823227406
517,624.728260,78,-0.0193271823227406
518,625.711280,78,-0.0193271823227406
519,627.379480,78,-0.0193271823227406
520,628.912920,78,-0.0193271823227406
521,629.979980,78,-0.0193271823227406
522,631.712960,78,-0.0193271823227406
523,632.711500,78,-0.0193271823227406
524,634.380980,78,-0.0193271823227406
525,635.413340,78,-0.0193271823227406
526,636.979540,78,-0.0193271823227406
527,637.961980,78,-0.0193271823227406
528,639.646380,78,-0.0193271823227406
529,640.631000,78,-0.0193271823227406
530,642.436480,78,-0.0193271823227406
531,643.510960,78,-0.0193271823227406
532,644.996340,78,-0.0193271823227406
533,645.996460,78,-0.0193271823227406
534,647.690040,78,-0.0193271823227406
535,648.708400,78,-0.0193271823227406
536,650.439820,78,-0.0193271823227406
537,651.444200,78,-0.0193271823227406
538,652.989000,78,-0.0193271823227406
539,654.034640,78,-0.0193271823227406
540,655.788620,78,-0.0193271823227406
541,656.740600,78,-0.0193271823227406
542,658.431520,78,-0.0193271823227406
543,659.431060,78,-0.0193271823227406
544,660.914520,78,-0.0193271823227406
545,661.864620,78,-0.0193271823227406
546,663.631080,78,-0.0193271823227406
547,664.667200,78,-0.0193271823227406
548,666.403500,78,-0.0193271823227406
549,667.886020,78,-0.0193271823227406
550,668.947900,78,-0.0193271823227406
551,669.891540,78,-0.0193271823227406
552,670.964820,78,-0.0193271823227406
553,671.978880,78,-0.0193271823227406
554,673.026920,78,-0.0193271823227406
555,674.182580,78,-0.0193271823227406
556,675.250520,78,-0.0193271823227406
557,676.282480,78,-0.0193271823227406
558,677.307560,78,-0.0193271823227406
559,678.373760,78,-0.0193271823227406
560,679.418700,78,-0.0193271823227406
561,680.490120,78,-0.0193271823227406
562,681.531420,78,-0.0193271823227406
563,682.551960,78,-0.0193271823227406
564,683.601920,78,-0.0193271823227406
565,684.607040,78,-0.0193271823227406
566,685.684660,78,-0.0193271823227406
567,686.715280,78,-0.0193271823227406
568,687.730360,78,-0.0193271823227406
569,688.784460,78,-0.0193271823227406
570,689.808180,78,-0.0193271823227406
571,690.836360,78,-0.0193271823227406
572,691.859760,78,-0.0193271823227406
573,692.875920,78,-0.0193271823227406
574,693.925720,78,-0.0193271823227406
575,694.948040,78,-0.0193271823227406
576,696.023460,78,-0.0193271823227406
577,697.181180,78,-0.0193271823227406
578,698.262180,78,-0.0193271823227406
579,699.315920,78,-0.0193271823227406
580,700.347960,78,-0.0193271823227406
581,701.426400,78,-0.0193271823227406
582,702.988480,78,-0.0193271823227406
583,704.718380,78,-0.0193271823227406
584,705.703280,78,-0.0193271823227406
585,707.430700,78,-0.0193271823227406
586,708.430680,78,-0.0193271823227406
587,709.936020,78,-0.0193271823227406
588,710.880420,78,-0.0193271823227406
589,712.600240,78,-0.0193271823227406
590,713.564240,78,-0.0193271823227406
591,715.337460,78,-0.0193271823227406
592,716.335000,78,-0.0193271823227406
593,718.428000,78,-0.0193271823227406
594,719.804960,78,-0.0193271823227406
595,720.840440,78,-0.0193271823227406
596,721.925540,78,-0.0193271823227406
597,722.943000,78,-0.0193271823227406
598,723.967620,78,-0.0193271823227406
599,725.002300,78,-0.0193271823227406
600,726.190780,78,-0.0193271823227406
601,727.242580,78,-0.0193271823227406
602,728.271760,78,-0.0193271823227406
603,729.296960,78,-0.0193271823227406
604,730.382800,78,-0.0193271823227406
605,731.423440,78,-0.0193271823227406
606,732.750800,78,-0.0193271823227406
607,733.790240,78,-0.0193271823227406
608,734.837960,78,-0.0193271823227406
609,735.900140,78,-0.0193271823227406
610,736.924800,78,-0.0193271823227406
611,737.971400,78,-0.0193271823227406
612,738.989680,78,-0.0193271823227406
613,740.025480,78,-0.0193271823227406
614,741.200920,78,-0.0193271823227406
615,742.234340,78,-0.0193271823227406
616,743.273560,78,-0.0193271823227406
617,744.302900,78,-0.0193271823227406
618,745.421300,78,-0.0193271823227406
619,746.465040,78,-0.0193271823227406
620,747.518260,78,-0.0193271823227406
621,748.555740,78,-0.0193271823227406
622,749.808660,78,-0.0193271823227406
623,750.917520,78,-0.0193271823227406
624,752.184600,78,-0.0193271823227406
625,753.244500,78,-0.0193271823227406
626,754.266800,78,-0.0193271823227406
627,755.366200,78,-0.0193271823227406
628,756.424580,78,-0.0193271823227406
629,757.452960,78,-0.0193271823227406
630,758.518220,78,-0.0193271823227406
631,759.538380,78,-0.0193271823227406
632,760.588100,78,-0.0193271823227406
633,761.606420,78,-0.0193271823227406
634,762.626020,78,-0.0193271823227406
635,763.680100,78,-0.0193271823227406
636,764.696220,78,-0.0193271823227406
637,765.765340,78,-0.0193271823227406
638,766.797220,78,-0.0193271823227406
639,767.818160,78,-0.0193271823227406
640,768.867280,78,-0.0193271823227406
641,769.876020,78,-0.0193271823227406
642,770.927860,78,-0.0193271823227406
643,771.949700,78,-0.0193271823227406
644,772.985500,78,-0.0193271823227406
645,774.017320,78,-0.0193271823227406
646,775.020180,78,-0.0193271823227406
