Sample,X(ms) [18.05.2017 16:36:07 100 UTC],"I_encoder"[%ID1000],"M_beam_angle"[%MD24]
564,681.783740,78,-0.0193271823227406
565,683.330680,78,-0.0193271823227406
566,684.316500,78,-0.0193271823227406
567,686.058580,78,-0.0193271823227406
568,687.091440,78,-0.0193271823227406
569,688.583920,78,-0.0193271823227406
570,689.549320,78,-0.0193271823227406
571,691.267860,78,-0.0193271823227406
572,692.259380,78,-0.0193271823227406
573,693.960500,78,-0.0193271823227406
574,694.946280,78,-0.0193271823227406
575,696.458600,78,-0.0193271823227406
576,697.514300,78,-0.0193271823227406
577,699.305260,78,-0.0193271823227406
578,700.285580,78,-0.0193271823227406
579,701.960040,78,-0.0193271823227406
580,702.937500,78,-0.0193271823227406
581,704.449640,78,-0.0193271823227406
582,705.394200,78,-0.0193271823227406
583,707.203180,78,-0.0193271823227406
584,708.201380,78,-0.0193271823227406
585,709.953780,78,-0.0193271823227406
586,711.499320,78,-0.0193271823227406
587,712.464580,78,-0.0193271823227406
588,714.059660,78,-0.0193271823227406
589,715.096480,78,-0.0193271823227406
590,716.896580,78,-0.0193271823227406
591,717.973320,78,-0.0193271823227406
592,719.518040,78,-0.0193271823227406
593,720.518560,78,-0.0193271823227406
594,722.185100,78,-0.0193271823227406
595,723.157720,78,-0.0193271823227406
596,724.854980,78,-0.0193271823227406
597,725.824620,78,-0.0193271823227406
598,727.396940,78,-0.0193271823227406
599,728.438580,78,-0.0193271823227406
600,730.465860,78,-0.0193271823227406
601,731.441920,78,-0.0193271823227406
602,733.198960,78,-0.0193271823227406
603,734.190240,78,-0.0193271823227406
604,735.873580,78,-0.0193271823227406
605,736.847240,78,-0.0193271823227406
606,738.450020,78,-0.0193271823227406
607,739.430500,78,-0.0193271823227406
608,741.154360,78,-0.0193271823227406
609,742.854720,78,-0.0193271823227406
610,743.886980,78,-0.0193271823227406
611,745.405060,78,-0.0193271823227406
612,746.384700,78,-0.0193271823227406
613,747.942880,78,-0.0193271823227406
614,749.015680,78,-0.0193271823227406
615,750.143940,78,-0.0193271823227406
616,751.178980,78,-0.0193271823227406
617,752.242680,78,-0.0193271823227406
618,753.300880,78,-0.0193271823227406
619,754.339140,78,-0.0193271823227406
620,755.393720,78,-0.0193271823227406
621,756.430360,78,-0.0193271823227406
622,757.491980,78,-0.0193271823227406
623,758.543160,78,-0.0193271823227406
624,759.557620,78,-0.0193271823227406
625,760.825600,78,-0.0193271823227406
626,761.874000,78,-0.0193271823227406
627,762.938780,78,-0.0193271823227406
628,764.003300,78,-0.0193271823227406
629,765.039900,78,-0.0193271823227406
630,766.106960,78,-0.0193271823227406
631,767.178840,78,-0.0193271823227406
632,768.225680,78,-0.0193271823227406
633,769.274660,78,-0.0193271823227406
634,770.300980,78,-0.0193271823227406
635,771.362980,78,-0.0193271823227406
636,772.388220,78,-0.0193271823227406
637,773.433360,78,-0.0193271823227406
638,774.463580,78,-0.0193271823227406
639,775.492440,78,-0.0193271823227406
640,776.543980,78,-0.0193271823227406
641,777.607200,78,-0.0193271823227406
642,778.817980,78,-0.0193271823227406
643,779.864640,78,-0.0193271823227406
644,780.909260,78,-0.0193271823227406
645,781.979400,78,-0.0193271823227406
646,783.037780,78,-0.0193271823227406
647,784.095840,78,-0.0193271823227406
648,785.113600,78,-0.0193271823227406
649,786.171680,78,-0.0193271823227406
650,787.234580,78,-0.0193271823227406
651,788.263300,78,-0.0193271823227406
652,789.320040,78,-0.0193271823227406
653,790.361380,78,-0.0193271823227406
654,791.407060,78,-0.0193271823227406
655,792.438280,78,-0.0193271823227406
656,793.478280,78,-0.0193271823227406
657,794.530900,78,-0.0193271823227406
658,795.552880,78,-0.0193271823227406
659,796.596320,78,-0.0193271823227406
660,797.813720,78,-0.0193271823227406
661,798.856600,78,-0.0193271823227406
662,799.896000,78,-0.0193271823227406
663,800.928160,78,-0.0193271823227406
664,802.013180,78,-0.0193271823227406
665,803.056920,78,-0.0193271823227406
666,804.107880,78,-0.0193271823227406
667,805.150540,78,-0.0193271823227406
668,806.171760,78,-0.0193271823227406
669,807.263000,78,-0.0193271823227406
670,808.294860,78,-0.0193271823227406
671,809.337920,78,-0.0193271823227406
672,810.371980,78,-0.0193271823227406
673,811.387620,78,-0.0193271823227406
674,812.430540,78,-0.0193271823227406
675,813.435220,78,-0.0193271823227406
676,814.479180,78,-0.0193271823227406
677,816.206420,78,-0.0193271823227406
678,817.971600,78,-0.0193271823227406
679,818.977680,78,-0.0193271823227406
680,820.481060,78,-0.0193271823227406
681,821.468200,78,-0.0193271823227406
682,823.157300,78,-0.0193271823227406
683,824.138640,78,-0.0193271823227406
684,825.847420,78,-0.0193271823227406
685,826.868680,78,-0.0193271823227406
686,828.395720,78,-0.0193271823227406
687,830.523800,78,-0.0193271823227406
688,831.534360,78,-0.0193271823227406
689,832.996540,78,-0.0193271823227406
690,834.212280,78,-0.0193271823227406
691,835.432940,78,-0.0193271823227406
692,836.477140,78,-0.0193271823227406
693,837.792860,78,-0.0193271823227406
694,838.835000,78,-0.0193271823227406
695,839.856540,78,-0.0193271823227406
696,840.919480,78,-0.0193271823227406
697,841.985820,78,-0.0193271823227406
698,843.061480,78,-0.0193271823227406
699,844.369300,78,-0.0193271823227406
700,845.447100,78,-0.0193271823227406
701,846.491880,78,-0.0193271823227406
702,847.544600,78,-0.0193271823227406
703,848.590940,78,-0.0193271823227406
704,849.603100,78,-0.0193271823227406
705,850.792340,78,-0.0193271823227406
706,851.854120,78,-0.0193271823227406
707,852.938220,78,-0.0193271823227406
708,854.040140,78,-0.0193271823227406
709,855.065760,78,-0.0193271823227406
710,856.124960,78,-0.0193271823227406
711,857.192460,78,-0.0193271823227406
712,858.225300,78,-0.0193271823227406
713,859.289260,78,-0.0193271823227406
714,860.349620,78,-0.0193271823227406
715,861.393620,78,-0.0193271823227406
716,862.415800,78,-0.0193271823227406
717,863.459860,78,-0.0193271823227406
718,864.494200,78,-0.0193271823227406
719,865.507580,78,-0.0193271823227406
720,866.530160,78,-0.0193271823227406
721,867.589320,78,-0.0193271823227406
722,868.778180,78,-0.0193271823227406
723,869.807640,78,-0.0193271823227406
724,870.834760,78,-0.0193271823227406
725,871.909560,78,-0.0193271823227406
726,872.942940,78,-0.0193271823227406
727,874.029060,78,-0.0193271823227406
728,875.076240,78,-0.0193271823227406
729,876.113640,78,-0.0193271823227406
730,877.215520,78,-0.0193271823227406
731,878.262320,78,-0.0193271823227406
732,879.313820,78,-0.0193271823227406
733,880.350340,78,-0.0193271823227406
734,881.364820,78,-0.0193271823227406
735,882.415140,78,-0.0193271823227406
736,883.428320,78,-0.0193271823227406
737,884.484160,78,-0.0193271823227406
738,885.521540,78,-0.0193271823227406
739,886.530940,78,-0.0193271823227406
740,887.616580,78,-0.0193271823227406
741,888.784300,78,-0.0193271823227406
742,889.850380,78,-0.0193271823227406
743,890.882660,78,-0.0193271823227406
744,891.957100,78,-0.0193271823227406
745,893.009000,78,-0.0193271823227406
746,894.052360,78,-0.0193271823227406
747,895.113940,78,-0.0193271823227406
748,896.131120,78,-0.0193271823227406
749,897.220620,78,-0.0193271823227406
750,898.260340,78,-0.0193271823227406
751,899.286460,78,-0.0193271823227406
752,901.081480,78,-0.0193271823227406
753,902.824300,78,-0.0193271823227406
754,903.812360,78,-0.0193271823227406
755,904.612520,78,-0.0193271823227406
756,906.315180,78,-0.0193271823227406
757,907.999080,78,-0.0193271823227406
758,909.025040,78,-0.0193271823227406
759,910.824580,78,-0.0193271823227406
760,911.815320,78,-0.0193271823227406
761,913.342920,78,-0.0193271823227406
762,914.326420,78,-0.0193271823227406
763,916.056820,78,-0.0193271823227406
764,917.093740,78,-0.0193271823227406
765,918.601580,78,-0.0193271823227406
766,919.597080,78,-0.0193271823227406
767,921.290340,78,-0.0193271823227406
768,922.339940,78,-0.0193271823227406
769,924.090680,78,-0.0193271823227406
770,925.077020,78,-0.0193271823227406
771,926.567120,78,-0.0193271823227406
772,927.567520,78,-0.0193271823227406
773,929.592240,78,-0.0193271823227406
774,931.231280,78,-0.0193271823227406
775,932.251580,78,-0.0193271823227406
776,933.850640,78,-0.0193271823227406
777,934.836200,78,-0.0193271823227406
778,936.375720,78,-0.0193271823227406
779,937.412920,78,-0.0193271823227406
780,939.038740,78,-0.0193271823227406
781,940.083660,78,-0.0193271823227406
782,941.790260,78,-0.0193271823227406
783,942.777940,78,-0.0193271823227406
784,944.267480,78,-0.0193271823227406
785,945.294820,78,-0.0193271823227406
786,947.112820,78,-0.0193271823227406
787,948.115540,78,-0.0193271823227406
788,949.841720,78,-0.0193271823227406
789,950.829140,78,-0.0193271823227406
790,951.969180,78,-0.0193271823227406
791,953.031840,78,-0.0193271823227406
792,954.145740,78,-0.0193271823227406
793,955.186980,78,-0.0193271823227406
794,956.207660,78,-0.0193271823227406
795,957.290660,78,-0.0193271823227406
796,958.321240,78,-0.0193271823227406
797,959.377620,78,-0.0193271823227406
798,960.422320,78,-0.0193271823227406
799,961.435900,78,-0.0193271823227406
800,962.502320,78,-0.0193271823227406
801,963.524180,78,-0.0193271823227406
802,964.570960,78,-0.0193271823227406
803,965.607180,78,-0.0193271823227406
804,966.803140,78,-0.0193271823227406
805,967.870880,78,-0.0193271823227406
806,968.907420,78,-0.0193271823227406
807,970.001000,78,-0.0193271823227406
808,971.049400,78,-0.0193271823227406
809,972.104580,78,-0.0193271823227406
810,973.143340,78,-0.0193271823227406
811,974.178240,78,-0.0193271823227406
812,975.225540,78,-0.0193271823227406
813,976.255040,78,-0.0193271823227406
814,977.336020,78,-0.0193271823227406
815,978.378240,78,-0.0193271823227406
816,979.404280,78,-0.0193271823227406
817,980.437320,78,-0.0193271823227406
818,981.439400,78,-0.0193271823227406
819,982.469660,78,-0.0193271823227406
820,983.467660,78,-0.0193271823227406
821,984.459440,78,-0.0193271823227406
822,985.479800,78,-0.0193271823227406
823,986.491580,78,-0.0193271823227406
824,987.546360,78,-0.0193271823227406
825,988.552900,78,-0.0193271823227406
826,989.558780,78,-0.0193271823227406
827,990.596580,78,-0.0193271823227406
828,991.595860,78,-0.0193271823227406
829,992.606440,78,-0.0193271823227406
830,993.623260,78,-0.0193271823227406
831,994.774000,78,-0.0193271823227406
832,995.798180,78,-0.0193271823227406
833,996.844840,78,-0.0193271823227406
834,997.876840,78,-0.0193271823227406
835,998.894120,78,-0.0193271823227406
836,999.906240,78,-0.0193271823227406
837,1000.944200,78,-0.0193271823227406
838,1001.970540,78,-0.0193271823227406
839,1003.024660,78,-0.0193271823227406
840,1004.059940,78,-0.0193271823227406
841,1005.092860,78,-0.0193271823227406
842,1006.124460,78,-0.0193271823227406
843,1007.170280,78,-0.0193271823227406
844,1008.207200,78,-0.0193271823227406
845,1009.206660,78,-0.0193271823227406
846,1010.198800,78,-0.0193271823227406
847,1011.225840,78,-0.0193271823227406
848,1012.226120,78,-0.0193271823227406
849,1013.257700,78,-0.0193271823227406
850,1014.268680,78,-0.0193271823227406
851,1015.265180,78,-0.0193271823227406
852,1016.306600,78,-0.0193271823227406
853,1017.357380,78,-0.0193271823227406
854,1018.384000,78,-0.0193271823227406
855,1019.402320,78,-0.0193271823227406
856,1020.399020,78,-0.0193271823227406
857,1021.426640,78,-0.0193271823227406
858,1022.436760,78,-0.0193271823227406
859,1023.452160,78,-0.0193271823227406
860,1024.477820,78,-0.0193271823227406
861,1025.485500,78,-0.0193271823227406
862,1026.506620,78,-0.0193271823227406
863,1027.550440,78,-0.0193271823227406
864,1028.572640,78,-0.0193271823227406
865,1030.080640,78,-0.0193271823227406
866,1031.096860,78,-0.0193271823227406
867,1032.135880,78,-0.0193271823227406
868,1033.140780,78,-0.0193271823227406
869,1034.163160,78,-0.0193271823227406
870,1035.184640,78,-0.0193271823227406
871,1036.435160,78,-0.0193271823227406
872,1037.534680,78,-0.0193271823227406
873,1038.795180,78,-0.0193271823227406
874,1040.384220,78,-0.0193271823227406
875,1041.363100,78,-0.0193271823227406
876,1043.026380,78,-0.0193271823227406
877,1044.576160,78,-0.0193271823227406
878,1045.571840,78,-0.0193271823227406
879,1046.510880,78,-0.0193271823227406
880,1048.188540,78,-0.0193271823227406
881,1049.124660,78,-0.0193271823227406
882,1050.597560,78,-0.0193271823227406
883,1051.509840,78,-0.0193271823227406
884,1053.201600,78,-0.0193271823227406
885,1054.147300,78,-0.0193271823227406
886,1055.615860,78,-0.0193271823227406
887,1056.557580,78,-0.0193271823227406
888,1058.302280,78,-0.0193271823227406
889,1059.250080,78,-0.0193271823227406
890,1060.931460,78,-0.0193271823227406
891,1061.976940,78,-0.0193271823227406
892,1063.452100,78,-0.0193271823227406
893,1064.397060,78,-0.0193271823227406
894,1066.221980,78,-0.0193271823227406
895,1067.230040,78,-0.0193271823227406
896,1068.907480,78,-0.0193271823227406
897,1069.871920,78,-0.0193271823227406
898,1071.436080,78,-0.0193271823227406
899,1072.392020,78,-0.0193271823227406
900,1074.090500,78,-0.0193271823227406
901,1075.073080,78,-0.0193271823227406
902,1076.557160,78,-0.0193271823227406
903,1077.547420,78,-0.0193271823227406
904,1079.260680,78,-0.0193271823227406
905,1080.216160,78,-0.0193271823227406
906,1082.024320,78,-0.0193271823227406
907,1083.594220,78,-0.0193271823227406
908,1084.580820,78,-0.0193271823227406
909,1086.191000,78,-0.0193271823227406
910,1087.222820,78,-0.0193271823227406
911,1088.943040,78,-0.0193271823227406
912,1090.016720,78,-0.0193271823227406
913,1091.612820,78,-0.0193271823227406
914,1092.613900,78,-0.0193271823227406
915,1094.257440,78,-0.0193271823227406
916,1095.225980,78,-0.0193271823227406
917,1097.004440,78,-0.0193271823227406
918,1098.015920,78,-0.0193271823227406
919,1099.513500,78,-0.0193271823227406
920,1100.556080,78,-0.0193271823227406
921,1102.307200,78,-0.0193271823227406
922,1103.288220,78,-0.0193271823227406
923,1104.988660,78,-0.0193271823227406
924,1105.976240,78,-0.0193271823227406
925,1107.491400,78,-0.0193271823227406
926,1108.472660,78,-0.0193271823227406
927,1110.265920,78,-0.0193271823227406
928,1111.275240,78,-0.0193271823227406
929,1113.013540,78,-0.0193271823227406
930,1113.999980,78,-0.0193271823227406
931,1115.562680,78,-0.0193271823227406
932,1116.520360,78,-0.0193271823227406
933,1118.268520,78,-0.0193271823227406
934,1119.243500,78,-0.0193271823227406
935,1120.975100,78,-0.0193271823227406
936,1122.596240,78,-0.0193271823227406
937,1123.585180,78,-0.0193271823227406
938,1125.154780,78,-0.0193271823227406
939,1126.231920,78,-0.0193271823227406
940,1127.283540,78,-0.0193271823227406
941,1128.324340,78,-0.0193271823227406
942,1129.858420,78,-0.0193271823227406
943,1130.927440,78,-0.0193271823227406
944,1131.999280,78,-0.0193271823227406
945,1133.074020,78,-0.0193271823227406
946,1134.124680,78,-0.0193271823227406
947,1135.182300,78,-0.0193271823227406
948,1136.463180,78,-0.0193271823227406
949,1137.584380,78,-0.0193271823227406
950,1138.894920,78,-0.0193271823227406
951,1139.944080,78,-0.0193271823227406
952,1141.031680,78,-0.0193271823227406
953,1142.063180,78,-0.0193271823227406
954,1143.127660,78,-0.0193271823227406
955,1144.427360,78,-0.0193271823227406
956,1145.505660,78,-0.0193271823227406
957,1146.543600,78,-0.0193271823227406
958,1147.590600,78,-0.0193271823227406
959,1148.785840,78,-0.0193271823227406
960,1149.799580,78,-0.0193271823227406
961,1150.850940,78,-0.0193271823227406
962,1151.897580,78,-0.0193271823227406
963,1152.971660,78,-0.0193271823227406
964,1154.035020,78,-0.0193271823227406
965,1155.082640,78,-0.0193271823227406
966,1156.192460,78,-0.0193271823227406
967,1157.251700,78,-0.0193271823227406
968,1158.308860,78,-0.0193271823227406
969,1159.339320,78,-0.0193271823227406
970,1160.362920,78,-0.0193271823227406
971,1161.400340,78,-0.0193271823227406
972,1162.412900,78,-0.0193271823227406
973,1163.465700,78,-0.0193271823227406
974,1164.509040,78,-0.0193271823227406
975,1165.533020,78,-0.0193271823227406
976,1166.599800,78,-0.0193271823227406
977,1167.790080,78,-0.0193271823227406
978,1168.850280,78,-0.0193271823227406
979,1169.886320,78,-0.0193271823227406
980,1170.950720,78,-0.0193271823227406
981,1172.013220,78,-0.0193271823227406
982,1173.048480,78,-0.0193271823227406
983,1174.116660,78,-0.0193271823227406
984,1175.135920,78,-0.0193271823227406
985,1176.196340,78,-0.0193271823227406
986,1177.253760,78,-0.0193271823227406
987,1178.289120,78,-0.0193271823227406
988,1179.329920,78,-0.0193271823227406
989,1180.355440,78,-0.0193271823227406
990,1181.410280,78,-0.0193271823227406
991,1182.427840,78,-0.0193271823227406
992,1183.452960,78,-0.0193271823227406
993,1184.496580,78,-0.0193271823227406
994,1185.512180,78,-0.0193271823227406
995,1186.548580,78,-0.0193271823227406
996,1187.601580,78,-0.0193271823227406
997,1188.613320,78,-0.0193271823227406
998,1189.828540,78,-0.0193271823227406
999,1190.870340,78,-0.0193271823227406
1000,1191.945860,78,-0.0193271823227406
1001,1193.007740,78,-0.0193271823227406
1002,1194.085220,78,-0.0193271823227406
1003,1195.132240,78,-0.0193271823227406
1004,1196.170200,78,-0.0193271823227406
1005,1197.253220,78,-0.0193271823227406
1006,1198.294400,78,-0.0193271823227406
1007,1199.337180,78,-0.0193271823227406
1008,1200.363780,78,-0.0193271823227406
1009,1201.385500,78,-0.0193271823227406
1010,1202.440400,78,-0.0193271823227406
1011,1203.471880,78,-0.0193271823227406
1012,1204.526060,78,-0.0193271823227406
1013,1205.542260,78,-0.0193271823227406
1014,1206.562040,78,-0.0193271823227406
1015,1207.794640,78,-0.0193271823227406
1016,1208.829620,78,-0.0193271823227406
1017,1209.937640,78,-0.0193271823227406
1018,1210.990780,78,-0.0193271823227406
1019,1212.062900,78,-0.0193271823227406
1020,1213.105100,78,-0.0193271823227406
1021,1214.141580,78,-0.0193271823227406
1022,1215.193520,78,-0.0193271823227406
1023,1216.222520,78,-0.0193271823227406
1024,1217.304900,78,-0.0193271823227406
1025,1218.342220,78,-0.0193271823227406
1026,1219.362220,78,-0.0193271823227406
1027,1220.430260,78,-0.0193271823227406
1028,1221.443020,78,-0.0193271823227406
1029,1222.493180,78,-0.0193271823227406
