Sample,X(ms) [18.05.2017 16:43:20 181 UTC],"I_encoder"[%ID1000],"M_beam_angle"[%MD24]
612,738.515880,81,-0.0119540635496378
613,740.454000,81,-0.0119540635496378
614,741.460740,81,-0.0119540635496378
615,743.095300,81,-0.0119540635496378
616,744.102480,81,-0.0119540635496378
617,745.892440,81,-0.0119540635496378
618,746.903240,81,-0.0119540635496378
619,748.870040,81,-0.0119540635496378
620,749.865880,81,-0.0119540635496378
621,751.445060,81,-0.0119540635496378
622,752.404060,81,-0.0119540635496378
623,754.178320,81,-0.0119540635496378
624,755.232340,81,-0.0119540635496378
625,756.960800,81,-0.0119540635496378
626,758.474760,81,-0.0119540635496378
627,759.450900,81,-0.0119540635496378
628,760.395500,81,-0.0119540635496378
629,762.097960,81,-0.0119540635496378
630,763.874340,81,-0.0119540635496378
631,764.939360,81,-0.0119540635496378
632,766.484320,81,-0.0119540635496378
633,767.488560,81,-0.0119540635496378
634,769.155860,81,-0.0119540635496378
635,770.147020,81,-0.0119540635496378
636,771.896480,81,-0.0119540635496378
637,772.910880,81,-0.0119540635496378
638,774.428160,81,-0.0119540635496378
639,775.468460,81,-0.0119540635496378
640,777.304780,81,-0.0119540635496378
641,778.260880,81,-0.0119540635496378
642,779.922140,81,-0.0119540635496378
643,780.909180,81,-0.0119540635496378
644,782.368700,81,-0.0119540635496378
645,783.343140,81,-0.0119540635496378
646,785.136280,81,-0.0119540635496378
647,786.229780,81,-0.0119540635496378
648,787.908960,81,-0.0119540635496378
649,788.871060,81,-0.0119540635496378
650,790.458620,81,-0.0119540635496378
651,791.414800,81,-0.0119540635496378
652,793.099900,81,-0.0119540635496378
653,794.080520,81,-0.0119540635496378
654,795.623300,81,-0.0119540635496378
655,796.620220,81,-0.0119540635496378
656,798.391200,81,-0.0119540635496378
657,800.101640,81,-0.0119540635496378
658,801.107700,81,-0.0119540635496378
659,802.624840,81,-0.0119540635496378
660,803.840360,81,-0.0119540635496378
