time [s],angle [rad],voltage [V]
0.73644122,0,0
0.73824606,0,0
0.73924856,0,0
0.7407985,0,0
0.74186222,0,0
0.74363354,0,0
0.74463418,0,0
0.74631912,0,0
0.74746894,0,0
0.749273,0,0
0.7508122,0,0
0.7518302,0,0
0.7535498,0,0
0.75458546,0,0
0.75628954,0,0
0.75726242,0,0
0.75880038,0,0
0.75980094,0,0
0.76158022,0,0
0.7629501,0,0
0.76476204,0,0
0.76650524,0,0
0.76753926,0,0
0.76928774,0,0
0.77028526,0,0
0.77184658,0,0
0.77289022,0,0
0.77468182,0,0
0.77575152,0,0
0.77748012,0,0
0.7785028,0,0
0.78002396,0,0
0.78099416,0,0
0.78276654,0,0
0.78375694,0,0
0.78561782,0,0
0.78729486,0,0
0.7882938,0,0
0.7898208,0,0
0.790851,0,0
0.7924822,0,0
0.79351962,0,0
0.79532566,0,0
0.7964096,0,0
0.79795202,0,0
0.79895682,0,0
0.80069716,0,0
0.80177772,0,0
0.80354636,0,0
0.80454646,0,0
0.80606166,0,0
0.80703666,0,0
0.80875802,0,0
0.80972434,0,0
0.81140954,0,0
0.81244318,0,0
0.81406382,0,0
0.81581004,0,0
0.81681622,0,0
0.8184455,0,0
0.81949502,0,0
0.82124706,0,0
0.82227468,0,0
0.8238296,0,0
0.82482984,0,0
0.82655276,0,0
0.82756724,0,0
0.82930452,0,0
0.83037352,0,0
0.83191518,0,0
0.83293554,0,0
0.83466874,0,0
0.83566048,0,0
0.83679622,0,0
0.83784064,0,0
0.83889692,0,0
0.83994834,0,0
0.84099336,0,0
0.84206642,0,0
0.84329236,0,0
0.84437444,0,0
0.8454603,0,0
0.84653604,0,0
0.8475868,0,0
0.84863326,0,0
0.84969414,0,0
0.8507442,0,0
0.85180184,0,0
0.8528724,0,0
0.85389586,0,0
0.85497318,0,0
0.856007,0,0
0.85706844,0,0
0.85824398,0,0
0.85931402,0,0
0.86037422,0,0
0.86145404,0,0
0.86289916,0,0
0.864408,0,0
0.86560286,0,0
0.86666502,0,0
0.8677493,0,0
0.86877768,0,0
0.86984236,0,0
0.87088894,0,0
0.87196424,0,0
0.87303496,0,0
0.87406478,0,0
0.87527098,0,0
0.87630786,0,0
0.87742656,0,0
0.87851112,0,0
0.87955824,0,0
0.8806354,0,0
0.88167028,0,0
0.88275264,0,0
0.88379804,0,0
0.88488866,0,0
0.8859304,0,0
0.8874554,0,0
0.88853626,0,0
0.8895806,0,0
0.89065608,0,0
0.892408,0,0
0.89391066,0,0
0.89489796,0,0
0.89662996,0,0
0.89762802,0,0
0.899287,0,0
0.90025466,0,0
0.90186606,0,0
0.9028766,0,0
0.90460022,0,0
0.90630758,0,0
0.90732818,0,0
0.90873874,0,0
0.90980222,0,0
0.91088138,0,0
0.9119275,0,0
0.912987,0,0
0.91405296,0,0
0.91507942,0,0
0.91628896,0,0
0.91733644,0,0
0.91839068,0,0
0.91948386,0,0
0.92055738,0,0
0.92162492,0,0
0.92269006,0,0
0.92376756,0,0
0.92481406,0,0
0.92584932,0,0
0.92769326,0,0
0.92868164,0,0
0.93037916,0,0
0.93134642,0,0
0.9329636,0,0
0.93392986,0,0
0.9356179,0,0
0.93730804,0,0
0.93832152,0,0
0.93983228,0,0
0.9408812,0,0
0.94255474,0,0
0.94356658,0,0
0.94533544,0,0
0.94635082,0,0
0.94791736,0,0
0.94900994,0,0
0.9507519,0,0
0.95176058,0,0
0.95354866,0,0
0.95454232,0,0
0.95606098,0,0
0.95704168,0,0
0.95882544,0,0
0.95981604,0,0
0.9615042,0,0
0.96360192,0,0
0.96461484,0,0
0.96638346,0,0
0.96742812,0,0
0.96893198,0,0
0.9699099,0,0
0.97165158,0,0
0.97267094,0,0
0.9743366,0,0
0.9753198,0,0
0.9768575,0,0
0.97782742,0,0
0.97959752,0,0
0.98066938,0,0
0.98250854,0,0
0.98424652,0,0
0.98525722,0,0
0.98672808,0,0
0.98776872,0,0
0.98940936,0,0
0.9904421,0,0
0.9920594,0,0
0.993248,0,0
0.99478034,0,0
0.99577596,0,0
0.99750562,0,0
0.99851642,0,0
1.00003852,0,0
1.00103604,0,0
1.00273002,0,0
1.00372692,0,0
1.00548092,0,0
1.00657954,0,0
1.00824544,0,0
1.00907684,0,0
1.01077018,0,0
1.01192788,0,0
1.01370482,0,0
1.01530804,0,0
1.01632286,0,0
1.01785438,0,0
1.01886538,0,0
1.0204979,0,0
1.02152248,0,0
1.02329454,0,0
1.0242988,0,0
1.0258266,0,0
1.02681986,0,0
1.02857964,0,0
1.02965798,0,0
1.03138674,0,0
1.03242836,0,0
1.03378128,0,0
1.0348716,0,0
1.0359372,0,0
1.0369762,0,0
1.0380265,0,0
1.03907258,0,0
1.04024752,0,0
1.04148554,0,0
1.04258168,0,0
1.04365816,0,0
1.04470322,0,0
1.04575746,0,0
1.04679986,0,0
1.04783558,0,0
1.04889754,0,0
1.04993458,0,0
1.05101118,0,0
1.05205792,0,0
1.05326588,0,0
1.05434436,0,0
1.05540654,0,0
1.05649662,0,0
1.05755722,0,0
1.05862422,0,0
1.05967206,0,0
1.06072106,0,0
1.06177262,0,0
1.06334298,0,0
1.06446698,0,0
1.06577056,0,0
1.06688436,0,0
1.06803336,0,0
1.06924292,0,0
1.0702919,0,0
1.07133866,0,0
1.072486,0,0
1.07355148,0,0
1.0746183,0,0
1.07566634,0,0
1.07669932,0,0
1.07772954,0,0
1.07873242,0,0
1.07982436,0,0
1.08085012,0,0
1.0818846,0,0
1.0829345,0,0
1.08394616,0,0
1.08501024,0,0
1.08602642,0,0
1.0875249,0,0
1.08855148,0,0
1.0895997,0,0
1.09063694,0,0
1.09164194,0,0
1.09271752,0,0
1.09373954,0,0
1.0947906,0,0
1.09581256,0,0
1.09682702,0,0
1.09785684,0,0
1.09887384,0,0
1.09990624,0,0
1.10093952,0,0
1.10195228,0,0
1.10303368,0,0
1.10404936,0,0
1.10508564,0,0
1.10624778,0,0
1.1072599,0,0
1.10830222,0,0
1.1093155,0,0
1.1103682,0,0
1.11140034,0,0
1.11250156,0,0
1.11354854,0,0
1.11572554,0,0
1.1167307,0,0
1.11833042,0,0
1.1193153,0,0
1.12081278,0,0
1.12181586,0,0
1.12278856,0,0
1.12446738,0,0
1.12544116,0,0
1.1270269,0,0
1.12796566,0,0
1.12961898,0,0
1.13056516,0,0
1.13234934,0,0
1.13389344,0,0
1.1349184,0,0
1.13652966,0,0
1.1375343,0,0
1.13933594,0,0
1.14035504,0,0
1.1419002,0,0
1.14294704,0,0
1.1446045,0,0
1.14565812,0,0
1.14739644,0,0
1.14843214,0,0
1.14993,0,0
1.150942,0,0
1.15268666,0,0
1.15365588,0,0
1.1553809,0,0
1.15645722,0,0
1.1579789,0,0
1.15893344,0,0
1.1606597,0,0
1.1616576,0,0
1.16370694,0,0
1.16548706,0,0
1.166514,0,0
1.16801814,0,0
1.16901386,0,0
1.17073984,0,0
1.17179122,0,0
1.17354706,0,0
1.17454158,0,0
1.17607938,0,0
1.17707846,0,0
1.17880642,0,0
1.17978088,0,0
1.18148154,0,0
1.1830834,0,0
1.18429636,0,0
1.1858191,0,0
1.18689284,0,0
1.18868404,0,0
1.18968434,0,0
1.19144244,0,0
1.19250816,0,0
1.1940323,0,0
1.19504598,0,0
1.19675744,0,0
1.19780296,0,0
1.19955558,0,0
1.20056008,0,0
1.2020432,0,0
1.20303594,0,0
1.20479758,0,0
1.20579454,0,0
1.20750588,0,0
1.2085128,0,0
1.2103452,0,0
1.2119253,0,0
1.21295842,0,0
1.21461774,0,0
1.21563844,0,0
1.21740764,0,0
1.21842258,0,0
1.2199586,0,0
1.22100304,0,0
1.22276152,0,0
1.22374402,0,0
1.2254856,0,0
1.22650362,0,0
1.22799486,0,0
1.22897698,0,0
1.23074268,0,0
1.23180792,0,0
1.23353578,0,0
1.23454234,0,0
1.23608796,0,0
1.2370405,0,0
1.2388001,0,0
1.24062172,0,0
1.24165138,0,0
1.24343832,0,0
1.244464,0,0
1.24596056,0,0
1.24694602,0,0
1.24866022,0,0
1.2496515,0,0
1.25137342,0,0
1.25242828,0,0
1.25391772,0,0
1.2549256,0,0
1.25671348,0,0
1.25776948,0,0
1.2594796,0,0
1.26048462,0,0
1.2619559,0,0
1.26357064,0,0
1.26461948,0,0
1.26566078,0,0
1.26698032,0,0
1.26805582,0,0
1.26939594,0,0
1.27047538,0,0
1.2715615,0,0
1.27264506,0,0
1.2737092,0,0
1.27475864,0,0
1.27579266,0,0
1.27684954,0,0
1.27789394,0,0
1.27894586,0,0
1.27999668,0,0
1.28103698,0,0
1.28233232,0,0
1.28337938,0,0
1.28448736,0,0
1.28554882,0,0
1.28687454,0,0
1.28794392,0,0
1.28899888,0,0
1.29004504,0,0
1.29106396,0,0
1.29230222,0,0
1.2933617,0,0
1.29445134,0,0
1.29551342,0,0
1.29656522,0,0
1.29762452,0,0
1.298665,0,0
1.29971708,0,0
1.30076432,0,0
1.30297464,0,0
1.30397402,0,0
1.30570594,0,0
1.30667994,0,0
1.30834856,0,0
1.30932164,0,0
1.31089936,0,0
1.3118765,0,0
1.31362034,0,0
1.31459836,0,0
1.31627496,0,0
1.31724852,0,0
1.31889168,0,0
1.32058902,0,0
1.32162738,0,0
1.32333478,0,0
1.3243635,0,0
1.32589228,0,0
1.3268881,0,0
1.32852204,0,0
1.32954322,0,0
1.33125426,0,0
1.33228974,0,0
1.33382182,0,0
1.33484526,0,0
1.3365756,0,0
1.33758684,0,0
1.33932696,0,0
1.34040488,0,0
1.3419633,0,0
1.34299394,0,0
1.34465198,0,0
1.34572334,0,0
1.34673062,0,0
1.34776632,0,0
1.3488314,0,0
