time [s],angle [rad],voltage [V]
1.0332908,0,0
1.03458306,0,0
1.03564618,0,0
1.0366695,0,0
1.0376898,0,0
1.0395542,0,0
1.0405243,0,0
1.04201138,0,0
1.0429593,0,0
1.04466544,0,0
1.04562336,0,0
1.04728082,0,0
1.04823316,0,0
1.04975122,0,0
1.0507121,0,0
1.05241974,0,0
1.05340698,0,0
1.05487588,0,0
1.05583844,0,0
1.05756428,0,0
1.05861784,0,0
1.06033158,0,0
1.0613242,0,0
1.06284848,0,0
1.063803,0,0
1.06548942,0,0
1.06646354,0,0
1.06798252,0,0
1.06895716,0,0
1.07067844,0,0
1.07162384,0,0
1.07325794,0,0
1.07420152,0,0
1.0757582,0,0
1.0767313,0,0
1.07846462,0,0
1.07949618,0,0
1.08099868,0,0
1.08198084,0,0
1.08376414,0,0
1.08471406,0,0
1.08636234,0,0
1.08733934,0,0
1.08848408,0,0
1.08955156,0,0
1.0905994,0,0
1.09162366,0,0
1.09265362,0,0
1.09367344,0,0
1.0946862,0,0
1.09572704,0,0
1.0967374,0,0
1.09777096,0,0
1.09879982,0,0
1.09984592,0,0
1.1017759,0,0
1.10273464,0,0
1.10442292,0,0
1.10537888,0,0
1.10695302,0,0
1.10789242,0,0
1.10994124,0,0
1.11165972,0,0
1.11265066,0,0
1.11438134,0,0
1.11538084,0,0
1.1168946,0,0
1.11787984,0,0
1.11959884,0,0
1.12057494,0,0
1.12227202,0,0
1.12324918,0,0
1.1247398,0,0
1.12570696,0,0
1.12740984,0,0
1.1284404,0,0
1.12995652,0,0
1.13097754,0,0
1.13272594,0,0
1.1336966,0,0
1.13539284,0,0
1.13638538,0,0
1.13788472,0,0
1.13886042,0,0
1.14059422,0,0
1.14156176,0,0
1.14319386,0,0
1.14401964,0,0
1.14568982,0,0
1.14675386,0,0
1.14852784,0,0
1.14953362,0,0
1.1511912,0,0
1.15199056,0,0
1.15369038,0,0
1.15464106,0,0
1.15632578,0,0
1.15737892,0,0
1.15888366,0,0
1.16079158,0,0
1.16185054,0,0
1.16354258,0,0
1.16454894,0,0
1.16629752,0,0
1.1673054,0,0
1.16886136,0,0
1.16990652,0,0
1.17161378,0,0
1.17261392,0,0
1.17435114,0,0
1.17536386,0,0
1.17689134,0,0
1.17795964,0,0
1.17971506,0,0
1.18068916,0,0
1.18239944,0,0
1.1834073,0,0
1.18495934,0,0
1.1859336,0,0
1.18767896,0,0
1.18876606,0,0
1.19049382,0,0
1.1920277,0,0
1.19300692,0,0
1.19396554,0,0
1.19570442,0,0
1.19745226,0,0
1.19848498,0,0
1.20022354,0,0
1.20121636,0,0
1.20273902,0,0
1.20373516,0,0
1.205534,0,0
1.20661436,0,0
1.20832584,0,0
1.2103382,0,0
1.21135532,0,0
1.21291202,0,0
1.21398738,0,0
1.21572784,0,0
1.21673158,0,0
1.21849298,0,0
1.21954794,0,0
1.22102706,0,0
1.22198914,0,0
1.22367104,0,0
1.22467188,0,0
1.22644262,0,0
1.22753778,0,0
1.22926158,0,0
1.23025418,0,0
1.23185238,0,0
1.23280588,0,0
1.23448392,0,0
1.23547192,0,0
1.23720816,0,0
1.23802088,0,0
1.23981584,0,0
1.24154784,0,0
1.24256088,0,0
1.24395966,0,0
1.24500958,0,0
1.24621652,0,0
1.24726246,0,0
1.24835528,0,0
1.24948898,0,0
1.25052956,0,0
1.25159914,0,0
1.25261984,0,0
1.25364838,0,0
1.254721,0,0
1.25575348,0,0
1.25681224,0,0
1.25784736,0,0
1.25890844,0,0
1.2599811,0,0
1.26151544,0,0
1.26268482,0,0
1.26374546,0,0
1.26480716,0,0
1.26583856,0,0
1.26689734,0,0
1.26794632,0,0
1.26898014,0,0
1.27022368,0,0
1.27127058,0,0
1.27233672,0,0
1.27341834,0,0
1.2745015,0,0
1.27555552,0,0
1.27659182,0,0
1.27764956,0,0
1.27867918,0,0
1.2797707,0,0
1.2808206,0,0
1.28187938,0,0
1.28294182,0,0
1.28397092,0,0
1.2850221,0,0
1.2861971,0,0
1.28725358,0,0
1.2888822,0,0
1.2906485,0,0
1.29165134,0,0
1.2934052,0,0
1.29442472,0,0
1.29593316,0,0
1.29695606,0,0
1.2986623,0,0
1.299685,0,0
1.3014163,0,0
1.30243944,0,0
1.30396642,0,0
1.30495292,0,0
1.30667138,0,0
1.30765064,0,0
1.30969418,0,0
1.31148852,0,0
1.31249328,0,0
1.31426388,0,0
1.31532544,0,0
1.31683614,0,0
1.31783914,0,0
1.31962118,0,0
1.32070294,0,0
1.32250844,0,0
1.3234898,0,0
1.32502502,0,0
1.32599852,0,0
1.32773102,0,0
1.32869846,0,0
1.33040926,0,0
1.33141474,0,0
1.33300142,0,0
1.33396792,0,0
1.33569306,0,0
1.33731514,0,0
1.33835596,0,0
1.3399581,0,0
1.34099944,0,0
1.34277108,0,0
1.34377788,0,0
1.34521988,0,0
1.34628282,0,0
1.34736786,0,0
1.34843956,0,0
1.34959328,0,0
1.35064658,0,0
1.35169558,0,0
1.35276318,0,0
1.353804,0,0
1.35486604,0,0
1.35590178,0,0
1.35694254,0,0
1.3579893,0,0
1.35902204,0,0
1.3604954,0,0
1.3615908,0,0
1.36274492,0,0
1.36378154,0,0
1.36479102,0,0
1.36582402,0,0
1.3668302,0,0
1.36787046,0,0
1.36888542,0,0
1.36993478,0,0
1.37096314,0,0
1.37197682,0,0
1.37301436,0,0
1.37403476,0,0
1.37518524,0,0
1.37622246,0,0
1.37723618,0,0
1.37829192,0,0
1.37935844,0,0
1.3804236,0,0
1.38147362,0,0
1.38250498,0,0
1.38353958,0,0
1.38455962,0,0
1.3855976,0,0
1.3866234,0,0
1.38763806,0,0
1.38867482,0,0
1.38973108,0,0
1.39077742,0,0
1.39181058,0,0
1.39281458,0,0
1.39384376,0,0
1.39485974,0,0
1.39590118,0,0
1.39691728,0,0
1.39793854,0,0
1.39896656,0,0
1.40001458,0,0
1.40119112,0,0
1.40221214,0,0
1.4032323,0,0
1.40426384,0,0
1.40528568,0,0
1.40633276,0,0
1.40738818,0,0
1.40842496,0,0
1.40983846,0,0
1.41088092,0,0
1.41192392,0,0
1.41294458,0,0
1.41528078,0,0
1.41624614,0,0
1.41781448,0,0
1.41877492,0,0
1.420472,0,0
1.42144614,0,0
1.42294544,0,0
1.42391166,0,0
1.4256036,0,0
1.42654914,0,0
1.42819858,0,0
1.42900308,0,0
1.4307691,0,0
1.43177784,0,0
1.43345166,0,0
1.43444682,0,0
1.43599336,0,0
1.43693526,0,0
1.4386443,0,0
1.43968976,0,0
1.44133128,0,0
1.44228996,0,0
1.4438574,0,0
1.4448669,0,0
1.44658852,0,0
1.4475541,0,0
1.4492306,0,0
1.45003118,0,0
1.45174564,0,0
1.45269132,0,0
1.45436654,0,0
1.45531754,0,0
1.45686314,0,0
1.45780684,0,0
1.459544,0,0
1.46052668,0,0
1.46202176,0,0
1.46296654,0,0
1.46471924,0,0
1.46573714,0,0
1.46743758,0,0
1.46897544,0,0
1.47000888,0,0
1.47095544,0,0
1.47261188,0,0
1.4735511,0,0
1.47503252,0,0
1.47596456,0,0
1.47767412,0,0
1.47861974,0,0
1.48031788,0,0
1.48127408,0,0
1.48281708,0,0
1.48376314,0,0
1.48546164,0,0
1.4864302,0,0
1.48797676,0,0
1.48892194,0,0
1.49068088,0,0
1.49237492,0,0
1.4934155,0,0
1.49496026,0,0
1.49595078,0,0
1.49688764,0,0
1.49853188,0,0
1.50022218,0,0
1.50121398,0,0
1.50200738,0,0
1.50373402,0,0
1.50540906,0,0
1.50643186,0,0
1.5080138,0,0
1.50961678,0,0
1.51136436,0,0
1.51234396,0,0
1.51386862,0,0
1.5148216,0,0
1.51650938,0,0
1.51748194,0,0
1.51897844,0,0
1.51998408,0,0
1.5216722,0,0
1.52261462,0,0
1.52426174,0,0
1.52522476,0,0
1.52680696,0,0
1.52784576,0,0
1.52959022,0,0
1.53055862,0,0
1.53192702,0,0
1.53293252,0,0
1.5339633,0,0
1.5354412,0,0
1.53650864,0,0
1.53753966,0,0
1.53857374,0,0
1.53961606,0,0
1.54062712,0,0
1.54167146,0,0
1.54270134,0,0
1.54374094,0,0
1.54476956,0,0
1.54577364,0,0
1.5468081,0,0
1.54783476,0,0
1.54885924,0,0
1.54992372,0,0
1.55093554,0,0
1.55202648,0,0
1.55370446,0,0
1.55541726,0,0
1.55639772,0,0
1.5579688,0,0
1.55891498,0,0
1.5606694,0,0
1.56164222,0,0
1.5633067,0,0
1.56424864,0,0
1.5658027,0,0
1.5667348,0,0
1.5684762,0,0
1.57019668,0,0
1.57120334,0,0
1.57199532,0,0
1.57374592,0,0
1.57545944,0,0
1.57646722,0,0
1.57848516,0,0
1.5795339,0,0
1.58103778,0,0
1.58223404,0,0
1.58384724,0,0
1.5848181,0,0
1.58653006,0,0
1.5875077,0,0
1.58922244,0,0
1.59076172,0,0
1.59176616,0,0
1.59272766,0,0
1.59445458,0,0
1.5960325,0,0
1.59730092,0,0
1.59885496,0,0
1.59988252,0,0
1.60155128,0,0
1.60254816,0,0
1.60433756,0,0
1.6054515,0,0
1.60695922,0,0
1.60795612,0,0
1.61000636,0,0
1.61100338,0,0
1.61270276,0,0
1.61432696,0,0
1.61541054,0,0
1.6172251,0,0
1.61821394,0,0
1.61977966,0,0
1.62077036,0,0
1.622496,0,0
1.62349584,0,0
1.6250067,0,0
1.62627908,0,0
1.62779992,0,0
1.62878978,0,0
1.63055852,0,0
1.6315996,0,0
1.63326472,0,0
1.63424096,0,0
1.63583322,0,0
1.63679608,0,0
1.6385201,0,0
1.6402936,0,0
1.6413202,0,0
1.64285724,0,0
1.64386534,0,0
1.64547336,0,0
1.64649462,0,0
1.64820748,0,0
1.6492504,0,0
1.65075266,0,0
1.65175444,0,0
1.6534633,0,0
1.65446944,0,0
1.65619898,0,0
1.65719594,0,0
1.65873346,0,0
1.65978002,0,0
1.66152796,0,0
1.66254148,0,0
1.66419918,0,0
1.66518558,0,0
1.66670454,0,0
1.66774132,0,0
1.66950592,0,0
1.67048856,0,0
1.6720295,0,0
1.67324528,0,0
1.67486436,0,0
1.67582512,0,0
1.67753972,0,0
1.67851032,0,0
1.68040858,0,0
1.68222692,0,0
1.68321104,0,0
1.68471762,0,0
1.68571034,0,0
1.68746254,0,0
1.6884714,0,0
1.69000694,0,0
1.69098276,0,0
1.69268134,0,0
1.69367336,0,0
1.69542202,0,0
1.69651604,0,0
1.69819258,0,0
1.69901,0,0
1.70076912,0,0
1.70172112,0,0
1.702758,0,0
1.70376442,0,0
1.70479322,0,0
1.70581856,0,0
1.70683344,0,0
1.70788076,0,0
1.70889036,0,0
1.71048728,0,0
1.71153618,0,0
1.71256658,0,0
1.71360314,0,0
1.71461924,0,0
1.71565668,0,0
1.71665942,0,0
1.71769688,0,0
1.71871038,0,0
1.71976858,0,0
1.72081356,0,0
1.7218383,0,0
1.7228772,0,0
1.72389552,0,0
1.7248946,0,0
1.72594814,0,0
1.72696916,0,0
1.7280059,0,0
1.72902862,0,0
1.7302374,0,0
1.7313048,0,0
1.7323274,0,0
1.73366124,0,0
1.73471708,0,0
1.7357614,0,0
1.73679184,0,0
1.73779816,0,0
1.73882934,0,0
1.73986314,0,0
1.74090196,0,0
1.74192574,0,0
1.7429235,0,0
1.74396354,0,0
1.74497092,0,0
1.7460119,0,0
1.74703576,0,0
1.74802854,0,0
1.7492412,0,0
1.750246,0,0
1.7512995,0,0
1.7523264,0,0
1.75342838,0,0
1.75448238,0,0
1.75551324,0,0
1.75656928,0,0
1.7575811,0,0
1.75862732,0,0
1.75968172,0,0
1.76069748,0,0
1.76172928,0,0
1.7629914,0,0
1.76431452,0,0
1.76538962,0,0
1.76646638,0,0
1.76751078,0,0
1.76853014,0,0
1.7696134,0,0
1.77062454,0,0
1.77166392,0,0
1.77343924,0,0
1.77495054,0,0
1.7759134,0,0
1.77759862,0,0
1.77858142,0,0
1.78029962,0,0
1.781286,0,0
1.78277426,0,0
1.78375662,0,0
1.78546638,0,0
1.78646658,0,0
1.78795746,0,0
1.7889381,0,0
1.79067526,0,0
1.79172202,0,0
1.79345096,0,0
1.79444192,0,0
1.79594234,0,0
1.79690854,0,0
1.7986352,0,0
1.79962458,0,0
1.8012583,0,0
1.80221152,0,0
1.80383224,0,0
1.80479614,0,0
1.80648496,0,0
1.80746146,0,0
1.80894936,0,0
1.81126418,0,0
1.81228908,0,0
1.8138349,0,0
1.81482446,0,0
1.816524,0,0
1.81751986,0,0
1.81925452,0,0
1.82023256,0,0
1.82171524,0,0
1.82269222,0,0
1.82441434,0,0
1.82542304,0,0
1.8268855,0,0
1.82785534,0,0
1.82957176,0,0
1.83054098,0,0
1.8320275,0,0
1.83299704,0,0
1.83464078,0,0
1.83560804,0,0
1.83732156,0,0
1.83831312,0,0
1.83982576,0,0
1.84080254,0,0
1.84254706,0,0
1.84357172,0,0
1.84520884,0,0
1.84601414,0,0
1.84766006,0,0
1.84862574,0,0
1.85023604,0,0
1.85145036,0,0
1.85301214,0,0
1.85397214,0,0
1.85569026,0,0
1.85665722,0,0
1.85830038,0,0
1.85930586,0,0
1.86084714,0,0
1.86181128,0,0
1.86350238,0,0
1.86446754,0,0
1.86595742,0,0
1.86692158,0,0
1.86868556,0,0
1.8697584,0,0
1.8714521,0,0
1.87244112,0,0
1.87395736,0,0
1.87498526,0,0
1.87619616,0,0
1.87719966,0,0
1.87825056,0,0
1.87931382,0,0
1.88037402,0,0
1.8814719,0,0
1.88249322,0,0
1.8835409,0,0
1.88456318,0,0
1.88561544,0,0
1.88664204,0,0
1.88764934,0,0
1.88869792,0,0
1.88974432,0,0
1.8907786,0,0
1.89179814,0,0
1.89280254,0,0
1.89383142,0,0
1.89484656,0,0
1.8958745,0,0
1.89689482,0,0
1.89791188,0,0
1.8989492,0,0
1.90000618,0,0
1.90102824,0,0
1.90219884,0,0
1.90320572,0,0
1.90426706,0,0
1.9052936,0,0
1.90635578,0,0
1.9074046,0,0
1.90844482,0,0
1.909847,0,0
1.91088442,0,0
1.91192962,0,0
1.91294504,0,0
1.91397982,0,0
1.91500248,0,0
1.91601294,0,0
1.91719416,0,0
1.91820286,0,0
1.91928528,0,0
1.92032208,0,0
1.92135496,0,0
1.92242424,0,0
1.92346286,0,0
1.92450952,0,0
1.92553922,0,0
1.92657996,0,0
1.92760744,0,0
1.92861216,0,0
1.9296785,0,0
1.93070304,0,0
1.93176948,0,0
1.93278716,0,0
1.93379994,0,0
1.93526578,0,0
1.9363124,0,0
1.93737768,0,0
1.93843538,0,0
1.93952526,0,0
1.9405357,0,0
1.94155792,0,0
1.94259288,0,0
1.94434338,0,0
1.945862,0,0
1.94681272,0,0
1.94852156,0,0
1.9495226,0,0
1.9510214,0,0
1.95197324,0,0
1.95366826,0,0
1.95462756,0,0
1.95626744,0,0
1.9572328,0,0
1.95874534,0,0
1.95974926,0,0
1.96150022,0,0
1.96256648,0,0
1.96420682,0,0
1.96637124,0,0
1.96743432,0,0
1.96895684,0,0
1.96999412,0,0
1.97167556,0,0
1.97265646,0,0
1.97441024,0,0
1.9754181,0,0
1.97694258,0,0
1.97794526,0,0
1.9796661,0,0
1.98063786,0,0
1.9823173,0,0
1.98330538,0,0
1.98487944,0,0
1.98592476,0,0
1.98766636,0,0
1.98864082,0,0
1.9903144,0,0
1.99127492,0,0
1.99287204,0,0
1.99383896,0,0
1.99551124,0,0
1.99648692,0,0
1.99820628,0,0
1.99902346,0,0
2.00078382,0,0
2.00239946,0,0
2.00344138,0,0
2.00503596,0,0
2.0063164,0,0
2.00787288,0,0
2.00888118,0,0
2.0109409,0,0
2.01192394,0,0
2.01365004,0,0
2.01461156,0,0
2.01628216,0,0
2.01724052,0,0
2.01884456,0,0
2.01984216,0,0
2.0215186,0,0
2.0224753,0,0
2.02428698,0,0
2.02578246,0,0
2.0267678,0,0
2.02837584,0,0
2.02944506,0,0
2.03100556,0,0
2.03202326,0,0
2.0336283,0,0
2.03468598,0,0
2.03648842,0,0
2.03748576,0,0
2.03925266,0,0
2.0402366,0,0
2.04172566,0,0
2.04269076,0,0
2.04444866,0,0
2.045517,0,0
2.04699882,0,0
2.04796026,0,0
2.04966864,0,0
2.05063552,0,0
2.05232078,0,0
2.0532996,0,0
2.05479832,0,0
2.05577134,0,0
2.05752556,0,0
2.05860028,0,0
2.06025624,0,0
2.06121036,0,0
2.06280034,0,0
2.06377076,0,0
2.06527994,0,0
2.06661784,0,0
2.06840816,0,0
2.0699891,0,0
2.07097014,0,0
2.07254064,0,0
2.0735357,0,0
2.0751818,0,0
2.07603542,0,0
2.07698626,0,0
2.07869696,0,0
2.08033132,0,0
2.08135348,0,0
2.08288292,0,0
2.08390484,0,0
2.08562288,0,0
2.08660224,0,0
2.08799044,0,0
2.08921432,0,0
2.09026398,0,0
2.09130554,0,0
2.09233172,0,0
2.09340858,0,0
2.09444666,0,0
2.0955073,0,0
2.09653668,0,0
2.09756146,0,0
2.0986178,0,0
2.09966264,0,0
2.10070644,0,0
2.10173664,0,0
2.10275252,0,0
2.10379574,0,0
2.10480946,0,0
2.10584452,0,0
2.10686804,0,0
2.10787712,0,0
2.108926,0,0
2.11048932,0,0
2.11154914,0,0
2.11256224,0,0
2.11359672,0,0
2.11461198,0,0
2.11562588,0,0
2.11666894,0,0
2.1176983,0,0
2.11873626,0,0
2.11979864,0,0
2.12081014,0,0
2.12184704,0,0
2.12286994,0,0
2.12390514,0,0
2.12490952,0,0
2.12591202,0,0
2.1269586,0,0
2.12797944,0,0
2.12901558,0,0
2.13073902,0,0
2.13250888,0,0
2.13350016,0,0
2.13497496,0,0
2.13594744,0,0
2.13763904,0,0
2.13860344,0,0
2.14032226,0,0
2.14129322,0,0
2.14277704,0,0
2.1437448,0,0
2.14547038,0,0
2.14646618,0,0
2.14796612,0,0
2.14895734,0,0
2.1506687,0,0
2.15174702,0,0
2.15348466,0,0
2.1544752,0,0
2.15597822,0,0
2.15695754,0,0
2.158663,0,0
2.15963922,0,0
2.16128494,0,0
2.16223506,0,0
2.16377794,0,0
2.16476224,0,0
2.16652474,0,0
2.16752518,0,0
2.16900038,0,0
2.16998776,0,0
2.17174294,0,0
2.17276784,0,0
2.17445568,0,0
2.17542788,0,0
2.17700792,0,0
2.17794324,0,0
2.1793365,0,0
2.18037806,0,0
2.18149632,0,0
2.18251284,0,0
2.18356388,0,0
2.18458616,0,0
2.18559402,0,0
2.18662356,0,0
2.18764102,0,0
2.18884674,0,0
2.18991616,0,0
2.19091976,0,0
2.19196284,0,0
2.1929754,0,0
2.19500554,0,0
2.19595648,0,0
2.19766232,0,0
2.19861174,0,0
2.20030008,0,0
2.20123658,0,0
2.20279912,0,0
2.20374392,0,0
2.20541896,0,0
2.20638492,0,0
2.20794752,0,0
2.20888684,0,0
2.21091258,0,0
2.21256752,0,0
2.21353394,0,0
2.2152472,0,0
2.21623636,0,0
2.21770784,0,0
2.21872854,0,0
2.22053192,0,0
2.22152556,0,0
2.22322438,0,0
2.22419888,0,0
2.22554218,0,0
2.22677994,0,0
2.22861692,0,0
2.22963598,0,0
2.23128176,0,0
2.2322337,0,0
2.23376272,0,0
2.23473464,0,0
2.2364485,0,0
2.2374362,0,0
2.23894132,0,0
2.23994292,0,0
2.241625,0,0
2.24259154,0,0
2.2442717,0,0
2.24529658,0,0
2.24684582,0,0
2.24780734,0,0
2.24937156,0,0
2.25043392,0,0
2.25149992,0,0
2.25252584,0,0
2.25356052,0,0
2.254593,0,0
2.25560956,0,0
2.25664822,0,0
2.2576639,0,0
2.25875852,0,0
2.2598114,0,0
2.26082744,0,0
2.2618801,0,0
2.26288776,0,0
2.26392394,0,0
2.26493944,0,0
2.26644668,0,0
2.26760052,0,0
2.26863688,0,0
2.2697248,0,0
2.27073448,0,0
2.271786,0,0
2.27280178,0,0
2.27380392,0,0
2.27484492,0,0
2.2758557,0,0
2.27690034,0,0
2.27794078,0,0
2.2789406,0,0
2.2800138,0,0
2.28101946,0,0
2.2822177,0,0
2.2832278,0,0
2.28425028,0,0
2.28527614,0,0
2.2862994,0,0
2.2873552,0,0
2.28848984,0,0
2.2895779,0,0
2.29060578,0,0
2.2916126,0,0
2.29265488,0,0
2.29367684,0,0
2.29472314,0,0
2.2957356,0,0
2.2967406,0,0
