Sample,X(ms) [24.05.2017 18:25:20 218 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
580,711.567640,0,0,0
581,712.690900,0,0,0
582,714.444980,0,0,0
583,715.441020,0,0,0
584,716.971900,0,0,0
585,717.957980,0,0,0
586,719.720040,0,0,0
587,720.776100,0,0,0
588,722.539240,0,0,0
589,724.220200,0,0,0
590,725.235100,0,0,0
591,726.753160,0,0,0
592,727.777800,0,0,0
593,729.408420,0,0,0
594,730.453800,0,0,0
595,732.249180,0,0,0
596,733.322380,0,0,0
597,734.878200,0,0,0
598,735.871620,0,0,0
599,737.578580,0,0,0
600,738.580240,0,0,0
601,740.331700,0,0,0
602,741.356700,0,0,0
603,742.866720,0,0,0
604,743.850160,0,0,0
605,745.595840,0,0,0
606,746.581200,0,0,0
607,748.219340,0,0,0
608,749.230420,0,0,0
609,750.796180,0,0,0
610,751.775680,0,0,0
611,753.563460,0,0,0
612,755.290760,0,0,0
613,756.327080,0,0,0
614,757.903140,0,0,0
615,758.916400,0,0,0
616,760.623060,0,0,0
617,761.625840,0,0,0
618,763.437340,0,0,0
619,764.542500,0,0,0
620,766.201340,0,0,0
621,767.203520,0,0,0
622,768.707420,0,0,0
623,769.743540,0,0,0
624,771.468300,0,0,0
625,772.470780,0,0,0
626,774.021060,0,0,0
627,775.270740,0,0,0
628,776.864420,0,0,0
629,777.844040,0,0,0
630,779.538900,0,0,0
631,780.519700,0,0,0
632,782.190540,0,0,0
633,782.992580,0,0,0
634,784.780060,0,0,0
635,786.520820,0,0,0
636,787.533260,0,0,0
637,789.285680,0,0,0
638,790.276960,0,0,0
639,791.796580,0,0,0
640,792.797640,0,0,0
641,794.536620,0,0,0
642,795.610220,0,0,0
643,797.345540,0,0,0
644,798.352660,0,0,0
645,799.870560,0,0,0
646,800.871140,0,0,0
647,802.574460,0,0,0
648,803.563040,0,0,0
649,805.273560,0,0,0
650,806.264460,0,0,0
651,807.819240,0,0,0
652,808.788100,0,0,0
653,810.803660,0,0,0
654,812.464820,0,0,0
655,813.563560,0,0,0
656,815.343760,0,0,0
657,816.361120,0,0,0
658,817.826220,0,0,0
659,818.880700,0,0,0
660,819.935100,0,0,0
661,820.971580,0,0,0
662,822.011300,0,0,0
663,823.212040,0,0,0
664,824.235520,0,0,0
665,825.309200,0,0,0
666,826.375680,0,0,0
667,827.469740,0,0,0
668,828.514840,0,0,0
669,829.589600,0,0,0
670,830.654340,0,0,0
671,831.738000,0,0,0
672,832.798140,0,0,0
673,833.843900,0,0,0
674,835.372580,0,0,0
675,836.454740,0,0,0
676,837.506220,0,0,0
677,838.579260,0,0,0
678,839.645380,0,0,0
679,840.718700,0,0,0
680,841.751760,0,0,0
681,842.858480,0,0,0
682,843.901600,0,0,0
683,844.934460,0,0,0
684,845.987820,0,0,0
685,847.029100,0,0,0
686,848.269380,0,0,0
687,849.351820,0,0,0
688,850.438700,0,0,0
689,851.497340,0,0,0
690,852.538900,0,0,0
691,853.603080,0,0,0
692,854.645100,0,0,0
693,855.714020,0,0,0
694,856.742400,0,0,0
695,857.788600,0,0,0
696,858.839300,0,0,0
697,860.317920,0,0,0
698,861.524140,0,0,0
699,862.588780,0,0,0
700,863.637160,0,0,0
701,864.687180,0,0,0
702,865.719100,0,0,0
703,866.785460,0,0,0
704,867.822520,0,0,0
705,868.878600,0,0,0
706,869.951700,0,0,0
707,871.002660,0,0,0
708,872.036840,0,0,0
709,873.204060,0,0,0
710,874.264940,0,0,0
711,875.315140,0,0,0
712,876.380520,0,0,0
713,877.449520,0,0,0
714,878.491380,0,0,0
715,879.595380,0,0,0
716,880.624640,0,0,0
717,881.708340,0,0,0
718,882.754200,0,0,0
719,883.809560,0,0,0
720,884.857220,0,0,0
721,885.892940,0,0,0
722,886.967460,0,0,0
723,887.992180,0,0,0
724,889.216200,0,0,0
725,890.272500,0,0,0
