Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
794,985.257220,1631,0,0
795,986.728080,1631,0,0
796,987.768720,1631,0,0
797,989.409360,1631,0,0
798,990.442100,1631,0,0
799,992.059400,1631,0,0
800,993.248000,1631,0,0
801,994.780340,1631,0,0
802,995.775960,1631,0,0
803,997.505620,1631,0,0
804,998.516420,1631,0,0
805,1000.038520,1631,0,0
806,1001.036040,1631,0,0
807,1002.730020,1631,0,0
808,1003.726920,1631,0,0
809,1005.480920,1631,0,0
810,1006.579540,1631,0,0
811,1008.245440,1631,0,0
812,1009.076840,1631,0,0
813,1010.770180,1631,0,0
814,1011.927880,1631,0,0
815,1013.704820,1631,0,0
816,1015.308040,1631,0,0
817,1016.322860,1631,0,0
818,1017.854380,1631,0,0
819,1018.865380,1631,0,0
820,1020.497900,1631,0,0
821,1021.522480,1631,0,0
822,1023.294540,1631,0,0
823,1024.298800,1631,0,0
824,1025.826600,1631,0,0
825,1026.819860,1631,0,0
826,1028.579640,1631,0,0
827,1029.657980,1631,0,0
828,1031.386740,1631,0,0
829,1032.428360,1631,0,0
830,1033.781280,1631,0,0
831,1034.871600,1631,0,0
832,1035.937200,1631,0,0
833,1036.976200,1631,0,0
834,1038.026500,1631,0,0
835,1039.072580,1631,0,0
836,1040.247520,1631,0,0
837,1041.485540,1631,0,0
838,1042.581680,1631,0,0
839,1043.658160,1631,0,0
840,1044.703220,1631,0,0
841,1045.757460,1631,0,0
842,1046.799860,1631,0,0
843,1047.835580,1631,0,0
844,1048.897540,1631,0,0
845,1049.934580,1631,0,0
846,1051.011180,1631,0,0
847,1052.057920,1631,0,0
848,1053.265880,1631,0,0
849,1054.344360,1631,0,0
850,1055.406540,1631,0,0
851,1056.496620,1631,0,0
852,1057.557220,1631,0,0
853,1058.624220,1631,0,0
854,1059.672060,1631,0,0
855,1060.721060,1631,0,0
856,1061.772620,1631,0,0
857,1063.342980,1631,0,0
858,1064.466980,1631,0,0
859,1065.770560,1631,0,0
860,1066.884360,1631,0,0
861,1068.033360,1631,0,0
862,1069.242920,1631,0,0
863,1070.291900,1631,0,0
864,1071.338660,1631,0,0
865,1072.486000,1631,0,0
866,1073.551480,1631,0,0
867,1074.618300,1631,0,0
868,1075.666340,1631,0,0
869,1076.699320,1631,0,0
870,1077.729540,1631,0,0
871,1078.732420,1631,0,0
872,1079.824360,1631,0,0
873,1080.850120,1631,0,0
874,1081.884600,1631,0,0
875,1082.934500,1631,0,0
876,1083.946160,1631,0,0
877,1085.010240,1631,0,0
878,1086.026420,1631,0,0
879,1087.524900,1631,0,0
880,1088.551480,1631,0,0
