time,ang,angvel,control
0.68001344,0.172971397638321,0,-7
0.68863554,0.172971397638321,0,-7
0.69699544,0.172971397638321,0,-7
0.7064739,0.172971397638321,0,-7
0.71494122,0.172971397638321,0,-7
0.72463672,0.172971397638321,0,-7
0.73324092,0.172971397638321,0,-7
0.74259724,0.172971397638321,0,-7
0.7509986,0.172971397638321,0,-7
0.75967638,0.172971397638321,0,-7
0.76853256,0.172971397638321,0,-7
0.77572468,0.172971397638321,0,-7
0.78261362,0.172971397638321,0,-7
0.78948346,0.172971397638321,0,-7
0.79642058,0.172971397638321,0,-7
0.8036633,0.172971397638321,0,-7
0.81054948,0.172971397638321,0,-7
0.81743644,0.172971397638321,0,-7
0.82463934,0.172971397638321,0,-7
0.83149888,0.172971397638321,0,-7
0.83875686,0.172971397638321,0,-7
0.8458689,0.172971397638321,0,-7
0.85399962,0.172971397638321,0,-7
0.86258904,0.172971397638321,0,-7
0.87204406,0.172971397638321,0,-7
0.88068402,0.172971397638321,0,-7
0.88977512,0.172971397638321,0,-7
0.897826,0.172971397638321,0,-7
0.90522824,0.172971397638321,0,-7
0.9119265,0.172971397638321,0,-7
0.91885252,0.172971397638321,0,-7
0.9260087,0.172971397638321,0,-7
0.93293652,0.172971397638321,0,-7
0.940426,0.172971397638321,0,-7
0.94733904,0.172971397638321,0,-7
0.95425796,0.172971397638321,0,-7
0.96098648,0.172971397638321,0,-7
0.96787782,0.172971397638321,0,-7
0.97505882,0.172971397638321,0,-7
0.9819631,0.172971397638321,0,-7
0.9888511,0.172971397638321,0,-7
0.99575478,0.172971397638321,0,-7
1.00294708,0.172971397638321,0,-7
1.01098934,0.172971397638321,0,-7
1.01961306,0.172971397638321,0,-7
1.02925582,0.172971397638321,0,-7
1.03774326,0.172971397638321,0,-7
1.04690678,0.172971397638321,0,-7
1.05568124,0.172971397638321,0,-7
1.06273868,0.172971397638321,0,-7
1.07039182,0.172971397638321,0,-7
1.07904496,0.172971397638321,0,-7
1.08843164,0.172971397638321,0,-7
1.09686478,0.172971397638321,0,-7
1.10539052,0.172971397638321,0,-7
1.114816,0.172971397638321,0,-7
1.12358018,0.172971397638321,0,-7
1.13290828,0.172971397638321,0,-7
1.14156044,0.172971397638321,0,-7
1.15074948,0.172971397638321,0,-7
1.15938602,0.172971397638321,0,-7
1.16877826,0.172971397638321,0,-7
1.17766578,0.172971397638321,0,-7
1.18464406,0.172971397638321,0,-7
1.19152456,0.172971397638321,0,-7
1.20028434,0.172971397638321,0,-7
1.20883152,0.172971397638321,0,-7
1.21804182,0.172971397638321,0,-7
1.22688096,0.172971397638321,0,-7
1.23593146,0.172971397638321,0,-7
1.24444756,0.172971397638321,0,-7
1.25135112,0.172971397638321,0,-7
1.2582692,0.172971397638321,0,-7
1.26502008,0.172971397638321,0,-7
1.27231258,0.172971397638321,0,-7
1.27899964,0.172971397638321,0,-7
1.28591542,0.172971397638321,0,-7
1.29288558,0.172971397638321,0,-7
