Sample,X(ms) [18.06.2017 17:27:22 855 UTC],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_beam_PWM_output"[%MW22]
94,794.572160,0.167203545570374,0,2
95,803.103100,0.167203545570374,0,2
96,812.198280,0.167203545570374,0,2
97,821.108820,0.167203545570374,0,2
98,830.232580,0.167203545570374,0,2
99,838.915600,0.167203545570374,0,2
100,848.185060,0.167203545570374,0,2
101,856.990880,0.167203545570374,0,2
102,866.579620,0.167203545570374,0,2
103,875.089440,0.167203545570374,0,2
104,882.960940,0.167203545570374,0,2
105,889.860460,0.167203545570374,0,2
106,896.728140,0.167203545570374,0,2
107,904.018900,0.167203545570374,0,2
108,910.939240,0.167203545570374,0,2
109,918.125740,0.167203545570374,0,2
110,925.027340,0.167203545570374,0,2
111,931.974400,0.167203545570374,0,2
112,938.880160,0.167203545570374,0,2
113,947.119320,0.167203545570374,0,2
114,955.633800,0.167203545570374,0,2
115,964.988080,0.167203545570374,0,2
116,973.710740,0.167203545570374,0,2
117,982.792600,0.167203545570374,0,2
118,991.118560,0.167203545570374,0,2
119,998.110000,0.167203545570374,0,2
120,1005.617880,0.167203545570374,0,2
121,1012.511400,0.167203545570374,0,2
122,1019.705760,0.167203545570374,0,2
123,1026.641420,0.167203545570374,0,2
124,1033.553420,0.167203545570374,0,2
125,1040.471440,0.167203545570374,0,2
126,1047.718720,0.167203545570374,0,2
127,1054.585620,0.167203545570374,0,2
128,1061.506440,0.167203545570374,0,2
129,1068.658200,0.167203545570374,0,2
130,1075.580220,0.167203545570374,0,2
131,1082.502360,0.167203545570374,0,2
132,1089.237560,0.167203545570374,0,2
133,1096.160120,0.167203545570374,0,2
134,1103.212060,0.167203545570374,0,2
135,1110.128300,0.167203545570374,0,2
136,1119.126420,0.167203545570374,0,2
137,1127.643060,0.167203545570374,0,2
138,1136.169800,0.167203545570374,0,2
139,1145.501680,0.167203545570374,0,2
140,1153.894840,0.167203545570374,0,2
141,1162.718320,0.167203545570374,0,2
142,1169.864800,0.167203545570374,0,2
143,1176.806740,0.167203545570374,0,2
144,1186.536980,0.167203545570374,0,2
145,1194.987540,0.167203545570374,0,2
146,1203.581720,0.167203545570374,0,2
147,1212.806280,0.167203545570374,0,2
148,1221.683520,0.167203545570374,0,2
149,1231.069080,0.167203545570374,0,2
150,1239.805020,0.167203545570374,0,2
151,1249.123380,0.167203545570374,0,2
152,1257.736080,0.167203545570374,0,2
153,1266.727280,0.167203545570374,0,2
154,1273.596680,0.167203545570374,0,2
155,1280.536740,0.167203545570374,0,2
156,1287.310020,0.167203545570374,0,2
157,1294.137740,0.167203545570374,0,2
158,1301.863600,0.167203545570374,0,2
159,1311.003740,0.167203545570374,0,2
160,1319.884040,0.167203545570374,0,2
161,1329.091860,0.167203545570374,0,2
162,1337.646120,0.167203545570374,0,2
163,1346.174040,0.167203545570374,0,2
164,1355.217480,0.167203545570374,0,2
165,1363.921760,0.167203545570374,0,2
166,1372.165320,0.167203545570374,0,2
167,1379.107840,0.167203545570374,0,2
168,1386.493360,0.167203545570374,0,2
169,1393.248480,0.167203545570374,0,2
170,1400.171780,0.167203545570374,0,2
171,1407.675800,0.167203545570374,0,2
172,1414.826040,0.167203545570374,0,2
173,1421.791540,0.167203545570374,0,2
174,1428.683540,0.167203545570374,0,2
175,1435.585640,0.167203545570374,0,2
176,1442.477360,0.167203545570374,0,2
177,1449.741620,0.167203545570374,0,2
178,1456.637060,0.167203545570374,0,2
179,1465.722060,0.167203545570374,0,2
180,1474.177920,0.167203545570374,0,2
181,1482.866640,0.167203545570374,0,2
182,1492.105080,0.167203545570374,0,2
183,1500.761980,0.167203545570374,0,2
184,1509.264960,0.167203545570374,0,2
185,1516.579140,0.167203545570374,0,2
186,1523.469760,0.167203545570374,0,2
187,1530.274080,0.167203545570374,0,2
188,1537.126280,0.167203545570374,0,2
189,1544.281040,0.167203545570374,0,2
190,1551.288780,0.167203545570374,0,2
191,1558.228240,0.167203545570374,0,2
192,1565.502980,0.167203545570374,0,2
193,1574.743420,0.167203545570374,0,2
194,1583.205140,0.167203545570374,0,2
195,1592.626300,0.167203545570374,0,2
196,1601.057520,0.167203545570374,0,2
197,1610.564940,0.167203545570374,0,2
198,1619.460440,0.167203545570374,0,2
199,1628.712340,0.167203545570374,0,2
200,1637.181380,0.167203545570374,0,2
201,1645.858420,0.167203545570374,0,2
202,1654.822080,0.167203545570374,0,2
203,1661.733340,0.167203545570374,0,2
204,1668.886240,0.167203545570374,0,2
205,1675.809740,0.167203545570374,0,2
206,1685.653260,0.167203545570374,0,2
207,1694.125360,0.167203545570374,0,2
208,1702.764780,0.167203545570374,0,2
209,1712.057980,0.167203545570374,0,2
210,1721.679060,0.167203545570374,0,-35
211,1728.647040,0.168898403644562,0,-35
212,1735.628320,0.17049378156662,0,-35
213,1742.535860,0.17338490486145,0,-35
214,1749.779740,0.176961928606033,0,-35
215,1756.716960,0.17883363366127,0,-35
216,1763.580980,0.181332468986511,0,-35
217,1770.808980,0.182109206914902,0.282578468322754,-38
218,1777.734120,0.181675642728806,0.282578468322754,-38
219,1784.631720,0.179566562175751,0.282578468322754,-38
220,1791.567900,0.175796866416931,0.282578468322754,-38
221,1798.489500,0.168790876865387,0.282578468322754,-38
222,1805.793360,0.161398738622665,0.282578468322754,-38
223,1812.692540,0.15000993013382,0.282578468322754,-38
224,1821.114800,0.133361667394638,-0.677531957626343,-27
225,1830.155740,0.11718112975359,-0.677531957626343,-27
226,1838.917020,0.095261462032795,-0.677531957626343,-27
227,1848.093440,0.0709425434470177,-0.677531957626343,-27
228,1856.660940,0.049117311835289,-0.677531957626343,-27
229,1865.675780,0.0214193239808083,-2.4264612197876,-2
230,1872.579100,0.0022408626973629,-2.4264612197876,-2
231,1879.536160,-0.0124224834144115,-2.4264612197876,-2
232,1886.508860,-0.027260459959507,-2.4264612197876,-2
233,1893.243640,-0.0422143340110779,-2.4264612197876,-2
234,1900.232180,-0.05722401663661,-2.4264612197876,-2
235,1907.717420,-0.0672332644462585,-2.4264612197876,-2
236,1914.804060,-0.0822063758969307,-2.16678357124329,4
237,1921.758760,-0.0921347737312317,-2.16678357124329,4
238,1928.640200,-0.0970770418643951,-2.16678357124329,4
239,1935.576840,-0.102001488208771,-2.16678357124329,4
