Sample,X(ms) [16.06.2017 10:30:22 626 UTC],time [s],"M_beam_angle"[%MD24],"M_crank_angle"[%MD72],"Q_motor_direction"[%Q4.0],"Q_motor_PWM"[%QW1000],control
511,'747,21006','0,74721006','-0,0011424124','1,7802358866',0,0,0
512,'748,8797','0,7488797','-0,0011424124','1,7802358866',0,0,0
513,'750,92352','0,75092352','-0,0011424124','1,7802358866',0,0,0
514,'752,73016','0,75273016','-0,0011424124','1,7802358866',0,0,0
515,'753,8805','0,7538805','-0,0011424124','1,7802358866',0,0,0
516,'755,80256','0,75580256','-0,0011424124','1,7802358866',0,0,0
517,'756,97986','0,75697986','-0,0011424124','1,7802358866',0,0,0
518,'758,78688','0,75878688','-0,0011424124','1,7802358866',0,0,0
519,'760,57866','0,76057866','-0,0011424124','1,7802358866',0,0,0
520,'761,7475','0,7617475','-0,0011424124','1,7802358866',0,0,0
521,'763,71656','0,76371656','-0,0011424124','1,7802358866',0,0,0
522,'765,6113','0,7656113','-0,0011424124','1,7802358866',0,0,0
523,'766,8475','0,7668475','-0,0011424124','1,7802358866',0,0,0
524,'768,69298','0,76869298','-0,0011424124','1,7802358866',0,0,0
525,'769,82318','0,76982318','-0,0011424124','1,7802358866',0,0,0
526,'771,64058','0,77164058','-0,0011424124','1,7802358866',0,0,0
527,'773,56364','0,77356364','-0,0011424124','1,7802358866',0,0,0
528,'774,7992','0,7747992','-0,0011424124','1,7802358866',0,0,0
529,'776,65564','0,77665564','-0,0011424124','1,7802358866',0,0,0
530,'777,79974','0,77779974','-0,0011424124','1,7802358866',0,0,0
531,'779,62052','0,77962052','-0,0011424124','1,7802358866',0,0,0
532,'781,58308','0,78158308','-0,0011424124','1,7802358866',0,0,0
533,'782,8292','0,7828292','-0,0011424124','1,7802358866',0,0,0
534,'784,70118','0,78470118','-0,0011424124','1,7802358866',0,0,0
535,'786,67072','0,78667072','-0,0011424124','1,7802358866',0,0,0
536,'787,85346','0,78785346','-0,0011424124','1,7802358866',0,0,0
537,'789,70526','0,78970526','-0,0011424124','1,7802358866',0,0,0
538,'790,84812','0,79084812','-0,0011424124','1,7802358866',0,0,0
539,'792,66968','0,79266968','-0,0011424124','1,7802358866',0,0,0
540,'794,6503','0,7946503','-0,0011424124','1,7802358866',0,0,0
541,'795,88276','0,79588276','-0,0011424124','1,7802358866',0,0,0
542,'797,78888','0,79778888','-0,0011424124','1,7802358866',0,0,0
543,'799,65832','0,79965832','-0,0011424124','1,7802358866',0,0,0
544,'801,05764','0,80105764','-0,0011424124','1,7802358866',0,0,0
545,'802,93968','0,80293968','-0,0011424124','1,7802358866',0,0,0
546,'804,75026','0,80475026','-0,0011424124','1,7802358866',0,0,0
547,'805,90338','0,80590338','-0,0011424124','1,7802358866',0,0,0
548,'807,86328','0,80786328','-0,0011424124','1,7802358866',0,0,0
549,'809,74336','0,80974336','-0,0011424124','1,7802358866',0,0,0
550,'810,9087','0,8109087','-0,0011424124','1,7802358866',0,0,0
551,'812,71948','0,81271948','-0,0011424124','1,7802358866',0,0,0
552,'813,93098','0,81393098','-0,0011424124','1,7802358866',0,0,0
553,'815,14812','0,81514812','-0,0011424124','1,7802358866',0,0,0
554,'816,53542','0,81653542','-0,0011424124','1,7802358866',0,0,0
555,'817,7733','0,8177733','-0,0011424124','1,7802358866',0,0,0
556,'818,95698','0,81895698','-0,0011424124','1,7802358866',0,0,0
557,'820,16186','0,82016186','-0,0011424124','1,7802358866',0,0,0
558,'821,51514','0,82151514','-0,0011424124','1,7802358866',0,0,0
559,'822,75742','0,82275742','-0,0011424124','1,7802358866',0,0,0
560,'823,93366','0,82393366','-0,0011424124','1,7802358866',0,0,0
561,'825,12722','0,82512722','-0,0011424124','1,7802358866',0,0,0
562,'826,50766','0,82650766','-0,0011424124','1,7802358866',0,0,0
563,'827,7549','0,8277549','-0,0011424124','1,7802358866',0,0,0
564,'828,9349','0,8289349','-0,0011424124','1,7802358866',0,0,0
565,'830,14448','0,83014448','-0,0011424124','1,7802358866',0,0,0
566,'831,48468','0,83148468','-0,0011424124','1,7802358866',0,0,0
567,'832,72542','0,83272542','-0,0011424124','1,7802358866',0,0,0
568,'833,90896','0,83390896','-0,0011424124','1,7802358866',0,0,0
569,'835,11778','0,83511778','-0,0011424124','1,7802358866',0,0,0
570,'836,50156','0,83650156','-0,0011424124','1,7802358866',0,0,0
571,'837,73358','0,83773358','-0,0011424124','1,7802358866',0,0,0
572,'838,92846','0,83892846','-0,0011424124','1,7802358866',0,0,0
573,'840,1455','0,8401455','-0,0011424124','1,7802358866',0,0,0
574,'841,5075','0,8415075','-0,0011424124','1,7802358866',0,0,0
575,'842,74252','0,84274252','-0,0011424124','1,7802358866',0,0,0
576,'843,9339','0,8439339','-0,0011424124','1,7802358866',0,0,0
577,'845,11856','0,84511856','-0,0011424124','1,7802358866',0,0,0
578,'846,51788','0,84651788','-0,0011424124','1,7802358866',0,0,0
579,'847,74978','0,84774978','-0,0011424124','1,7802358866',0,0,0
580,'848,93624','0,84893624','-0,0011424124','1,7802358866',0,0,0
581,'850,1148','0,8501148','-0,0011424124','1,7802358866',0,0,0
582,'851,89058','0,85189058','-0,0011424124','1,7802358866',0,0,0
583,'853,12338','0,85312338','-0,0011424124','1,7802358866',0,0,0
584,'854,47864','0,85447864','-0,0011424124','1,7802358866',0,0,0
585,'855,7083','0,8557083','-0,0011424124','1,7802358866',0,0,0
586,'856,94212','0,85694212','-0,0011424124','1,7802358866',0,0,0
587,'858,15002','0,85815002','-0,0011424124','1,7802358866',0,0,0
588,'859,50418','0,85950418','-0,0011424124','1,7802358866',0,0,0
589,'860,74792','0,86074792','-0,0011424124','1,7802358866',0,0,0
590,'861,93812','0,86193812','-0,0011424124','1,7802358866',0,0,0
591,'863,1447','0,8631447','-0,0011424124','1,7802358866',0,0,0
592,'864,52414','0,86452414','-0,0011424124','1,7802358866',0,0,0
593,'865,75376','0,86575376','-0,0011424124','1,7802358866',0,0,0
594,'866,98132','0,86698132','-0,0011424124','1,7802358866',0,0,0
595,'868,18054','0,86818054','-0,0011424124','1,7802358866',0,0,0
596,'869,5652','0,8695652','-0,0011424124','1,7802358866',0,0,0
597,'870,7791','0,8707791','-0,0011424124','1,7802358866',0,0,0
598,'871,9935','0,8719935','-0,0011424124','1,7802358866',0,0,0
599,'873,18106','0,87318106','-0,0011424124','1,7802358866',0,0,0
600,'874,5578','0,8745578','-0,0011424124','1,7802358866',0,0,0
601,'875,77488','0,87577488','-0,0011424124','1,7802358866',0,0,0
