Sample,X(ms) [01.05.2017 19:42:28 533 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
8,799.997120,1597,2220
9,900.020400,1604,2244
10,1000.012660,1604,2186
11,1099.998200,1604,2218
12,1199.998080,1604,2218
13,1300.000060,1604,2192
14,1400.065580,1604,2192
15,1499.997480,1604,2192
16,1600.004900,1604,2217
17,1700.008500,1604,2218
18,1800.002340,1604,2192
19,1900.029600,1604,2243
20,1999.999000,1604,2210
21,2100.023340,1596,2218
22,2199.999520,1604,2210
23,2300.002540,1604,2218
24,2400.072660,1604,2235
25,2499.998820,1604,2191
26,2600.028360,1604,2194
27,2700.028640,1604,2218
28,2800.011800,1604,2210
29,2900.013740,1604,2218
30,3000.007540,1604,2216
31,3100.013720,1604,2218
32,3200.050760,1604,2218
33,3300.017680,1604,2218
34,3399.995580,1604,2218
35,3500.006560,1602,2218
36,3600.029980,1604,2218
37,3700.004660,1603,2212
38,3800.000040,1604,2250
39,3900.000960,1604,2216
40,4000.021520,1604,2220
41,4099.998620,1604,2218
42,4200.038000,1604,2218
43,4300.027720,1604,2212
44,4399.997500,1604,2218
45,4500.027480,1604,2218
46,4600.033380,1604,2243
47,4700.020080,1604,2224
48,4799.997880,1604,2218
49,4900.009420,1604,2218
50,5000.007600,1604,2218
51,5100.000940,1604,2218
52,5200.022600,1604,2192
53,5300.002980,1604,2220
54,5400.021700,1604,2225
55,5500.040460,1604,2220
56,5600.003120,1604,2192
57,5700.061900,1604,2218
58,5800.027500,1604,2218
59,5900.024480,1604,2218
60,6000.006440,1604,2220
61,6100.028780,1604,2218
62,6200.050400,1604,2220
63,6300.120120,1604,2243
64,6400.015060,1604,2218
65,6500.006120,1604,2225
66,6600.009120,1604,2218
67,6700.073820,1635,2212
68,6800.007440,1637,2211
69,6900.021020,1640,2216
70,7000.004640,1646,2218
71,7100.028320,1640,2218
72,7199.999460,1638,2218
73,7300.019080,1640,2212
74,7400.010940,1638,2218
75,7500.006480,1638,2216
76,7600.012400,1604,2218
77,7699.996360,1604,2212
78,7800.022200,1604,2218
79,7900.010580,1604,2218
80,8000.019260,1604,2244
81,8100.009560,1596,2193
82,8200.019600,1604,2216
83,8300.022640,1604,2218
84,8400.001620,1604,2218
85,8500.030680,1604,2212
86,8600.036220,1604,2218
87,8700.011200,1604,2185
88,8800.005560,1604,2192
89,8899.998880,1604,2218
90,9000.023360,1604,2218
