Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
75,7400.021140,2184,1609
76,7499.999240,2184,1621
77,7600.025520,2184,1605
78,7699.997320,2184,1605
79,7799.997800,2187,1621
80,7900.002440,2185,1617
81,7999.993760,2197,1604
82,8100.024440,2184,1623
83,8200.009640,2202,1634
84,8300.053600,2197,1617
85,8400.001640,2184,1608
86,8500.001620,2185,1604
87,8600.024960,2184,1604
88,8700.003460,2184,1612
89,8800.027380,2200,1604
90,8900.005660,2184,1634
91,9000.024700,2200,1604
92,9100.066480,2205,1604
93,9200.004240,2202,1605
94,9300.008080,2204,1617
95,9399.996940,2204,1621
96,9499.996380,2204,1634
97,9600.002600,2214,1609
98,9700.003960,2200,1620
99,9800.019240,2188,1634
100,9900.005240,2202,1621
101,10000.063020,2211,1605
102,10099.996140,2188,1607
103,10200.034640,2201,1617
104,10300.005780,2217,1617
105,10400.009940,2201,1638
106,10500.033260,2205,1613
107,10599.993620,2200,1604
108,10700.009480,2186,1613
109,10800.033420,2201,1621
110,10900.045900,2205,1635
111,11000.027340,2205,1622
112,11100.003180,2188,1606
113,11199.997080,2218,1612
114,11300.004720,2201,1619
115,11400.006140,2218,1601
116,11500.037360,2218,1613
117,11600.023480,2218,1605
118,11700.001960,2218,1605
119,11799.998000,2205,1604
120,11900.022660,2202,1604
121,12000.032440,2201,1636
122,12100.025600,2218,1621
123,12200.009060,2218,1612
124,12300.019960,2217,1604
125,12399.997140,2199,1621
126,12499.997200,2215,1605
127,12600.020200,2186,1636
128,12699.994500,2218,1606
129,12800.032660,2216,1591
130,12900.011860,2218,1629
131,13000.005100,2218,1601
132,13100.019420,2216,1604
133,13200.006740,2217,1606
134,13300.031760,2186,1604
135,13400.004680,2216,1604
136,13499.993320,2217,1604
137,13599.997840,2212,1604
138,13700.013500,2216,1621
139,13799.997720,2218,1604
140,13900.047640,2218,1606
141,14000.004560,2216,1630
142,14100.004420,2192,1605
143,14200.008460,2192,1605
144,14300.037420,2218,1604
145,14400.003000,2191,1612
146,14500.006000,2192,1638
147,14599.997400,2217,1608
148,14700.021220,2210,1604
149,14800.008540,2192,1622
150,14900.019780,2210,1608
151,15000.000100,2192,1611
152,15100.014160,2190,1621
153,15200.003480,2192,1604
154,15300.000280,2184,1604
155,15399.997740,2188,1608
156,15500.007900,2211,1604
157,15600.017660,2212,1604
158,15700.000080,2211,1634
159,15800.003180,2192,1631
160,15900.018160,2184,1605
161,16000.019100,2190,1604
162,16100.021800,2190,1637
163,16200.007320,2211,1608
164,16300.001940,2211,1611
165,16400.004800,2191,1610
166,16500.015400,2192,1604
167,16600.046500,2216,1604
168,16699.998720,2210,1604
169,16799.997480,2190,1604
170,16900.007360,2185,1636
171,17000.025180,2216,1608
172,17099.997520,2190,1632
173,17200.006500,2191,1612
174,17300.000000,2191,1633
175,17400.008400,2216,1610
176,17500.067620,2192,1604
177,17600.005560,2210,1606
178,17699.999380,2190,1606
179,17800.041440,2190,1606
180,17899.999460,2210,1610
181,18000.060680,2184,1604
182,18100.019280,2184,1606
183,18199.995440,2186,1605
184,18300.002840,2210,1604
185,18400.029920,2191,1595
186,18500.002940,2184,1612
187,18599.987940,2184,1610
188,18700.001540,2190,1636
189,18800.078300,2191,1621
190,18900.016160,2184,1610
191,18999.997260,2191,1636
192,19100.010320,2192,1604
193,19199.999360,2190,1604
194,19300.007520,2184,1604
195,19399.995840,2184,1606
196,19499.999380,2186,1610
197,19600.013680,2216,1604
198,19700.020360,2190,1604
199,19800.001720,2184,1629
200,19900.061240,2184,1604
201,20000.014040,2186,1597
202,20100.003540,2184,1611
203,20200.025700,2210,1608
204,20300.023740,2191,1628
205,20400.040560,2190,1606
206,20500.027160,2184,1606
207,20600.006160,2184,1630
208,20699.999820,2184,1605
209,20800.029340,2184,1604
210,20900.019140,2216,1604
211,21000.031720,2191,1612
212,21100.022660,2186,1610
213,21200.026660,2184,1636
214,21300.002240,2190,1621
215,21399.993780,2184,1611
216,21500.019260,2184,1606
217,21600.003880,2184,1606
218,21700.023620,2190,1611
219,21799.999320,2186,1608
220,21900.005740,2184,1605
221,22000.004300,2184,1636
222,22100.019400,2184,1604
223,22200.019620,2184,1606
224,22300.006480,2184,1604
225,22400.010640,2186,1608
226,22500.069560,2184,1589
227,22600.003080,2190,1604
228,22700.002020,2190,1640
229,22800.047120,2210,1635
230,22900.001180,2184,1608
231,22999.994740,2184,1611
232,23099.999260,2184,1630
233,23200.000600,2210,1606
234,23300.013480,2190,1610
235,23399.999600,2186,1604
236,23500.001220,2210,1605
237,23600.030400,2184,1604
238,23700.019960,2190,1608
239,23800.015060,2184,1604
240,23899.999200,2184,1604
241,24000.014220,2186,1604
242,24099.999640,2184,1592
243,24200.001820,2184,1604
244,24300.001700,2184,1610
245,24400.007580,2210,1604
246,24500.006800,2184,1631
247,24600.003820,2184,1606
248,24700.006000,2184,1604
249,24800.008720,2184,1604
250,24900.005300,2184,1638
251,24999.999880,2190,1604
252,25099.997360,2184,1637
253,25200.007820,2184,1604
254,25300.038340,2184,1604
255,25400.000320,2184,1611
256,25500.000540,2184,1621
257,25600.000900,2190,1651
258,25700.018240,2184,1593
259,25800.003540,2184,1604
260,25900.018700,2190,1610
261,26000.005640,2184,1619
262,26100.016900,2184,1604
263,26200.018880,2184,1604
264,26300.002800,2184,1604
265,26399.998000,2184,1611
266,26500.001780,2184,1621
267,26600.005860,2184,1604
268,26700.019500,2184,1636
269,26799.994320,2210,1611
270,26900.026320,2184,1604
271,26999.994200,2186,1607
272,27100.003180,2184,1630
273,27200.017940,2216,1605
274,27300.001820,2184,1574
275,27400.023340,2184,1610
276,27500.008320,2184,1610
277,27600.002180,2184,1604
278,27700.008360,2184,1608
279,27799.998480,2186,1604
280,27900.031540,2184,1604
281,27999.998280,2184,1630
282,28100.019100,2184,1604
283,28200.001920,2184,1604
284,28300.001780,2184,1610
285,28399.994160,2184,1620
286,28500.054440,2210,1604
287,28600.064840,2184,1638
288,28699.991780,2184,1604
289,28800.016360,2184,1606
290,28900.072580,2184,1604
291,29000.015000,2184,1637
292,29100.042640,2184,1604
293,29199.997700,2184,1604
294,29300.084480,2184,1610
295,29399.996920,2184,1604
296,29500.008320,2184,1604
297,29600.046180,2184,1604
298,29700.016280,2184,1621
299,29800.010000,2184,1604
300,29900.006900,2184,1629
301,29999.997900,2184,1604
302,30100.008120,2184,1604
303,30200.056980,2184,1604
304,30300.009460,2184,1630
305,30400.023600,2184,1605
306,30500.000780,2184,1606
307,30600.000080,2184,1604
308,30700.035000,2184,1604
309,30800.006920,2210,1619
310,30900.067060,2184,1604
311,30999.999960,2184,1636
312,31099.995860,2184,1621
313,31200.011740,2190,1612
314,31299.999820,2186,1604
315,31400.008240,2184,1600
316,31500.007300,2184,1636
317,31600.004000,2184,1619
318,31700.015740,2184,1630
319,31799.999000,2184,1606
320,31900.003420,2184,1606
321,32000.051280,2184,1604
