Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
1,0.000000,2184,1595
2,100.000820,2184,1629
3,199.996440,2184,1634
4,299.999420,2184,1604
5,400.087800,2184,1604
6,500.009860,2184,1604
7,599.999400,2184,1588
8,700.000000,2184,1604
9,800.090140,2184,1604
10,899.998600,2184,1620
11,1000.024980,2184,1634
12,1100.024020,2184,1604
13,1200.018820,2184,1604
14,1300.042820,2184,1605
15,1400.081820,2184,1617
16,1500.000940,2184,1573
17,1600.066040,2184,1604
18,1700.025380,2184,1619
19,1800.048120,2184,1604
20,1900.028200,2184,1604
21,2000.023880,2184,1604
22,2100.019920,2184,1605
23,2200.025700,2184,1604
24,2300.042700,2184,1604
25,2400.023700,2184,1621
26,2500.039600,2184,1604
27,2600.015940,2184,1604
28,2700.039360,2184,1600
29,2800.021320,2184,1604
30,2899.999860,2184,1605
31,2999.999680,2184,1604
32,3100.011200,2184,1578
33,3200.000620,2184,1604
34,3300.004000,2184,1603
35,3400.019100,2184,1604
36,3500.001560,2184,1604
37,3600.012280,2184,1617
38,3699.995120,2184,1604
39,3800.005920,2184,1620
40,3899.999600,2184,1604
41,4000.045260,2184,1621
42,4100.042540,2184,1604
43,4200.001220,2184,1634
44,4300.003720,2201,1588
45,4400.011240,2184,1606
46,4499.995080,2184,1604
47,4599.999360,2184,1604
48,4700.061000,2184,1604
49,4799.995220,2187,1634
50,4899.991860,2184,1617
51,5000.015100,2184,1604
52,5100.049800,2184,1604
53,5200.032160,2184,1606
54,5299.996520,2184,1605
55,5400.005820,2184,1625
56,5499.993000,2184,1607
57,5600.005280,2184,1622
58,5700.028280,2184,1617
59,5799.999000,2184,1603
60,5900.012260,2201,1608
61,5999.991340,2201,1629
62,6100.012840,2184,1605
63,6200.026400,2201,1605
64,6299.999820,2197,1607
65,6400.029980,2184,1620
66,6500.003480,2187,1606
67,6600.002080,2184,1604
68,6700.003000,2197,1611
69,6800.000260,2187,1606
70,6900.030320,2184,1605
71,7000.036500,2197,1603
72,7100.005140,2184,1612
73,7200.008140,2184,1621
74,7300.008700,2197,1634
