Sample,X(ms) [01.05.2017 19:21:20 933 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
9,899.986860,3278,1194
10,1000.013060,3293,1218
11,1099.987660,3302,1211
12,1200.000660,3276,1227
13,1299.993160,3274,1218
14,1400.001180,3275,1194
15,1500.012440,3284,1194
16,1599.981280,3251,1175
17,1700.003720,3238,1183
18,1799.995860,3299,1214
19,1900.005000,3275,1179
20,1999.989520,3276,1194
21,2100.003180,3275,1178
22,2200.013600,3276,1202
23,2299.985140,3276,1196
24,2399.986640,3276,1226
25,2499.982140,3276,1211
26,2599.991100,3276,1228
27,2700.018000,3276,1196
28,2799.980440,3277,1228
29,2900.013740,3276,1221
30,2999.982720,3251,1202
31,3099.984780,3229,1171
32,3200.031780,3276,1224
33,3300.045040,3269,1188
34,3400.018580,3276,1194
35,3499.991080,3276,1194
36,3600.011220,3270,1194
37,3700.048540,3276,1193
38,3800.024180,3283,1219
39,3900.015500,3278,1190
40,3999.997720,3272,1226
41,4099.990800,3276,1194
42,4199.991620,3283,1196
43,4299.992960,3259,1200
44,4400.012940,3280,1226
45,4500.000100,3256,1166
46,4600.013920,3276,1169
47,4699.989840,3276,1194
48,4800.004820,3280,1195
49,4899.986600,3302,1194
50,4999.988040,3263,1186
51,5100.018300,3276,1228
52,5199.983340,3278,1209
53,5300.002200,3302,1194
54,5400.110500,3272,1177
55,5500.005880,3277,1194
56,5600.010220,3283,1226
57,5699.990340,3263,1203
58,5799.994220,3282,1226
59,5899.983360,3261,1194
60,6000.004360,3276,1196
61,6100.000240,3279,1192
62,6200.004260,3274,1211
63,6300.010360,3276,1219
64,6399.994860,3276,1193
65,6499.992940,3276,1170
66,6600.090920,3276,1198
67,6699.984200,3283,1188
68,6800.008680,3274,1185
69,6899.982800,3276,1226
70,7000.013460,3301,1220
71,7099.996420,3248,1193
72,7200.072020,3233,1200
73,7299.977260,3251,1181
74,7399.990300,3286,1202
75,7500.004640,3278,1226
76,7599.995680,3275,1186
77,7699.981920,3276,1219
78,7799.996940,3284,1187
79,7899.993840,3276,1226
80,7999.989740,3276,1196
81,8099.982880,3273,1226
82,8199.987520,3275,1169
83,8300.005460,3275,1194
84,8399.995460,3276,1194
85,8499.989340,3235,1195
86,8599.991220,3194,1211
87,8699.990580,3257,1220
88,8799.977640,3282,1194
89,8899.996920,3275,1227
90,9000.001040,3274,1194
91,9099.994840,3276,1220
92,9200.021280,3308,1202
93,9299.982640,3276,1169
94,9399.984500,3251,1194
95,9499.984180,3276,1198
96,9600.025640,3276,1192
97,9699.995420,3275,1183
98,9799.984280,3250,1194
99,9899.996420,3276,1194
100,9999.984300,3182,1194
101,10099.990280,3270,1194
102,10200.026940,3275,1191
103,10300.001240,3306,1201
104,10400.010040,3275,1194
105,10499.985340,3260,1196
106,10599.981480,3301,1200
107,10699.988140,3276,1194
108,10799.990120,3278,1202
109,10899.983520,3276,1201
110,10999.992000,3276,1220
111,11100.051180,3275,1220
112,11200.005680,3270,1195
113,11300.007240,3277,1186
114,11399.980040,3210,1166
115,11500.010000,3254,1224
116,11599.976640,3260,1191
117,11700.026740,3274,1196
118,11800.008800,3275,1194
119,11899.987280,3288,1194
120,11999.982640,3282,1193
121,12099.988880,3278,1196
122,12200.019360,3280,1194
123,12299.981400,3280,1188
124,12399.992820,3250,1196
125,12500.013780,3250,1194
126,12599.982560,3246,1201
127,12699.988160,3269,1200
128,12800.027220,3231,1165
129,12899.987000,3257,1226
130,13000.012140,3266,1193
131,13099.991420,3288,1194
132,13200.015400,3275,1193
133,13299.986900,3233,1194
134,13399.996840,3259,1227
135,13499.987240,3270,1220
136,13599.993840,3250,1202
137,13700.041320,3275,1194
138,13799.990640,3278,1169
139,13899.991540,3275,1193
140,13999.989320,3216,1200
141,14099.991600,3244,1196
142,14200.015320,3221,1183
143,14299.993740,3287,1200
144,14399.982840,3268,1193
145,14500.033560,3275,1220
146,14599.995500,3282,1220
147,14700.058400,3233,1193
148,14800.025480,3242,1185
149,14899.987760,3274,1194
150,14999.988540,3250,1194
151,15099.987660,3248,1185
152,15199.986940,3301,1194
153,15299.989960,3276,1200
154,15400.080660,3216,1177
155,15499.993620,3225,1219
156,15600.002960,3247,1191
157,15699.976220,3286,1194
158,15800.012080,3271,1177
159,15900.016720,3272,1202
160,16000.032600,3269,1194
161,16100.008240,3250,1194
162,16199.995780,3250,1193
163,16299.992240,3270,1194
164,16399.986080,3276,1185
165,16499.993400,3276,1194
166,16599.985900,3276,1196
167,16699.991280,3250,1194
168,16800.014600,3225,1194
169,16899.993800,3184,1194
170,16999.988420,3260,1188
171,17100.062920,3275,1194
172,17199.994860,3274,1200
173,17300.015980,3272,1192
174,17399.990940,3259,1202
175,17499.989340,3276,1181
176,17600.015240,3263,1194
177,17700.001280,3277,1220
178,17799.987660,3276,1194
179,17900.024780,3275,1194
180,18000.014840,3282,1194
181,18099.990820,3259,1193
182,18199.991880,3221,1200
183,18299.997100,3207,1187
184,18400.031960,3264,1194
185,18500.012880,3261,1194
186,18599.991240,3289,1194
187,18699.990460,3242,1194
188,18799.984960,3266,1202
189,18899.991200,3269,1194
190,18999.985580,3250,1169
191,19099.986460,3276,1198
192,19199.985560,3300,1220
193,19299.993680,3251,1184
194,19400.030280,3276,1192
195,19499.989320,3253,1194
196,19599.993740,3238,1200
197,19700.019280,3202,1194
198,19799.985420,3295,1224
199,19900.008380,3265,1194
200,19999.992040,3275,1200
201,20100.038480,3291,1192
202,20199.989180,3259,1186
203,20299.988840,3277,1194
204,20400.018220,3257,1194
205,20499.996520,3293,1201
206,20600.007640,3276,1220
207,20699.998520,3278,1194
208,20800.002000,3259,1194
209,20899.985640,3227,1190
210,20999.991200,3265,1194
211,21100.004040,3214,1197
212,21199.987900,3296,1200
213,21300.000760,3266,1192
214,21399.982440,3307,1219
215,21499.987380,3275,1194
216,21600.002260,3216,1177
217,21699.992060,3276,1194
218,21799.989980,3257,1191
219,21899.995560,3272,1219
220,21999.993200,3276,1190
221,22100.012200,3276,1195
222,22200.027680,3250,1209
223,22299.991400,3184,1200
224,22399.984380,3258,1211
225,22500.000720,3244,1190
226,22599.993860,3298,1194
227,22699.990760,3269,1168
228,22800.006020,3276,1194
229,22899.991040,3275,1194
230,23000.035000,3235,1177
231,23100.011120,3272,1226
232,23200.003460,3270,1190
233,23299.991980,3278,1194
234,23400.004160,3276,1194
235,23499.993980,3276,1220
236,23599.983640,3250,1170
237,23700.015880,3215,1202
238,23799.988160,3270,1194
239,23899.988640,3238,1164
240,24000.076000,3274,1193
241,24099.990460,3270,1219
242,24200.013280,3250,1202
243,24299.993100,3243,1169
244,24400.044120,3221,1188
245,24499.989240,3267,1219
246,24599.993740,3273,1194
247,24699.995440,3300,1194
248,24800.003240,3276,1193
249,24900.018800,3250,1194
250,24999.992980,3250,1194
251,25099.981440,3211,1202
252,25200.008020,3270,1186
253,25300.004160,3231,1194
254,25399.987420,3300,1201
255,25499.980920,3296,1193
256,25599.984560,3258,1204
257,25700.013920,3269,1226
258,25799.978380,3229,1196
259,25899.997560,3261,1201
260,25999.998080,3269,1220
261,26099.992000,3276,1226
262,26199.987700,3274,1194
263,26299.994180,3251,1194
264,26400.022960,3274,1196
265,26499.985180,3210,1184
266,26599.996180,3278,1194
267,26699.994840,3262,1188
268,26799.984780,3304,1227
269,26899.991200,3240,1193
270,26999.990980,3242,1210
271,27100.005040,3250,1194
272,27199.997940,3232,1194
273,27299.982960,3230,1188
274,27399.984320,3272,1219
275,27500.037800,3282,1220
276,27599.994240,3276,1226
277,27699.996540,3259,1202
278,27799.986920,3276,1221
279,27900.051100,3227,1188
280,27999.993260,3287,1226
281,28099.998400,3260,1165
282,28199.995100,3277,1194
283,28300.021240,3267,1194
284,28399.998400,3233,1185
285,28500.007420,3216,1200
286,28600.038200,3235,1196
287,28700.061540,3257,1221
288,28799.988880,3282,1194
289,28899.987540,3274,1221
290,28999.993460,3276,1202
291,29100.032680,3233,1194
292,29199.991740,3276,1194
293,29299.988280,3212,1183
294,29399.988160,3287,1194
295,29499.995540,3269,1193
296,29599.984700,3271,1194
297,29700.014880,3275,1194
298,29799.986340,3247,1196
299,29899.990740,3208,1202
300,30000.013120,3269,1196
301,30099.996160,3270,1195
302,30200.007780,3275,1194
303,30299.992480,3275,1192
304,30400.039680,3274,1201
305,30500.016200,3250,1192
306,30599.990640,3233,1194
307,30700.013380,3257,1194
308,30800.017860,3254,1194
309,30900.030560,3273,1200
310,30999.998880,3271,1194
311,31100.033240,3275,1195
312,31200.008080,3249,1194
313,31300.014940,3208,1169
314,31400.039960,3301,1194
315,31500.013140,3267,1177
316,31600.043520,3282,1200
317,31699.989040,3301,1226
318,31800.050100,3276,1194
319,31899.986700,3251,1163
320,31999.991500,3244,1194
321,32100.024500,3270,1194
322,32199.990860,3263,1196
323,32300.014960,3291,1225
324,32399.995540,3271,1162
325,32499.994120,3259,1220
326,32600.029040,3250,1186
327,32700.028060,3212,1198
328,32800.014220,3276,1220
329,32899.984760,3269,1187
330,33000.005220,3305,1194
331,33099.985240,3276,1226
332,33199.984240,3269,1228
333,33299.989680,3250,1194
334,33399.989260,3237,1194
335,33500.007060,3268,1192
336,33599.986200,3266,1222
337,33699.991940,3247,1227
338,33800.072140,3274,1194
339,33899.992040,3242,1194
340,33999.993160,3250,1196
341,34099.984860,3223,1194
342,34200.030700,3276,1202
343,34299.983500,3265,1191
344,34400.028720,3308,1202
345,34499.986480,3278,1188
346,34599.993860,3276,1194
347,34699.980760,3247,1190
348,34799.981520,3248,1194
349,34899.994040,3265,1220
350,35000.032660,3267,1203
351,35099.991460,3282,1227
352,35199.986200,3250,1219
353,35299.994120,3258,1209
354,35400.004700,3244,1194
355,35499.996720,3219,1198
356,35599.994560,3276,1202
357,35700.048300,3271,1186
358,35799.990760,3282,1211
359,35900.054900,3276,1194
360,35999.998380,3276,1194
361,36100.021960,3278,1194
362,36199.985620,3231,1196
363,36299.988480,3298,1219
364,36400.016000,3270,1195
365,36500.063200,3275,1229
366,36600.012880,3282,1209
367,36699.992520,3199,1179
368,36800.024180,3250,1221
369,36900.028900,3244,1187
370,36999.997180,3270,1219
371,37100.005740,3248,1220
372,37199.992200,3274,1228
373,37300.051040,3278,1194
374,37399.990540,3270,1220
375,37499.984960,3270,1198
376,37600.015460,3263,1196
377,37700.038640,3306,1194
378,37800.016600,3270,1220
379,37900.029380,3276,1220
380,38000.005920,3275,1186
381,38099.992040,3190,1202
382,38199.989040,3221,1227
383,38300.001420,3279,1189
384,38399.981360,3266,1226
385,38500.029440,3274,1171
386,38600.035120,3276,1194
387,38699.986760,3276,1227
388,38799.992900,3276,1202
389,38900.030840,3293,1196
390,38999.990460,3270,1188
391,39099.982900,3276,1196
392,39200.006560,3273,1220
393,39299.993800,3275,1196
394,39399.985640,3275,1202
395,39500.015900,3178,1169
396,39599.984740,3238,1200
397,39700.033860,3267,1193
398,39799.987980,3285,1219
399,39899.986000,3274,1194
400,40000.038280,3275,1220
401,40099.998780,3276,1221
402,40199.986200,3276,1171
403,40299.986080,3276,1225
404,40400.013120,3268,1188
405,40500.038440,3302,1192
406,40599.984620,3299,1165
407,40700.035500,3276,1219
408,40800.083000,3258,1219
409,40899.988900,3187,1169
410,40999.999220,3248,1202
411,41099.989940,3269,1199
412,41200.016080,3295,1200
413,41299.986000,3276,1226
414,41399.991540,3276,1188
415,41499.987900,3276,1228
416,41600.041820,3268,1196
417,41700.061000,3270,1226
418,41799.983820,3269,1195
419,41899.990840,3272,1202
420,42000.030040,3274,1191
421,42099.990160,3259,1194
422,42200.010700,3242,1221
423,42299.983040,3225,1205
424,42399.988140,3244,1228
425,42500.030000,3265,1224
426,42599.990080,3278,1201
427,42700.013020,3276,1169
428,42799.994720,3276,1226
429,42899.990940,3274,1220
430,42999.990580,3267,1202
431,43100.018020,3277,1220
432,43200.035980,3271,1195
433,43299.985440,3274,1228
434,43399.985340,3251,1226
435,43499.988360,3249,1211
436,43600.020220,3216,1226
437,43699.987920,3248,1182
438,43800.048440,3240,1194
439,43900.078580,3272,1195
440,44000.038940,3277,1220
441,44100.008840,3276,1202
442,44199.990560,3277,1178
443,44300.001760,3251,1228
444,44399.991940,3276,1193
445,44499.989380,3270,1219
446,44600.017240,3271,1194
447,44700.021000,3280,1200
448,44800.005300,3250,1168
449,44900.036900,3259,1192
450,44999.986100,3167,1207
451,45099.988580,3257,1194
452,45199.996260,3247,1221
453,45300.034960,3274,1228
454,45399.989940,3273,1194
455,45500.028440,3276,1202
456,45600.015020,3250,1226
457,45700.056500,3268,1196
458,45799.988000,3298,1193
459,45899.997440,3269,1226
460,45999.985460,3274,1220
461,46099.987300,3282,1202
462,46200.040060,3275,1186
463,46300.029740,3233,1169
464,46400.010580,3180,1183
465,46499.989340,3270,1221
466,46600.010180,3260,1195
467,46700.052200,3276,1209
468,46800.020640,3274,1193
469,46900.009960,3276,1194
470,46999.987940,3276,1162
471,47099.988040,3276,1162
472,47199.992580,3276,1226
473,47299.989040,3274,1194
474,47399.984880,3275,1193
475,47500.022700,3300,1177
476,47599.993320,3276,1200
477,47699.985300,3244,1194
478,47800.045920,3154,1202
479,47900.003540,3269,1226
480,47999.993100,3263,1162
481,48099.990000,3301,1195
482,48199.994480,3249,1192
483,48300.070680,3277,1220
484,48399.991480,3276,1194
485,48500.002220,3276,1228
486,48599.989940,3276,1194
487,48700.015780,3298,1196
488,48800.039660,3276,1194
489,48899.988320,3275,1194
490,48999.978880,3261,1221
491,49100.003300,3244,1219
492,49199.989560,3167,1181
493,49300.042840,3261,1209
494,49400.026620,3266,1191
495,49500.012660,3274,1222
496,49599.973280,3273,1220
497,49699.989400,3301,1179
498,49799.987500,3276,1196
499,49899.996000,3244,1194
500,50000.001740,3270,1220
501,50100.039740,3272,1196
