Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
228,22599.970880,2354,1522
229,22699.965820,2354,1534
230,22799.958220,2354,1535
231,22899.952200,2354,1526
232,22999.955100,2354,1522
233,23099.982680,2354,1550
234,23200.005380,2354,1519
235,23299.956140,2354,1534
236,23399.970840,2354,1519
237,23499.969320,2354,1535
238,23599.952500,2354,1505
239,23700.007360,2354,1519
240,23799.977000,2354,1535
241,23899.954940,2354,1532
242,23999.962460,2354,1505
243,24100.025620,2354,1535
244,24199.955560,2354,1535
245,24299.960140,2354,1531
246,24399.955140,2354,1535
247,24499.982780,2354,1522
248,24599.966980,2354,1522
249,24699.957320,2354,1550
250,24799.955160,2354,1535
251,24899.971040,2354,1531
252,24999.956280,2354,1536
253,25099.954400,2354,1535
254,25199.971240,2354,1535
255,25299.976500,2354,1522
256,25399.992260,2354,1535
257,25499.974220,2354,1532
258,25599.963520,2354,1535
259,25699.956800,2354,1518
260,25799.962500,2354,1525
261,25899.989360,2354,1535
262,25999.991520,2354,1532
263,26100.023680,2354,1552
264,26199.957420,2354,1522
265,26299.970040,2354,1535
266,26399.959440,2354,1531
267,26499.966180,2354,1534
268,26599.962880,2354,1535
269,26699.958440,2354,1535
270,26799.957880,2354,1535
271,26899.951680,2354,1535
272,26999.954540,2354,1535
273,27099.986960,2354,1522
274,27199.962000,2354,1533
275,27299.982940,2354,1535
276,27399.959440,2354,1534
277,27499.954320,2354,1535
278,27599.957360,2354,1535
279,27699.962820,2354,1535
280,27799.957460,2354,1519
281,27899.960420,2354,1531
282,27999.982160,2354,1535
283,28099.971660,2354,1534
284,28199.984240,2354,1522
285,28299.958100,2354,1535
286,28399.954580,2354,1522
287,28499.981660,2354,1518
288,28599.948260,2354,1534
289,28699.971000,2354,1519
290,28799.953740,2354,1533
291,28900.002140,2354,1535
292,28999.953220,2354,1534
293,29100.001940,2354,1534
294,29199.982900,2354,1535
295,29299.966720,2354,1518
296,29399.966620,2354,1535
297,29499.967460,2354,1522
298,29600.006860,2354,1535
299,29699.967940,2354,1535
300,29799.958280,2354,1535
301,29899.955040,2354,1534
302,29999.965180,2354,1532
303,30099.953820,2354,1517
304,30199.982240,2354,1518
305,30299.962140,2354,1518
306,30399.956620,2354,1529
307,30499.944000,2354,1532
308,30599.953760,2354,1535
309,30699.963900,2354,1535
