exp4_time,exp4_angle,exp4_voltage
1.13841826,0,0
1.13997048,0,0
1.14109476,0,0
1.14240752,0,0
1.14346378,0,0
1.14455992,0,0
1.1456496,0,0
1.14673578,0,0
1.14783548,0,0
1.14889242,0,0
1.15047082,0,-11.95
1.15155724,0,-11.95
1.1526688,0,-11.95
1.15371938,0,-11.95
1.15480058,0,-11.95
1.15585434,0,-11.95
1.15692924,-0.020943951023932,-11.95
1.15801686,-0.020943951023932,-11.95
1.15907074,-0.020943951023932,-11.95
1.16015806,-0.0418879020478639,-11.95
1.1612163,-0.0418879020478639,-11.95
1.16243612,-0.0418879020478639,-11.95
1.16350282,-0.0628318530717959,-11.95
1.164594,-0.0628318530717959,-11.95
1.165668,-0.0837758040957278,-11.95
1.16673904,-0.10471975511966,-11.95
1.1678684,-0.10471975511966,-11.95
1.16892528,-0.125663706143592,-11.95
1.1699965,-0.146607657167524,-11.95
1.1710539,-0.146607657167524,-11.95
1.1721105,-0.167551608191456,-11.95
1.17316644,-0.188495559215388,-11.95
1.174208,-0.20943951023932,-11.95
1.175409,-0.20943951023932,-11.95
1.17644906,-0.230383461263251,-11.95
1.17754802,-0.251327412287183,-11.95
1.17861032,-0.272271363311115,-11.95
1.17966344,-0.293215314335047,-11.95
1.18072286,-0.314159265358979,-11.95
1.18177016,-0.335103216382911,-11.95
1.18287946,-0.356047167406843,-11.95
1.1839167,-0.376991118430775,-11.95
1.18494302,-0.397935069454707,-11.95
1.1859952,-0.439822971502571,-11.95
1.1870171,-0.460766922526503,-11.95
1.18811028,-0.481710873550435,-11.95
1.18913806,-0.502654824574367,-11.95
1.1901879,-0.523598775598299,-11.95
1.19122322,-0.565486677646163,-11.95
1.19238604,-0.586430628670095,-11.95
1.1934419,-0.607374579694027,-11.95
1.1944673,-0.628318530717959,-11.95
1.195517,-0.670206432765822,-11.95
1.19656234,-0.691150383789754,-11.95
1.19766578,-0.733038285837618,-11.95
1.19873582,-0.75398223686155,-11.95
1.19976612,-0.795870138909414,-11.95
1.20082776,-0.816814089933346,-11.95
1.2021261,-0.85870199198121,-11.95
1.20319278,-0.900589894029074,-11.95
1.20423506,-0.942477796076938,-11.95
1.20540798,-0.96342174710087,-11.95
1.2064917,-1.00530964914873,-11.95
1.20805192,-1.0471975511966,-11.95
1.20974908,-1.11002940426839,-11.95
1.21070568,-1.15191730631626,-11.95
1.21223464,-1.21474915938805,-11.95
1.2131964,-1.23569311041199,-11.95
1.21491002,-1.29852496348378,-11.95
1.2158615,-1.34041286553165,-11.95
1.21759408,-1.40324471860344,-11.95
1.21914758,-1.4451326206513,-11.95
1.22016038,-1.5079644737231,-11.95
1.22177516,-1.54985237577096,-11.95
1.22279154,-1.59174027781883,-11.95
1.22449336,-1.63362817986669,-11.95
