time,angle,voltage
2.4640214,0,0
2.4657644,0,0
2.46677416,0,0
2.46853786,0,0
2.46952382,0,0
2.47105128,0,0
2.47207706,0,0
2.47414636,0,2.39
2.4751573,0,2.39
2.4768741,0,2.39
2.4778358,0,2.39
2.47951364,0,2.39
2.48047116,0,2.39
2.4820921,0,2.39
2.48304144,0,2.39
2.48472192,0,2.39
2.4856959,0.020943951023932,2.39
2.48749722,0.020943951023932,2.39
2.48900642,0.020943951023932,2.39
2.49002414,0.020943951023932,2.39
2.49151184,0.020943951023932,2.39
2.4925769,0.020943951023932,2.39
2.4936487,0.0418879020478639,2.39
2.49470402,0.0418879020478639,2.39
2.49574094,0.0418879020478639,2.39
2.49678222,0.0418879020478639,2.39
2.49780122,0.0418879020478639,2.39
2.49886562,0.0418879020478639,2.39
2.49988254,0.0628318530717959,2.39
2.5009121,0.0628318530717959,2.39
2.50201444,0.0628318530717959,2.39
2.50303606,0.0628318530717959,2.39
2.5040709,0.0837758040957278,2.39
2.50510384,0.0837758040957278,2.39
2.50612684,0.0837758040957278,2.39
2.5072067,0.0837758040957278,2.39
2.50822036,0.10471975511966,2.39
2.50926168,0.10471975511966,2.39
2.51043492,0.10471975511966,2.39
2.51154622,0.10471975511966,2.39
2.51261304,0.125663706143592,2.39
2.5136539,0.125663706143592,2.39
2.5147138,0.125663706143592,2.39
2.51575214,0.146607657167524,2.39
2.51680754,0.146607657167524,2.39
2.51783802,0.146607657167524,2.39
2.5188619,0.167551608191456,2.39
2.51990658,0.167551608191456,2.39
2.52093478,0.167551608191456,2.39
2.52204576,0.188495559215388,2.39
2.52307758,0.188495559215388,2.39
2.52409838,0.188495559215388,2.39
2.52515038,0.20943951023932,2.39
2.52618064,0.20943951023932,2.39
2.52721998,0.20943951023932,2.39
2.52824378,0.230383461263251,2.39
2.5292595,0.230383461263251,2.39
2.53045078,0.230383461263251,2.39
2.53151996,0.251327412287183,2.39
2.5326415,0.251327412287183,2.39
2.5337001,0.251327412287183,2.39
2.53476048,0.272271363311115,2.39
2.53579562,0.272271363311115,2.39
2.53681888,0.293215314335047,2.39
2.5378622,0.293215314335047,2.39
2.53888576,0.293215314335047,2.39
2.53993086,0.314159265358979,2.39
2.54096054,0.314159265358979,2.39
2.54203656,0.335103216382911,2.39
2.54308536,0.335103216382911,2.39
2.54411142,0.335103216382911,2.39
2.54517234,0.356047167406843,2.39
2.54618228,0.356047167406843,2.39
2.54719254,0.376991118430775,2.39
2.54823526,0.376991118430775,2.39
2.54970996,0.376991118430775,2.39
2.55076662,0.397935069454707,2.39
2.55186162,0.397935069454707,2.39
2.55291782,0.418879020478639,2.39
2.55394454,0.418879020478639,2.39
2.55497602,0.439822971502571,2.39
2.55602428,0.439822971502571,2.39
2.55704876,0.439822971502571,2.39
2.55808706,0.460766922526503,2.39
2.55911624,0.460766922526503,2.39
2.5601358,0.481710873550435,2.39
2.56120318,0.481710873550435,2.39
2.56243338,0.502654824574367,2.39
2.56348094,0.502654824574367,2.39
2.5645122,0.523598775598299,2.39
2.56579164,0.523598775598299,2.39
2.56688094,0.544542726622231,2.39
2.56801002,0.544542726622231,2.39
2.5690699,0.565486677646163,2.39
2.57009286,0.565486677646163,2.39
2.57114172,0.586430628670095,2.39
2.57221152,0.586430628670095,2.39
2.57325258,0.586430628670095,2.39
2.5747737,0.607374579694027,2.39
2.5758398,0.607374579694027,2.39
2.5768754,0.628318530717959,2.39
2.57790122,0.628318530717959,2.39
2.57895292,0.649262481741891,2.39
2.57998232,0.649262481741891,2.39
2.58104024,0.670206432765822,2.39
2.58211916,0.670206432765822,2.39
2.58314552,0.691150383789754,2.39
2.58419246,0.691150383789754,2.39
2.58521072,0.712094334813686,2.39
2.58624048,0.712094334813686,2.39
2.58742226,0.733038285837618,2.39
2.58843424,0.733038285837618,2.39
2.5894849,0.75398223686155,2.39
2.59052334,0.75398223686155,2.39
2.5916318,0.774926187885482,2.39
2.59270088,0.774926187885482,2.39
2.59373048,0.795870138909414,2.39
2.5948032,0.795870138909414,2.39
2.5958289,0.816814089933346,2.39
2.59687712,0.816814089933346,2.39
2.59789716,0.837758040957278,2.39
2.5989118,0.837758040957278,2.39
2.59995884,0.85870199198121,2.39
2.6009725,0.85870199198121,2.39
2.60206242,0.879645943005142,2.39
2.60309756,0.879645943005142,2.39
2.604145,0.900589894029074,2.39
2.60517126,0.900589894029074,2.39
2.60618332,0.921533845053006,2.39
2.60723324,0.921533845053006,2.39
2.608243,0.942477796076938,2.39
2.60943034,0.942477796076938,2.39
2.61045052,0.96342174710087,2.39
2.61149566,0.96342174710087,2.39
2.61259974,0.984365698124802,2.39
2.61365374,0.984365698124802,2.39
2.61471638,1.00530964914873,2.39
2.61574092,1.00530964914873,2.39
2.6167714,1.02625360017267,2.39
2.61782502,1.02625360017267,2.39
2.6188429,1.02625360017267,2.39
2.6198968,1.0471975511966,2.39
2.62092844,1.06814150222053,2.39
2.62199854,1.06814150222053,2.39
2.62322236,1.08908545324446,2.39
2.6242632,1.08908545324446,2.39
2.6254711,1.11002940426839,2.39
2.6265014,1.11002940426839,2.39
2.62755974,1.13097335529233,2.39
2.62860886,1.13097335529233,2.39
2.6296593,1.15191730631626,2.39
2.63073444,1.15191730631626,2.39
2.63180318,1.17286125734019,2.39
2.63285514,1.17286125734019,2.39
2.63388994,1.19380520836412,2.39
2.63493128,1.19380520836412,2.39
2.63597374,1.21474915938805,2.39
2.63700636,1.21474915938805,2.39
2.6380546,1.23569311041199,2.39
2.63906542,1.23569311041199,2.39
2.64011432,1.25663706143592,2.39
2.64115078,1.27758101245985,2.39
2.64222122,1.27758101245985,2.39
2.64342786,1.29852496348378,2.39
2.6444474,1.29852496348378,2.39
2.64548814,1.31946891450771,2.39
2.64652728,1.31946891450771,2.39
2.6475418,1.34041286553165,2.39
2.64887506,1.34041286553165,2.39
2.6499095,1.36135681655558,2.39
2.65095726,1.36135681655558,2.39
2.65201384,1.38230076757951,2.39
2.6530616,1.38230076757951,2.39
2.65409228,1.40324471860344,2.39
2.65511508,1.40324471860344,2.39
2.65616662,1.42418866962737,2.39
2.65720016,1.42418866962737,2.39
2.65824546,1.4451326206513,2.39
2.65925822,1.46607657167524,2.39
