Sample,X(ms) [28.05.2017 08:18:36 701 UTC],time [s],"I_encoder"[%ID1000],angle,"Q_motor_direction"[%Q4.0],"Q_motor_PWM"[%QW1000],voltage [V]
660,'829,28086','0,82928086',0,0,0,0,0
661,'831,1112','0,8311112',0,0,0,0,0
662,'832,8547','0,8328547',0,0,0,0,0
663,'833,89854','0,83389854',0,0,0,0,0
664,'835,64938','0,83564938',0,0,0,0,0
665,'836,70978','0,83670978',0,0,0,0,0
666,'838,48446','0,83848446',0,0,0,0,0
667,'839,60892','0,83960892',0,0,0,0,0
668,'841,20866','0,84120866',0,0,0,0,0
669,'842,2168','0,8422168',0,0,0,0,0
670,'843,98632','0,84398632',0,0,0,0,0
671,'844,98684','0,84498684',0,0,0,0,0
672,'846,70858','0,84670858',0,0,0,0,0
673,'847,73052','0,84773052',0,0,0,0,0
674,'849,44742','0,84944742',0,0,0,0,0
675,'850,28324','0,85028324',0,0,0,0,0
676,'852,04622','0,85204622',0,0,0,0,0
677,'853,72426','0,85372426',0,0,0,0,0
678,'854,74674','0,85474674',0,0,0,0,0
679,'856,48404','0,85648404',0,0,0,0,0
680,'857,54158','0,85754158',0,0,0,0,0
681,'859,12702','0,85912702',0,0,0,0,0
682,'860,20348','0,86020348',0,0,0,0,0
683,'861,9881','0,8619881',0,0,0,0,0
684,'863,04944','0,86304944',0,0,0,0,0
685,'864,77664','0,86477664',0,0,0,0,0
686,'865,76408','0,86576408',0,0,0,0,0
687,'867,29966','0,86729966',0,0,0,0,0
688,'868,45138','0,86845138',0,0,0,0,0
689,'870,12948','0,87012948',0,0,0,0,0
690,'871,19152','0,87119152',0,0,0,0,0
691,'872,9343','0,8729343',0,0,0,0,0
692,'874,6169','0,8746169',0,0,0,0,0
693,'875,6393','0,8756393',0,0,0,0,0
694,'877,2203','0,8772203',0,0,0,0,0
695,'878,25734','0,87825734',0,0,0,0,0
696,'879,99956','0,87999956',0,0,0,0,0
697,'881,0536','0,8810536',0,0,0,0,0
698,'882,89748','0,88289748',0,0,0,0,0
699,'883,90042','0,88390042',0,0,0,0,0
700,'885,56192','0,88556192',0,0,0,0,0
701,'886,55302','0,88655302',0,0,0,0,0
702,'888,21026','0,88821026',0,0,0,0,0
703,'889,28034','0,88928034',0,0,0,0,0
704,'891,01044','0,89101044',0,0,0,0,0
705,'891,9926','0,8919926',0,0,0,0,0
706,'893,7458','0,8937458',0,0,0,0,0
707,'895,5205','0,8955205',0,0,0,0,0
708,'896,57394','0,89657394',0,0,0,0,0
709,'898,11512','0,89811512',0,0,0,0,0
710,'899,118','0,899118',0,0,0,0,0
711,'900,87096','0,90087096',0,0,0,0,0
712,'901,96118','0,90196118',0,0,0,0,0
713,'903,76234','0,90376234',0,0,0,0,0
714,'904,78152','0,90478152',0,0,0,0,0
715,'906,50224','0,90650224',0,0,0,0,0
716,'907,48598','0,90748598',0,0,0,0,0
717,'909,08224','0,90908224',0,0,0,0,0
718,'910,05506','0,91005506',0,0,0,0,0
719,'911,80118','0,91180118',0,0,0,0,0
720,'913,58582','0,91358582',0,0,0,0,0
721,'914,6204','0,9146204',0,0,0,0,0
722,'916,23476','0,91623476',0,0,0,0,0
723,'917,25542','0,91725542',0,0,0,0,0
724,'918,97668','0,91897668',0,0,0,0,0
725,'919,9902','0,9199902',0,0,0,0,0
726,'921,79074','0,92179074',0,0,0,0,0
727,'922,93226','0,92293226',0,0,0,0,0
728,'925,00728','0,92500728',0,0,0,0,0
729,'926,67976','0,92667976',0,0,0,0,0
730,'927,77396','0,92777396',0,0,0,0,0
731,'928,85216','0,92885216',0,0,0,0,0
732,'929,9086','0,9299086',0,0,0,0,0
733,'930,98664','0,93098664',0,0,0,0,0
734,'932,04946','0,93204946',0,0,0,0,0
735,'933,14008','0,93314008',0,0,0,0,0
736,'934,218','0,934218',0,0,0,0,0
737,'935,26722','0,93526722',0,0,0,0,0
738,'936,48674','0,93648674',0,0,0,0,0
739,'937,56206','0,93756206',0,0,0,0,0
740,'938,6592','0,9386592',0,0,0,0,0
741,'939,74238','0,93974238',0,0,0,0,0
742,'940,80116','0,94080116',0,0,0,0,0
743,'941,88814','0,94188814',0,0,0,0,0
744,'942,97816','0,94297816',0,0,0,0,0
745,'944,0605','0,9440605',0,0,0,0,0
746,'945,13822','0,94513822',0,0,0,0,0
747,'946,19382','0,94619382',0,0,0,0,0
748,'947,26212','0,94726212',0,0,0,0,0
749,'948,46218','0,94846218',0,0,0,0,0
750,'949,55266','0,94955266',0,0,0,0,0
751,'950,62716','0,95062716',0,0,0,0,0
752,'951,73756','0,95173756',0,0,0,0,0
753,'952,84822','0,95284822',0,0,0,0,0
754,'953,89182','0,95389182',0,0,0,0,0
755,'954,98608','0,95498608',0,0,0,0,0
756,'956,05022','0,95605022',0,0,0,0,0
757,'957,13526','0,95713526',0,0,0,0,0
758,'958,2129','0,9582129',0,0,0,0,0
759,'959,29126','0,95929126',0,0,0,0,0
760,'960,48802','0,96048802',0,0,0,0,0
761,'961,55422','0,96155422',0,0,0,0,0
762,'962,69806','0,96269806',0,0,0,0,0
763,'963,7685','0,9637685',0,0,0,0,0
764,'964,85206','0,96485206',0,0,0,0,0
765,'965,93124','0,96593124',0,0,0,0,0
766,'966,999','0,966999',0,0,0,0,0
767,'968,05822','0,96805822',0,0,0,0,0
768,'969,11048','0,96911048',0,0,0,0,0
769,'970,19514','0,97019514',0,0,0,0,0
770,'971,24856','0,97124856',0,0,0,0,0
771,'972,5004','0,9725004',0,0,0,0,0
772,'973,57168','0,97357168',0,0,0,0,0
773,'974,71412','0,97471412',0,0,0,0,0
774,'975,79316','0,97579316',0,0,0,0,0
775,'976,85104','0,97685104',0,0,0,0,0
776,'977,94026','0,97794026',0,0,0,0,0
777,'978,99566','0,97899566',0,0,0,0,0
778,'980,06782','0,98006782',0,0,0,0,0
779,'981,11152','0,98111152',0,0,0,0,0
780,'982,16008','0,98216008',0,0,0,0,0
781,'983,26776','0,98326776',0,0,0,0,0
782,'984,48568','0,98448568',0,0,0,0,0
783,'985,6419','0,9856419',0,0,0,0,0
784,'986,74274','0,98674274',0,0,0,0,0
785,'987,83532','0,98783532',0,0,0,0,0
786,'988,89392','0,98889392',0,0,0,0,0
787,'989,94476','0,98994476',0,0,0,0,0
788,'991,03864','0,99103864',0,0,0,0,0
789,'992,0915','0,9920915',0,0,0,0,0
790,'993,21124','0,99321124',0,0,0,0,0
791,'994,27398','0,99427398',0,0,0,0,0
792,'995,57294','0,99557294',0,0,0,0,0
793,'997,23304','0,99723304',0,0,0,0,0
794,'998,93352','0,99893352',0,0,0,0,0
795,'999,9262','0,9999262',0,0,0,0,0
796,'1001,6645','1,0016645',0,0,0,0,0
797,'1002,73604','1,00273604',0,0,0,0,0
798,'1004,26468','1,00426468',0,0,0,0,0
799,'1005,29066','1,00529066',0,0,0,0,0
800,'1007,0492','1,0070492',0,0,0,0,0
801,'1008,07014','1,00807014',0,0,0,0,0
802,'1009,82004','1,00982004',0,0,0,0,0
803,'1011,55174','1,01155174',0,0,0,0,0
804,'1012,6041','1,0126041',0,0,0,0,0
805,'1014,18486','1,01418486',0,0,0,0,0
806,'1015,2185','1,0152185',0,0,0,0,0
807,'1016,97064','1,01697064',0,0,0,0,0
808,'1018,07102','1,01807102',0,0,0,0,0
809,'1019,84044','1,01984044',0,0,0,0,0
810,'1020,84888','1,02084888',0,0,0,0,0
811,'1022,57468','1,02257468',0,0,0,0,0
812,'1023,5882','1,0235882',0,0,0,0,0
813,'1025,6995','1,0256995',0,0,0,0,0
814,'1027,45826','1,02745826',0,0,0,0,0
815,'1028,47404','1,02847404',0,0,0,0,0
816,'1029,98832','1,02998832',0,0,0,0,0
817,'1030,9912','1,0309912',0,0,0,0,0
818,'1032,78188','1,03278188',0,0,0,0,0
819,'1033,79986','1,03379986',0,0,0,0,0
820,'1035,471','1,035471',0,0,0,0,0
821,'1036,47126','1,03647126',0,0,0,0,0
822,'1038,10424','1,03810424',0,0,0,0,0
823,'1039,17008','1,03917008',0,0,0,0,0
824,'1040,93508','1,04093508',0,0,0,0,0
825,'1042,2849','1,0422849',0,0,0,0,0
826,'1043,56968','1,04356968',0,0,0,0,0
827,'1044,69552','1,04469552',0,0,0,0,0
828,'1045,79338','1,04579338',0,0,0,0,0
829,'1046,8595','1,0468595',0,0,0,0,0
830,'1047,93302','1,04793302',0,0,0,0,0
831,'1048,99078','1,04899078',0,0,0,0,0
832,'1050,08218','1,05008218',0,0,0,0,0
833,'1051,14244','1,05114244',0,0,0,0,0
834,'1052,22756','1,05222756',0,0,0,0,0
835,'1053,46674','1,05346674',0,0,0,0,0
836,'1054,52572','1,05452572',0,0,0,0,0
837,'1055,64582','1,05564582',0,0,0,0,0
838,'1056,7384','1,0567384',0,0,0,0,0
839,'1057,86354','1,05786354',0,0,0,0,0
840,'1058,9229','1,0589229',0,0,0,0,0
841,'1060,00646','1,06000646',0,0,0,0,0
842,'1061,10522','1,06110522',0,0,0,0,0
843,'1062,14764','1,06214764',0,0,0,0,0
844,'1063,26296','1,06326296',0,0,0,0,0
845,'1064,9806','1,0649806',0,0,0,0,0
846,'1066,73892','1,06673892',0,0,0,0,0
